1.0	nobody	be control town at_time	morning	0	TIME
0.9905142867684649	fighter	abandon on	Monday	0	DATE
1.0	capital Mogadishu	have	control	O	LOCATION
1.0	they	abandon	Kismayo	0	LOCATION
1.0	islamist leader	be	drive from Jilib township about 100 kilometre north of Kismayo	0	LOCATION
1.0	urgent regional summit	be in	new year	ORGANIZATION	DATE
1.0	Gedi	say on	Saturday	PERSON	DATE
1.0	islamist leader	be	drive from Jilib township about north of Kismayo	0	LOCATION
1.0	leader	regroup in	Kismayo south	0	LOCATION
1.0	Mogadishu	have	south	O	LOCATION
1.0	African nation	have call on	ethiopian military	MISC	0
1.0	they	abandon kismayo without	bloodshed	0	0
1.0	forces	have	intervention	O	O
1.0	they	be	defeat	0	0
1.0	President Mwai Kibaki	say at_time	Sunday	PERSON	DATE
1.0	islamist fighter	vow	fight	0	0
1.0	new year	in summit be	IGAD	DATE	ORGANIZATION
1.0	ethiopian intervention	have receive	tacit US support	0	LOCATION
1.0	Addis Ababa	have	legitimate security concern about possibility	LOCATION	0
1.0	he	see	islamic fighter	0	0
1.0	offer	so far have fall on	ear	0	0
1.0	nobody	be control	town	0	0
1.0	intervention	enable	government	0	0
0.9905142867684649	islamist fighter	abandon after	government troops	0	0
1.0	offer	have fall on	ear	0	0
1.0	islamist leader	be drive of	north of Kismayo	0	LOCATION
1.0	military	have	presence	O	O
1.0	nobody	be control	town on Monday	0	DATE
1.0	he	see	fighter	0	0
1.0	leader	be	drive on Saturday about of Kismayo	0	DATE
1.0	Islamists	paint presence as	foreign invasion	MISC	0
1.0	Al-Qaeda link	gain	control	MISC	0
1.0	islamist leader	be drive of	100 kilometre north of Kismayo	0	LOCATION
1.0	his	have	country	O	O
1.0	his	have	militia	O	O
1.0	offer	so far have fall on	deaf ear	0	0
0.7162865981554681	Al-Qaeda link	control of	country	MISC	0
1.0	Somalia	disintegrate into	lawlessness	LOCATION	0
1.0	leader	be	drive on Saturday from Jilib township about north of Kismayo	0	DATE
0.8848823109779144	ethiopian artillery	day	tank	0	0
1.0	islamist leader	regroup in	Kismayo	0	LOCATION
1.0	peace talks	have	offers	O	O
1.0	Islamists	have	links	O	MISC
1.0	whom	have	some	O	O
1.0	their	have	stronghold	O	O
1.0	people	have	thousands	O	O
1.0	Inter	have	chairman	O	ORGANIZATION
1.0	government	have	stronghold	O	O
1.0	African nation	have call	withdraw immediately	MISC	0
1.0	Islamists	paint	presence	MISC	0
1.0	islamist leader	be	drive from Jilib township about of Kismayo	0	LOCATION
1.0	African nation	have call	withdraw	MISC	0
0.9905142867684649	fighter	abandon after	ethiopian government troops	0	0
0.9905142867684649	islamist fighter	abandon in	Somalia	0	MISC
1.0	tide	force islamists on	back foot	0	0
