1.0	Iron Curtain	have	fall	DATE	MISC
1.0	german Foreign Minister Frank-Walter Steinmeier	welcome accession to	the European Union	PERSON	ORGANIZATION
1.0	Their fellow members and the European Commission	be on	still road towards integration into european structure	0	0
1.0	EU	be for	the next six month	ORGANIZATION	DURATION
1.0	New Year	have	start	O	DATE
1.0	Bulgaria	have	accession	LOCATION	0
1.0	Their fellow members and the European Commission	be on	road towards full integration	0	0
1.0	they member	could impose	sanction	0	0
1.0	Germany	be on	Monday	LOCATION	DATE
1.0	they fellow member	could impose	sanction	0	0
1.0	Their fellow members and the European Commission	be on	still road towards full integration	0	0
1.0	Their fellow members and the European Commission	be on	still road towards integration	0	0
1.0	they member	could impose	sanction against two	0	NUMBER
1.0	Their fellow members and the European Commission	be on	still road	0	0
1.0	Their fellow members and the European Commission	be on	road towards full integration into structure	0	0
1.0	membership owing	have	surveillance	O	O
1.0	Their fellow members and the European Commission	be on	road towards full integration into european structure	0	0
1.0	the European Union	still have	work do	0	0
1.0	Their fellow members and the European Commission	be on	still road towards integration into structure	0	0
1.0	the European Union	have	hard work	0	0
1.0	shortcoming	be in	they judicial system	0	0
1.0	Their fellow members and the European Commission	be on	road towards integration	0	0
1.0	Bulgaria	have	accession	O	LOCATION
1.0	Their fellow members and the European Commission	be on	still road towards full integration into structure	0	0
1.0	agriculture	have	areas	O	O
1.0	Frank-Walter Steinmeier	be	german	PERSON	0
1.0	german Foreign Minister Frank-Walter Steinmeier	welcome	accession of Bulgaria	PERSON	LOCATION
1.0	they marginal fulfillment	be in	notably area of justice	DURATION	0
1.0	Their fellow members and the European Commission	be on	still road towards full integration into european structure	0	0
1.0	the European Union	still have	hard work do	0	0
1.0	the European Union	still have	work	0	0
1.0	Foreign Minister Frank-Walter Steinmeier	welcome	accession of Bulgaria	PERSON	LOCATION
1.0	the European Union	have	work do	0	0
1.0	bloc	have	constitution	O	O
1.0	german Foreign Minister Frank-Walter Steinmeier	welcome	accession	PERSON	0
1.0	Steinmeier	have	pleasure	O	O
1.0	bloc	have	contest constitution	0	0
1.0	Their fellow members	have	systems	O	O
1.0	EU	have	presidency	O	ORGANIZATION
1.0	the European Union	have	fold	O	O
1.0	Their fellow members and the European Commission	be on	road	0	0
1.0	the European Union	have	management	O	ORGANIZATION
1.0	Their fellow members and the European Commission	be on	road into structure	0	0
1.0	Their fellow members and the European Commission	be on	road towards integration into european structure	0	0
1.0	far the poorest in the EU club	have	members	O	O
1.0	adhesion criteria	have	fulfillment	O	O
1.0	the European Union	have	hard work do	0	0
1.0	Foreign Minister Frank-Walter Steinmeier	welcome accession to	the European Union	PERSON	ORGANIZATION
1.0	Their fellow members and the European Commission	be on	still road into structure	0	0
1.0	they fellow member	could impose	sanction against two	0	NUMBER
1.0	Their fellow members and the European Commission	be on	road towards integration into structure	0	0
1.0	Foreign Minister Frank-Walter Steinmeier	welcome	accession	PERSON	0
1.0	Their fellow members and the European Commission	be on	road into european structure	0	0
1.0	states	have	part	O	O
1.0	Romania	have	accession	O	LOCATION
1.0	justice	have	areas	O	O
1.0	the European Union	still have	hard work	0	0
1.0	rotate presidency	be with	promise seek	0	0
1.0	Their fellow members and the European Commission	be on	still road into european structure	0	0
1.0	Frank-Walter Steinmeier	be on	Monday	PERSON	DATE
1.0	far the poorest in the EU club	have	fulfillment	O	O
1.0	the European Union	have	work	0	0
