1.0	leader Saddam Hussein	have	execution	O	PERSON
1.0	five	have	up made	O	NUMBER
1.0	China	use widely	the United States	LOCATION	LOCATION
1.0	Council Italy	ensure	scrap	ORGANIZATION	0
1.0	death penalty spreads	have	scrapping	O	O
1.0	Commission	have	president	O	ORGANIZATION
1.0	Italy	put	pressure on other country	LOCATION	DURATION
1.0	members	have	use	O	O
1.0	Council Italy	will act	ensure	ORGANIZATION	0
1.0	members	have	up made	O	O
1.0	Council Italy	be apply in	country world over	ORGANIZATION	0
1.0	Italy	put	pressure	LOCATION	0
1.0	China	use	death penalty	LOCATION	0
1.0	Council Italy	ensure the	scrap of death penalty spread	ORGANIZATION	0
1.0	Saddam Hussein	be of	iraqi	PERSON	0
1.0	Italy	put	pressure on country	LOCATION	0
1.0	UN security Council	be for	the next two year	ORGANIZATION	DURATION
1.0	China	use	the United States	LOCATION	LOCATION
1.0	China	use death penalty of	five permanent member	LOCATION	NUMBER
1.0	China	use death penalty of	five member	LOCATION	NUMBER
1.0	Council Italy	will act	ensure that the	ORGANIZATION	0
1.0	Council Italy	ensure	scrap of death penalty spread	ORGANIZATION	0
1.0	Council Italy	ensure the	scrap	ORGANIZATION	0
1.0	China	use death penalty widely of	five member	LOCATION	NUMBER
1.0	China	use widely	death penalty	LOCATION	0
1.0	UN Security Council	have	member	O	ORGANIZATION
1.0	China	use death penalty widely of	five permanent member	LOCATION	NUMBER
1.0	Council Italy	will act on	UN security	ORGANIZATION	ORGANIZATION
