1.0	I	pick	my chance	0	0
1.0	seed	play	many of point	0	0
1.0	seed	play	many	0	0
1.0	this	be sort	I be lose at start	0	DATE
1.0	my	have	chances	O	O
1.0	fourth seed	play	many	ORDINAL	0
1.0	Murray next play	number from	64	PERSON	NUMBER
1.0	frustration	have	one two signs	O	O
1.0	you	be lose at	start	0	DATE
1.0	opening match	be	tricky	0	0
1.0	year	have	start	DATE	DATE
1.0	Andy Murray	drift into	real trouble	PERSON	0
1.0	Andy Murray	have	opening match	O	O
1.0	fourth seed	play well	many of point	ORDINAL	0
1.0	year	have	match	O	DATE
1.0	season	have	opening matches	O	O
1.0	seed	play well	many	0	0
1.0	fourth seed	play well	many	ORDINAL	0
1.0	Andy Murray	have	best	O	O
1.0	goals	have	one	NUMBER	O
1.0	Filippo Volandri	have	point	PERSON	0
1.0	seed	play well	many of point	0	0
1.0	opening match	be	often tricky	0	0
1.0	Filippo Volandri	have	best	O	O
1.0	temperature	be	centigrade	0	0
1.0	contest	have	half	O	O
1.0	Andy Murray	be	a	PERSON	0
1.0	fourth seed	play	many of important point	ORDINAL	0
1.0	balls	have	lot	O	O
1.0	Filippo Volandri	also have	he excuse	0	0
1.0	temperature	be centigrade in	single figure	0	0
1.0	points	have	many	O	O
1.0	fourth seed	play	many of point	ORDINAL	0
1.0	season	have	opening match	O	O
1.0	Filippo Volandri	have	he excuse	0	0
1.0	Filippo Volandri	have	excuses	O	O
1.0	matches	have	sort	O	O
1.0	fourth seed	play well	many of most important point	ORDINAL	0
1.0	temperature	be centigrade in	figure	0	0
1.0	seed	play well	many of important point	0	0
1.0	fourth seed	play well	many of important point	ORDINAL	0
1.0	you	lose	quite few	0	0
1.0	this	be sort	I be lose	0	0
1.0	Andy Murray	drift into	trouble	PERSON	0
1.0	seed	play well	many of most important point	0	0
1.0	you	have	goals	O	O
1.0	you	lose	few	0	0
1.0	seed	play	many of important point	0	0
1.0	seed	play	many of most important point	0	0
1.0	match	have	sort	O	O
1.0	fourth seed	play	many of most important point	ORDINAL	0
