1.0	Kabul	in spokesman be	Major Dominic Whyte	LOCATION	PERSON
0.5188180743982628	people	be kill in	most	0	0
1.0	worth dollar	be intend	win over such man	0	0
1.0	aggressive recruitment campaign	neighbour	Pakistan	0	LOCATION
0.5188180743982628	people	be	kill	0	0
1.0	military force	be target	insurgency 's hardline leader	0	0
1.0	Osama bin Laden	be leader of	Al-Qaeda	PERSON	ORGANIZATION
0.242225288846595	aggressive recruitment campaign	steady supply	madrassa	0	0
1.0	Taliban leadership	have	ranks	O	O
1.0	several isaf airstrike	be in	summer	0	DATE
1.0	the Taliban	of	regular suicide	ORGANIZATION	0
1.0	fighting	have	some	O	O
1.0	Taliban leadership	have	get	O	O
1.0	roadside bombings	have	brunt	O	O
1.0	fledgling Afghan army	have	approach	MISC	0
0.9014553960127855	military force	battle	taliban-led unrest	0	0
1.0	worth dollar	be intend	win	0	0
1.0	recruitment campaign	provide	steady supply	0	0
1.0	commander Akhtar Mohammad Osmani	have	December killing	O	PERSON
1.0	dollar	be intend	win over such man	0	0
1.0	province	have	Panjwayi district	O	O
1.0	ISAF	have tout operation despite	steady reinfiltration	ORGANIZATION	0
1.0	Osama bin Laden	be	Al-Qaeda	PERSON	ORGANIZATION
1.0	recruitment campaign	provide	fundamentalist madrassa	0	0
1.0	insurgency	have	helm	O	O
1.0	Taliban	as	biggest defeat	ORGANIZATION	0
0.242225288846595	recruitment campaign	supply	madrassa	0	0
0.242225288846595	recruitment campaign	steady supply	madrassa	0	0
1.0	commander	be say	fourth in rank of Taliban leadership	0	ORDINAL
1.0	Taliban militia	have	leaders	O	O
1.0	commander	be say	fourth in rank	0	ORDINAL
1.0	worth dollar	win over	such man	0	0
1.0	dollar	be intend	win over man	0	0
1.0	ISAF	have tout	operation	ORGANIZATION	0
0.5188180743982628	people	be kill in	some	0	0
1.0	members	have	one	NUMBER	O
1.0	Marsh	tell afp at	NATO 's base	PERSON	ORGANIZATION
0.5188180743982628	people	be kill in	some of fiercest fighting	0	0
0.242225288846595	recruitment campaign	steady supply	fundamentalist madrassa	0	0
1.0	ISAF	have tout operation despite	reinfiltration	ORGANIZATION	0
1.0	military force	be increasingly target	insurgency 's hardline leader	0	0
1.0	Taliban	have	level	O	ORGANIZATION
1.0	NATO	have	base	O	ORGANIZATION
1.0	shift	be in	focus	0	0
1.0	rebels	have	most	O	O
1.0	the Taliban	have	suicide	O	ORGANIZATION
1.0	recruitment campaign	provide	supply	0	0
1.0	insurgency	have	hardline leaders	O	O
1.0	Omar	be such as	Taliban	PERSON	ORGANIZATION
1.0	Mullah Mohammad Omar	be of	Taliban	PERSON	ORGANIZATION
0.9014553960127855	military force	battle	unrest	0	0
1.0	Taliban fighters	have	number	O	O
