1.0	invasion	have	opening night	TIME	O
1.0	final two	overlook	lake in Salaheddin province	NUMBER	LOCATION
1.0	memory	live on	on he palace still use	0	0
1.0	ornate palace	cover	total	0	0
1.0	today 's diplomat	surround by	thousand	DATE	0
1.0	absolute power	word in	dictatorial chic	0	0
1.0	many	be hate symbol of	repression	0	0
1.0	Saddam	have	power	O	PERSON
1.0	smart bomb	go through	dome	0	0
1.0	power	have	symbols	O	O
1.0	final two	overlook northwest	lake in Salaheddin province	NUMBER	LOCATION
1.0	reign	have	excesses	O	O
0.949401525527839	power	last word in	chic	0	0
1.0	palace	be	build bury Sunday	0	DATE
1.0	final two	be in	Thar Thar	NUMBER	LOCATION
1.0	palace	be	build	0	0
1.0	Begun	be	be invade by water of river Tigris	0	LOCATION
1.0	thousand	be	inscribe	0	0
1.0	his	have	party	O	O
1.0	crateload	fashion into	lavish corridor	0	0
1.0	today 's american diplomat	surround by	thousand of initial	DATE	0
1.0	Believers ' palace	be	actually fake palace	0	0
1.0	one	have	initials	O	NUMBER
1.0	you	have	look to you leader-president	0	0
1.0	government	have	enemies	O	O
1.0	Saddam	of	absolute power	PERSON	0
1.0	Begun	be	be invade by filthy water of river Tigris	0	LOCATION
1.0	children	have	Oh	O	O
1.0	you	have only	look	0	0
1.0	his	have	palaces	O	O
1.0	memory	live on	on he resplendent palace use	0	0
1.0	Saddam	in	Tikrit	PERSON	LOCATION
1.0	he regime	like	call	0	0
1.0	repression	have	symbols	O	O
1.0	Begun	be	be invade	0	0
1.0	many	be	hate symbol	0	0
0.949401525527839	absolute power	last word in	dictatorial chic	0	0
1.0	Begun	be	be invade by filthy water	0	0
1.0	today	have	diplomats	O	DATE
1.0	today 's diplomat	surround	they government 's enemy	DATE	0
1.0	you	leader-president	leader	0	0
1.0	Begun	be in	the 1980s	0	DATE
1.0	bunker	have	built	O	O
1.0	his	have	signature SH	O	O
1.0	kilometres	have	total	O	O
1.0	Begun	be	be invade by water	0	0
1.0	bricks	have	thousands	O	O
0.949401525527839	absolute power	word in	chic	0	0
1.0	today 's american diplomat	be in	Baghdad work	DATE	LOCATION
1.0	largest american embassy	be in	world	0	0
1.0	supreme leader Saddam Hussein	have	reign	O	O
1.0	Believers ' palace	be	fake palace	0	0
1.0	today 's american diplomat	surround	they government 's enemy	DATE	0
1.0	memory	live on	on he resplendent palace	0	0
1.0	crateload	fashion into	corridor	0	0
1.0	swearing allegiance	be in	despot 's resplendent rotunda hall	0	0
1.0	supreme leader Saddam Hussein	have	palaces	O	O
1.0	today 's american diplomat	surround	they government 's determine enemy	DATE	0
1.0	US force	cause	damage	LOCATION	0
1.0	today 's diplomat	surround	they government 's most determine enemy	DATE	0
1.0	bomb	go through	dome	0	0
1.0	today 's diplomat	surround by	thousand of initial	DATE	0
1.0	you	have	look	0	0
1.0	you	look to	you leader-president	0	0
1.0	Baghdad	have	northwest	O	LOCATION
1.0	you	look to	you leader	0	0
1.0	millions	have	plight	O	O
1.0	palace	be	build bury	0	0
1.0	government	have	most determine enemy	0	0
0.949401525527839	power	word in	dictatorial chic	0	0
1.0	which	have	one-third	ORDINAL	O
1.0	Saddam	lavish	he palace	PERSON	0
1.0	thousand	be inscribe with	he signature sh	0	0
1.0	memory	live on	on he palace	0	0
1.0	another	have	northwest	O	O
0.949401525527839	power	last word in	dictatorial chic	0	0
1.0	supreme leader Saddam Hussein	demand	mean	0	0
1.0	he regime	call	palace of people	0	0
1.0	US citizenship	have	oaths	O	O
1.0	bunker	have	structure	O	O
