1.0	airline official	say at_time	Tuesday	0	DATE
1.0	people	be think with	rescue team	0	0
1.0	people	be	think	0	0
1.0	Scott Jackson	have	daughters	O	O
1.0	people	be think with	rescue team race to crash site in West Sulawesi some 180 kilometre north of South Sulawesi capital	0	LOCATION
1.0	Java	have	islands	O	LOCATION
1.0	people	be think with	rescue team race to crash site in West Sulawesi north of South Sulawesi capital	0	LOCATION
1.0	people	be think with	rescue team race to crash site in West Sulawesi north of South Sulawesi provincial capital	0	LOCATION
1.0	people	be think	have survive	0	0
1.0	people	be think with	rescue team race in West Sulawesi north of South Sulawesi capital	0	LOCATION
1.0	Indonesia	have	region	O	LOCATION
1.0	Sulawesi	have	islands	O	LOCATION
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi north of South Sulawesi capital	0	LOCATION
1.0	people	be think with	rescue team race to crash site	0	0
1.0	three foreign citizens	have	names	O	O
1.0	Adam Air spokesman Ali	tell	AFP	PERSON	ORGANIZATION
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi	0	LOCATION
1.0	they name	be	Scott Jackson	0	PERSON
1.0	Adam Air Boeing	crash at_time	Monday	ORGANIZATION	DATE
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi some 180 kilometre north	0	LOCATION
1.0	people	be think with	rescue team race in West Sulawesi some 180 kilometre north of South Sulawesi provincial capital	0	LOCATION
1.0	people	be think with	rescue team race to crash site in West Sulawesi	0	LOCATION
1.0	people	be think with	rescue team race to crash site in West Sulawesi some 180 kilometre north of South Sulawesi provincial capital	0	LOCATION
1.0	people	be think with	rescue team race in West Sulawesi	0	LOCATION
1.0	people	be think with	rescue team race in West Sulawesi some 180 kilometre north of South Sulawesi capital	0	LOCATION
1.0	people	be think with	rescue team race to crash site near Polewali	0	LOCATION
1.0	Ali	be	Adam Air	PERSON	PERSON
1.0	people	be think with	rescue team race in West Sulawesi north of South Sulawesi provincial capital	0	LOCATION
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi some 180 kilometre north of South Sulawesi capital	0	LOCATION
1.0	Ali	be spokesman of	Adam Air	PERSON	PERSON
1.0	people	be think with	rescue team race to crash site in West Sulawesi north	0	LOCATION
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi north	0	LOCATION
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi some 180 kilometre north of South Sulawesi provincial capital	0	LOCATION
1.0	Adam Air Boeing 737-400	crash at_time	Monday	ORGANIZATION	DATE
1.0	South Sulawesi capital	have	north	O	O
1.0	people	be think with	rescue team race to crash site in West Sulawesi some 180 kilometre north	0	LOCATION
1.0	people	be think with	rescue team race in West Sulawesi some 180 kilometre north	0	LOCATION
1.0	people	be think with	rescue team race	0	0
1.0	people	be think with	rescue team race to crash site near Polewali in West Sulawesi north of South Sulawesi provincial capital	0	LOCATION
1.0	people	be think with	rescue team race in West Sulawesi north	0	LOCATION
