1.0	Group Captain Ajantha Silva	say	add	PERSON	0
1.0	30 people	be	seriously wound	NUMBER	0
1.0	rebel	suffer	casualty	0	0
1.0	Padahuthurai	have	hamlet	O	LOCATION
1.0	people	be	wound	0	0
1.0	people	be	seriously wound	0	0
1.0	toll	have	verification	O	O
1.0	30 people	be	wound	NUMBER	0
1.0	rebel	suffer	serious casualty	0	0
1.0	Mannar	have	Tiger base north	O	LOCATION
1.0	island	have	north	O	O
1.0	homes	have	left	O	O
1.0	further people	be	seriously wound	0	0
1.0	further 30 people	be	seriously wound	NUMBER	0
1.0	further people	be	wound	0	0
1.0	island	have	east	O	O
1.0	further 30 people	be	wound	NUMBER	0
1.0	Tamil areas	have	Liberaton Tigers	ORGANIZATION	O
