1.0	mining shares	have	value	O	O
0.13395351784420906	chilean mining group Antofagasta	slump in	London 's	LOCATION	LOCATION
1.0	fervent takeover activity	drive	strong company earnings	0	0
1.0	Hang Seng	close up off	new high of 20,554.58 hit	0	NUMBER
1.0	Hang Seng	close off	high	0	0
0.11105180709810691	anglo-swiss company Xstrata	dive to	2,490 pence	ORGANIZATION	MONEY
1.0	Tokyo market	reopen on	Thursday for half-day session	LOCATION	DATE
1.0	takeover activity	drive stock higher during	2006	0	DATE
1.0	Dow Jones Industrial Average	close at	12,463.15 point	MISC	NUMBER
1.0	european stock market	have close since	half	0	DATE
1.0	european stock market	have close on	wave of New year sentiment	0	DATE
1.0	european stock market	close at	level for almost six year	DURATION	DURATION
0.11105180709810691	company Xstrata	dive to	2,490 pence	ORGANIZATION	MONEY
1.0	Hang Seng	close off	all-time high	0	0
1.0	US financial market	be	close	LOCATION	0
1.0	12,510.57	have	record	O	NUMBER
1.0	takeover activity	help	company earnings	0	0
1.0	US market	be close on	Tuesday	LOCATION	DATE
1.0	market player	be await	the reopen of Wall Street follow start of 2007	0	DATE
1.0	Wall Street following the start of 2007	have edge lower in	trading session	0	0
1.0	Hong Kong	have	Hang Seng Index	MISC	LOCATION
1.0	Dow	end below	its all-time record of 12,510.57	MISC	NUMBER
1.0	european stock market	have close	higher on Tuesday	0	DATE
1.0	Wall Street following the start of 2007	have edge lower in	trading session of 2006	0	DATE
1.0	US financial market	be close on	Tuesday	LOCATION	DATE
1.0	Wall Street following the start of 2007	remain near	high	0	0
1.0	high	have	closed	O	O
1.0	stock market	close at	highest level for almost six year	DURATION	DURATION
1.0	2006	have	trading session	O	DATE
1.0	market player	be await	the of Wall Street follow start of 2007	0	DATE
1.0	european stock market	have close	sharply higher	0	0
1.0	market player	be meanwhile await	the reopen of Wall Street	0	0
1.0	Wall Street following the start of 2007	have edge in	final trading session of 2006	0	DATE
1.0	2.04 percent	be in	Paris	PERCENT	LOCATION
1.0	Tokyo market	reopen on	Thursday for session	LOCATION	DATE
1.0	US market	mark	death	LOCATION	0
1.0	european stock market	close at	highest level for almost six year	DURATION	DURATION
1.0	DAX 30 index	be	unchanged	NUMBER	0
1.0	2001	have	half	DATE	DATE
1.0	european stock market	close at	level	DURATION	0
1.0	Dow	end just below	its all-time record of 12,510.57	MISC	NUMBER
1.0	DAX index	be	unchanged	MISC	0
1.0	Tokyo market	reopen on	Thursday for session follow year break	LOCATION	DATE
1.0	takeover activity	drive	strong company earnings	0	0
1.0	market	cap at_time	year	0	DURATION
1.0	stock market	have close	sharply higher	0	0
1.0	Antofagasta	be	chilean	LOCATION	0
1.0	Wall Street following the start of 2007	have edge in	trading session	0	0
1.0	Hang Seng	close up off	all-time high	0	0
1.0	european stock market	close at	level for six year	DURATION	DURATION
1.0	Hang Seng	close up off	all-time high of 20,554.58 hit	0	NUMBER
1.0	stock market	steady in	early trading on Wednesday	DURATION	DURATION
1.0	european stock market	have close	higher	0	0
1.0	Wall Street following the start of 2007	have edge lower in	final trading session	0	0
1.0	market player	be meanwhile await	the reopen of Wall Street follow start of 2007	0	DATE
1.0	fervent takeover activity	drive strongly higher	stock	0	0
1.0	stock market	have close on	wave	0	0
1.0	DAX 30 index	be unchanged in	Frankfurt	NUMBER	LOCATION
1.0	takeover activity	drive stock during	2006	0	DATE
1.0	european stock market	close at	highest level for six year	DURATION	DURATION
1.0	european stock market	have close on	wave of positive New year sentiment	0	DATE
1.0	Tokyo market	reopen on	Thursday	LOCATION	DATE
1.0	Dow	have leap	16.3 percent	MISC	PERCENT
1.0	stock market	have close since	half of 2001	0	DATE
1.0	fervent takeover activity	help	company earnings	0	0
1.0	stock market	close at	highest level	DURATION	0
1.0	s	close	p 500 index	0	NUMBER
1.0	hit	have	high	O	O
0.13395351784420906	mining group Antofagasta	slump to	499 pence	LOCATION	MONEY
1.0	fervent takeover activity	drive higher	stock	0	0
1.0	fervent takeover activity	drive strongly higher	strong company earnings	0	0
1.0	year	have	trading day	DATE	DATE
1.0	stock market	have close	sharply higher with London	0	LOCATION
1.0	Hang Seng	close up off	new all-time high of 20,554.58 hit	0	NUMBER
1.0	takeover activity	drive higher	strong company earnings	0	0
1.0	the Dow Jones Industrial Average -- which topped 12,500 for the first time last week to strike a new all - time high --	have	record	O	O
1.0	sustained interest	be in	HSBC	0	ORGANIZATION
1.0	Wall Street following the start of 2007	have edge lower in	final trading session of 2006	0	DATE
1.0	european stock market	have close since	first half of 2001	0	DATE
1.0	DAX index	be	in Frankfurt unchanged at 6,681.14 point	MISC	NUMBER
1.0	takeover activity	drive stock strongly higher during	2006	0	DATE
1.0	Wall Street following the start of 2007	have edge in	final trading session	0	0
1.0	Tokyo market	reopen on	Thursday for half-day session follow new year break	LOCATION	DATE
1.0	stock market	have close since	first half of 2001	0	DATE
1.0	Dow Jones Industrial Average	close down in	US deal on Friday	MISC	LOCATION
1.0	market player	be meanwhile await	the of Wall Street follow start of 2007	0	DATE
1.0	market player	be meanwhile await	the of Wall Street follow start	0	0
1.0	US market	mark	death of former US president Gerald Ford	LOCATION	LOCATION
1.0	2007	have	start	O	DATE
1.0	Wall Street following the start of 2007	have edge lower at_time	Friday	0	DATE
1.0	s	close	p index	0	0
1.0	US financial market	mark	death of former US president Gerald Ford	LOCATION	LOCATION
1.0	Gerald Ford	be of	US	PERSON	LOCATION
1.0	US president Gerald Ford	have	death	O	PERSON
1.0	european stock market	steady in	trading	DURATION	DURATION
1.0	Hang Seng	close off	new high	0	0
1.0	market player	be await	the of Wall Street	0	0
1.0	s	close higher	p 500 index	0	NUMBER
1.0	market player	be await	the reopen of Wall Street follow start	0	0
1.0	Paris CAC 40	edge to	5,615.39 point	LOCATION	NUMBER
1.0	Dow	end below	its record	MISC	0
1.0	european stock market	have close	higher with London	0	LOCATION
1.0	DAX index	be unchanged in	Frankfurt	MISC	LOCATION
1.0	17.5 percent	win	10.7 percent	PERCENT	PERCENT
1.0	Asia	be on	Wednesday	LOCATION	DATE
1.0	Hang Seng	close up off	high of 20,554.58 hit	0	NUMBER
1.0	16.3 percent	be in	2006	PERCENT	DATE
1.0	fervent takeover activity	help	strong company earnings	0	0
1.0	european stock market	have close since	half of 2001	0	DATE
1.0	Dow	end just below	its record of 12,510.57	MISC	NUMBER
1.0	Wall Street following the start of 2007	have edge in	trading session of 2006	0	DATE
1.0	Paris CAC	edge down to	5,615.39 point	LOCATION	NUMBER
1.0	s	close higher	p index	0	0
1.0	fervent takeover activity	drive	company earnings	0	0
1.0	fervent takeover activity	drive higher	european stock	0	0
1.0	takeover activity	drive higher	european stock	0	0
1.0	Mittal Steel	drop	2.04 percent in Paris	ORGANIZATION	LOCATION
1.0	takeover activity	drive strongly higher	strong company earnings	0	0
1.0	country	for	market	0	0
1.0	european stock market	have close on	wave	0	0
1.0	Wall Street following the start of 2007	remain near	historic high	0	0
1.0	country	have	US financial markets	O	O
1.0	DAX 30 index	be	in Frankfurt unchanged at 6,681.14 point	NUMBER	NUMBER
1.0	company Xstrata	dive	3.08 percent	ORGANIZATION	PERCENT
1.0	London	have	FTSE index	O	LOCATION
1.0	Hang Seng	close off	high of 20,554.58 hit	0	NUMBER
1.0	Hang Seng	close up off	new all-time high	0	0
1.0	stock market	have close	higher with London	0	LOCATION
1.0	fervent takeover activity	drive	stock	0	0
1.0	stock market	steady in	trading	DURATION	DURATION
1.0	market player	be await	the of Wall Street follow start	0	0
1.0	Hang Seng	close up off	new high	0	0
1.0	Hang Seng	close in	morning session	0	TIME
1.0	Dow Jones Industrial Average	close in	US deal	MISC	LOCATION
1.0	Dow	end just below	its record	MISC	0
1.0	european stock market	close at	highest level	DURATION	0
1.0	Paris CAC 40	edge down to	5,615.39 point	LOCATION	NUMBER
1.0	fervent takeover activity	drive strongly higher	european stock	0	0
1.0	stock market	close at	level for six year	DURATION	DURATION
1.0	stock market	steady at_time	day	DURATION	DURATION
1.0	fervent takeover activity	drive stock higher during	2006	0	DATE
1.0	17.5 percent	win	ftse 100	PERCENT	MONEY
1.0	London	have	ftse 100 index of lead share	LOCATION	NUMBER
1.0	stock market	close at	highest level for six year	DURATION	DURATION
1.0	takeover activity	drive higher	company earnings	0	0
1.0	Dow	have leap	16.3 percent in 2006	MISC	PERCENT
1.0	Tuesday	day of	day of the year	DATE	DATE
1.0	Germany	have	DAX 30	LOCATION	NUMBER
1.0	Hang Seng	close off	new high of 20,554.58 hit	0	NUMBER
1.0	european stock market	steady at_time	day	DURATION	DURATION
1.0	Hang Seng	close up in	morning session	0	TIME
1.0	stock market	have close	higher on Tuesday	0	DATE
