1.0	earthquake	hit at	7:47 pm	0	TIME
1.0	casualties	have	reports	O	O
1.0	indonesian archipelago	sit on	Pacific ring	0	LOCATION
1.0	plate	cause	seismic	0	0
1.0	Indonesia	be	nation hit	LOCATION	0
1.0	damage	have	reports	O	O
1.0	Fire	have	Pacific Ring	LOCATION	LOCATION
1.0	earthquake-triggered asian tsunami	be in	December 2004	0	DATE
1.0	Sumatra	have	island	O	LOCATION
1.0	indonesian archipelago	sit on	Pacific ring of fire	0	LOCATION
1.0	continental plate	cause	frequent seismic	0	0
1.0	continental plate	cause	seismic	0	0
1.0	archipelago	sit on	Pacific ring	0	LOCATION
1.0	168,000 people	be in	Aceh province	NUMBER	LOCATION
1.0	plate	cause	frequent seismic	0	0
1.0	archipelago	sit on	Pacific ring of fire	0	LOCATION
1.0	Indonesia	be	nation	LOCATION	0
1.0	Banda Aceh	have	centred	O	LOCATION
