1.0	Movement for the Emancipation of the Niger Delta	of emancipation be	MEND	ORGANIZATION	0
1.0	Nigeria	in	Bayelsa State	LOCATION	LOCATION
1.0	italian energy group ENI	deny at_time	Wednesday	ORGANIZATION	DATE
1.0	mend militant abducted national	own by	Agip	0	ORGANIZATION
1.0	Diepreye Alamieyeseigha	be governor of	Bayelsa State	PERSON	ORGANIZATION
1.0	energy group ENI	deny at_time	Wednesday	ORGANIZATION	DATE
1.0	group	also want	larger share for southern Nigerians	0	MISC
1.0	separatist Movement	say at_time	Tuesday	ORGANIZATION	DATE
1.0	country	have	exchange income	O	O
1.0	Nigeria	have	Bayelsa State	LOCATION	LOCATION
1.0	group	want	larger share for southern Nigerians	0	MISC
1.0	group	want	share for Nigerians	0	MISC
1.0	group	want	share for southern Nigerians	0	MISC
1.0	employees	have	kidnapping	O	O
1.0	energy group ENI	deny	try	ORGANIZATION	0
1.0	group	want	share	0	0
1.0	attempt	be	where immediately report	0	0
1.0	italian energy group ENI	deny	try	ORGANIZATION	0
1.0	authority	release	former Bayelsa State governor Diepreye Alamieyeseigha jail	0	PERSON
1.0	our	have	camps	O	O
1.0	Italian energy group ENI	say in	statement	ORGANIZATION	0
1.0	its employee	be in	southern Nigeria	0	LOCATION
1.0	Diepreye Alamieyeseigha	be	Bayelsa State	PERSON	ORGANIZATION
1.0	group	also want	share for Nigerians	0	MISC
1.0	kidnapping	have	affair	O	O
1.0	nigerian authority	release	former Bayelsa State governor Diepreye Alamieyeseigha	0	PERSON
1.0	camps	have	one	NUMBER	O
1.0	Italian energy group ENI	have	employees	O	O
1.0	ENI	be	italian	ORGANIZATION	0
1.0	mend militant abducted	own by	Agip	0	ORGANIZATION
1.0	mend militant abducted national	own in	Brass	0	LOCATION
1.0	attempt	be	where report	0	0
1.0	Agip	be	Italian energy group ENI	ORGANIZATION	ORGANIZATION
1.0	positive resolution	for unit be	italian foreign ministry	0	0
1.0	Niger Delta	have	Emancipation	ORGANIZATION	ORGANIZATION
1.0	attempt	be	immediately report	0	0
1.0	group	also want	share	0	0
1.0	workers abducted	have	release	O	O
1.0	middleman	bring	70 million naira	0	MONEY
1.0	nigerian authority	release	former Bayelsa State governor Diepreye Alamieyeseigha jail	0	PERSON
1.0	country	have	foreign exchange income	0	0
1.0	group	want	larger share	0	0
1.0	its	have	workers abducted	O	O
1.0	authority	release	former Bayelsa State governor Diepreye Alamieyeseigha jail on corruption charge	0	PERSON
1.0	Movement	say at_time	Tuesday	ORGANIZATION	DATE
1.0	four	have	release	O	NUMBER
1.0	attempt	be	report	0	0
1.0	authority	release	former Bayelsa State governor Diepreye Alamieyeseigha	0	PERSON
1.0	group	also want	larger share	0	0
1.0	mend militant abducted	own in	Brass	0	LOCATION
1.0	group	also want	share for southern Nigerians	0	MISC
1.0	group	also want	larger share for Nigerians	0	MISC
1.0	mend militant abducted national	be in	Bayelsa State	0	LOCATION
1.0	group	want	larger share for Nigerians	0	MISC
1.0	Agip	be subsidiary of	Italian energy group ENI	ORGANIZATION	ORGANIZATION
1.0	nigerian authority	release	former Bayelsa State governor Diepreye Alamieyeseigha jail on corruption charge	0	PERSON
