1.0	ground	be in	November	0	DATE
1.0	UEFA Cup loss	be close at	home to Israeli 's Hapoel Tel Aviv	MISC	LOCATION
1.0	PSG	have	hardcore	O	ORGANIZATION
1.0	notorious stand	will remain	shut	0	0
1.0	some	have	home	O	O
0.5129941843651231	Boulogne stand	schedule for	end	0	DATE
1.0	stand	be	notorious fascist fan	0	0
1.0	fan	be	kill	0	0
1.0	fan	be	shoot	0	0
1.0	fan	be shoot at	end of November follow club 's	0	DATE
1.0	closed stand	be	fascist fan	0	0
1.0	Israeli	have	Hapoel Tel Aviv	LOCATION	MISC
1.0	fan	be shoot	dead by police officer	0	DATE
1.0	4-2 UEFA Cup loss	be	close	MISC	0
1.0	Israeli	to	Tel Aviv	MISC	LOCATION
1.0	PSG	of	most hardcore	ORGANIZATION	0
1.0	fan	be shoot	dead	0	0
1.0	fan	be shoot	dead by off-duty police officer	0	DATE
1.0	stand	be	fan	0	0
0.5129941843651231	Boulogne stand	schedule for	end January 2007	0	DATE
1.0	4-2 UEFA Cup loss	be close at	home to Israeli 's Hapoel Tel Aviv	MISC	LOCATION
1.0	fan	be kill outside	ground in November	0	DATE
1.0	system	have	putting	O	O
1.0	end	claim at_time	Wednesday	DATE	DATE
1.0	stand	will remain	shut	0	0
1.0	closed stand	be	notorious fan	0	0
1.0	November	have	end	DATE	DATE
1.0	fan	be shoot at	end of November	0	DATE
1.0	supporters associations	have	commitment	O	O
1.0	fan	be kill outside	ground	0	0
0.6601791433778947	Boulogne	stand at	PSG	MISC	ORGANIZATION
1.0	closed stand	be	notorious fascist fan	0	0
1.0	stand	will remain	shut at least	0	0
1.0	fan	be shoot at	end follow club 's	0	DATE
1.0	January	have	end	DATE	DATE
1.0	stand	be	fascist fan	0	0
1.0	notorious stand	will remain	shut at least	0	0
1.0	hardcore	have	some	O	O
1.0	UEFA Cup loss	be	close	MISC	0
1.0	fan	be shoot at	end	0	DATE
1.0	UEFA Cup loss	be close at	home	MISC	0
1.0	stand	be	notorious fan	0	0
1.0	closed stand	be	fan	0	0
1.0	4-2 UEFA Cup loss	be close at	home	MISC	0
