1.0	four pakistani militant	be in	its part of dispute Kashmir	NUMBER	LOCATION
1.0	police	have	team	O	O
1.0	the fight	take place in	250 kilometer	0	NUMBER
1.0	army	have	team	O	O
1.0	the	take place from	Jammu	0	LOCATION
0.9445714705699689	Kashmir	divide between	India	LOCATION	LOCATION
1.0	the fight	take place in	Ramban district	0	LOCATION
1.0	Kashmir	have	winter capital	O	LOCATION
1.0	the	take	place	0	0
1.0	The Indian army on Thursday	have	part	O	O
1.0	Jammu	be winter capital of	indian Kashmir	LOCATION	LOCATION
1.0	the fight	take place from	indian Kashmir 's winter capital	0	DATE
1.0	the fight	take place from	Jammu	0	LOCATION
1.0	indian Kashmir	from	winter capital	LOCATION	DATE
1.0	the	take place in	250 kilometer	0	NUMBER
1.0	the fight	take	place	0	0
1.0	the	take place from	Kashmir 's winter capital	0	DATE
1.0	the	take place in	Ramban district	0	LOCATION
1.0	the fight	take place from	Kashmir 's winter capital	0	DATE
1.0	the	take place from	indian Kashmir 's winter capital	0	DATE
1.0	insurgency	have	grip	O	O
1.0	Kashmir	have	part	O	LOCATION
1.0	indian Kashmir	's capital be	Jammu	LOCATION	LOCATION
