1.0	he wife	tell	afp	0	0
1.0	Fatah	agree to	ceasefire	ORGANIZATION	0
1.0	unknown gunman	fire for	three victim of clash there on Wednesday	0	NUMBER
1.0	over armed clash	be in	Gaza Strip	0	LOCATION
1.0	gunman	fire in	northern West Bank town	0	LOCATION
1.0	Mahmud Abbas	have	Fatah party restore in Khan Yunis	PERSON	LOCATION
1.0	gunman	meanwhile fire on	house of prisoner minister	0	0
1.0	unidentified gunman	meanwhile fire in	West Bank town	0	LOCATION
1.0	gunman	fire for	three of victim of clash there	0	NUMBER
1.0	factional tension	erupt again	day	DURATION	DURATION
1.0	unidentified gunman	meanwhile fire in	northern West Bank town	0	LOCATION
0.07525361047731705	palestinian tension	erupt again into	violence	DURATION	0
1.0	his	have	home	O	O
1.0	unknown gunman	fire for	three victim of clash there	0	NUMBER
0.07525361047731705	palestinian factional tension	erupt into	violence	DURATION	0
1.0	palestinian factional tension	erupt day into	violence	DURATION	0
1.0	unknown gunman	fire for	three of victim	0	NUMBER
1.0	gunman	fire for	three of victim of clash	0	NUMBER
1.0	unidentified gunman	meanwhile fire on	house	0	0
1.0	palestinian tension	erupt	day	DURATION	DURATION
1.0	gunman	fire on	house	0	0
1.0	people deal	restore	calm	DURATION	DURATION
1.0	unknown gunman	fire on	funeral	0	0
1.0	unknown gunman	fire for	three victim of clash	0	NUMBER
1.0	Khan Yunis	have	Gaza Strip town	O	LOCATION
1.0	gunman	fire for	three victim of clash there	0	NUMBER
1.0	president Mahmud Abbas 's Fatah party	restore calm in	Khan Yunis	ORGANIZATION	LOCATION
1.0	unknown gunman	fire for	three of victim of clash there on Wednesday	0	NUMBER
1.0	gunman	fire in	hamas-led government	0	0
1.0	unidentified gunman	fire in	Wasfi Kabha	0	PERSON
1.0	prisoners minister	have	house	O	O
0.07525361047731705	factional tension	erupt again into	violence	DURATION	0
1.0	palestinian factional tension	erupt again day into	violence	DURATION	0
1.0	gunman	fire in	West Bank town	0	LOCATION
0.9745810955288918	15 people	day of	internecine violence	NUMBER	0
1.0	internecine violence	have	days	DURATION	O
1.0	tension	erupt	day	0	DURATION
1.0	unidentified gunman	meanwhile fire in	Wasfi Kabha	0	PERSON
1.0	gunman	fire for	three victim of clash	0	NUMBER
1.0	Wasfi Kabha	have	car	O	O
0.07525361047731705	palestinian tension	erupt into	violence	DURATION	0
1.0	palestinian tension	erupt again day into	violence	DURATION	0
1.0	Basher Karami	be official of	Hamas	PERSON	ORGANIZATION
1.0	unidentified gunman	meanwhile fire in	government	0	0
1.0	abducted	be in	Ramallah	0	LOCATION
1.0	violence	come at_time	late Wednesday	0	DATE
1.0	palestinian tension	erupt again	day	DURATION	DURATION
1.0	Fatah	agree	Hamas	ORGANIZATION	ORGANIZATION
1.0	gunman	fire in	West Bank town of Jenin	0	LOCATION
1.0	unidentified gunman	meanwhile fire in	northern West Bank town of Jenin	0	LOCATION
1.0	gunman	meanwhile fire in	northern West Bank town of Jenin	0	LOCATION
1.0	gunman	meanwhile fire in	West Bank town of Jenin	0	LOCATION
1.0	gunman	fire in	government	0	0
1.0	gunman	fire for	three of victim	0	NUMBER
1.0	clashes	have	victims	O	O
1.0	gunman	fire in	northern West Bank town of Jenin	0	LOCATION
0.07525361047731705	factional tension	erupt into	violence	DURATION	0
1.0	our	have	house	O	O
1.0	unidentified gunman	fire in	hamas-led government	0	0
1.0	Jenin	have	West Bank town	O	LOCATION
1.0	they	be clash since	December 19	0	DATE
1.0	gunman	fire for	three of victim of clash there on Wednesday	0	NUMBER
1.0	unidentified gunman	meanwhile fire in	West Bank town of Jenin	0	LOCATION
1.0	his	have	wife	O	O
1.0	gunman	fire for	three victim	0	NUMBER
1.0	unidentified gunman	meanwhile fire in	hamas-led government	0	0
1.0	tension	erupt again day into	violence	0	0
0.07525361047731705	tension	erupt again into	violence	0	0
1.0	health ministry	have	deputy director	O	O
1.0	Basher Karami	be	Hamas	PERSON	ORGANIZATION
1.0	they	be	deadliest clash	0	0
1.0	gunman	meanwhile fire in	northern West Bank town	0	LOCATION
1.0	violence	come between	ruling	0	0
1.0	people political deal	restore	calm	DURATION	DURATION
0.6588235012320286	people	be kill in	Gaza Strip	0	DURATION
1.0	unidentified gunman	fire in	northern West Bank town	0	LOCATION
1.0	unidentified gunman	meanwhile fire on	house of prisoner minister	0	0
0.6588235012320286	people	be	kill	0	0
1.0	unidentified gunman	fire in	northern West Bank town of Jenin	0	LOCATION
1.0	unidentified gunman	fire in	West Bank town	0	LOCATION
1.0	gunman	meanwhile fire on	house	0	0
1.0	gunman	fire on	house of prisoner minister	0	0
1.0	gunman	meanwhile fire in	West Bank town	0	LOCATION
1.0	palestinian factional tension	erupt again	day	DURATION	DURATION
1.0	tension	erupt day into	violence	0	0
1.0	gunman	fire in	Wasfi Kabha	0	PERSON
1.0	gunman	meanwhile fire in	government	0	0
1.0	five people political deal	restore	calm	NUMBER	DURATION
