1.0	other part	be with	saw	0	0
1.0	news	dominate media with	family know with two foreign car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know	0	0
1.0	Yuki	be on	away program	PERSON	0
1.0	sibling	live at	building	0	0
1.0	sister	have	death	O	O
1.0	relative	be in	Japan	0	LOCATION
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	news	dominate	media	0	0
1.0	Yuki	be initially think	have cram program	PERSON	0
1.0	news	dominate media with	family know with two car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	Yuki	be on	cram program since December 31	PERSON	DATE
1.0	Yuki Muto	be	twenty-one-year-old	PERSON	0
1.0	their father	have	sister	O	O
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	dismembered body	wrap in	closet	0	0
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot with condominium	0	NUMBER
1.0	he	be also investigate on	suspicion	0	0
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot with condominium	0	NUMBER
1.0	dismembered body	wrap in	four plastic bag	0	NUMBER
1.0	Yuki	be on	away cram program	PERSON	0
1.0	news	dominate media with	family know with two foreign car	0	NUMBER
1.0	news	dominate media with	family know with two car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	Yuki	be initially think	have away cram program since December 31	PERSON	DATE
1.0	official	say at	press briefing	0	0
1.0	he	be expect	investigate	0	0
1.0	Yuki	be	cram	PERSON	0
1.0	Yuki	be initially think	have program since December 31	PERSON	DATE
1.0	Twenty-one-year-old Yuki Muto	have	sister	O	O
1.0	Yuki	be on	program	PERSON	0
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot with condominium near hub	0	NUMBER
1.0	Yuki	be think	have cram program	PERSON	0
1.0	news	dominate media with	family know with two foreign car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	Yuki	enter	college	PERSON	0
1.0	news	dominate media with	family	0	0
1.0	Yuki	be think	have cram program since December 31	PERSON	DATE
1.0	The siblings	have	brother	O	O
1.0	he	be	expect	0	0
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	he	be	investigate	0	0
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know with two car	0	NUMBER
1.0	their father	have	dreams	O	O
1.0	sibling	live at	three-story building	0	0
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood	0	NUMBER
1.0	Shinjuku	have	hubs	O	LOCATION
1.0	The siblings	have	father	O	O
1.0	news	dominate media with	family know with two foreign car in neighborhood dot with condominium near hub	0	NUMBER
1.0	news	dominate media with	family know with two luxurious car	0	NUMBER
1.0	he	be expect	also investigate on suspicion of murder	0	0
1.0	news	dominate media with	family know with two car in neighborhood	0	NUMBER
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot	0	NUMBER
1.0	he	be investigate on	suspicion	0	0
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	Yuki	be	think	PERSON	0
1.0	Yuki	be think	have program since December 31	PERSON	DATE
1.0	he	be expect	investigate on suspicion	0	0
1.0	body	wrap in	closet	0	0
1.0	news	dominate media with	family know with two car in neighborhood dot with condominium	0	NUMBER
1.0	he	be expect	investigate on suspicion of murder	0	0
1.0	he	be expect	also investigate on suspicion	0	0
1.0	Yuki	be initially think	have away program since December 31	PERSON	DATE
1.0	news	dominate media with	family know with two foreign car in neighborhood dot	0	NUMBER
1.0	murder	have	News	O	O
1.0	Yuki	be think	have away program since December 31	PERSON	DATE
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car	0	NUMBER
1.0	news	dominate media with	family know as amicable with two luxurious foreign car	0	NUMBER
1.0	A Japanese pre-college student	have	sister	O	O
1.0	sister	have	body	O	O
1.0	news	dominate media with	family know as amicable	0	0
1.0	Yuki	be initially think	have away program	PERSON	0
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot with condominium near hub	0	NUMBER
1.0	Yuki	be on	away program since December 31	PERSON	DATE
1.0	Azumi	be	discover	PERSON	0
1.0	Yuki	be	initially think	PERSON	0
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood	0	NUMBER
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot with condominium near hub	0	NUMBER
1.0	Yuki	be student at	cram school	PERSON	0
1.0	news	dominate media with	family know with two foreign car in neighborhood	0	NUMBER
1.0	he	be expect	also investigate	0	0
1.0	news	dominate media with	family know with two foreign car in neighborhood dot with condominium	0	NUMBER
1.0	news	dominate	local media	0	0
1.0	Yuki	enter	dental college	PERSON	0
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	Azumi	be	discover by she mother Wednesday	PERSON	DATE
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	Yuki	be think	have program	PERSON	0
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	Yuki	be initially think	have cram program since December 31	PERSON	DATE
1.0	news	dominate media with	family know as amicable with two luxurious car	0	NUMBER
1.0	their	have	home	O	O
1.0	news	dominate media with	family know with two foreign car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	he	be also investigate on	suspicion of murder	0	0
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot	0	NUMBER
1.0	Yuki	be on	program since December 31	PERSON	DATE
1.0	Yuki	be	student	PERSON	0
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot with condominium near commercial hub	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	Yuki	be on	cram program	PERSON	0
1.0	Azumi	have	mother	O	O
1.0	news	dominate media with	family know with two luxurious car in neighborhood	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot	0	NUMBER
1.0	The siblings	have	mother	O	O
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot with condominium	0	NUMBER
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood dot with condominium	0	NUMBER
1.0	Yuki	be initially think	have away cram program	PERSON	0
1.0	Yuki	be think	have away cram program since December 31	PERSON	DATE
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot with condominium	0	NUMBER
1.0	their father	kill	his sister Azumi , a 20-year-old junior college student , was discovered by her mother Wednesday	0	0
1.0	he	be	also investigate	0	0
1.0	news	dominate media with	family know as amicable with two luxurious foreign car in neighborhood dot with condominium near hub	0	NUMBER
1.0	the official	have	home	O	O
1.0	Yuki	be on	away cram program since December 31	PERSON	DATE
1.0	news	dominate media with	family know with two car in neighborhood dot with condominium near hub	0	NUMBER
1.0	sibling	live with	they father	0	0
1.0	Yuki	be think	have away program	PERSON	0
1.0	whose	have	body	O	O
1.0	Yuki	be student at	cram school aspire	PERSON	0
