1.0	important stage	be in	my career	0	0
1.0	Porto	have sign	defender Lucas Mareque	ORGANIZATION	PERSON
1.0	Lucas Mareque	be	argentine	PERSON	0
1.0	Ricardo Costa	be	set	PERSON	0
1.0	team	have	part	O	O
1.0	Porto	have sign	argentine defender Lucas Mareque	ORGANIZATION	PERSON
1.0	Porto	have	website	O	ORGANIZATION
1.0	Ricardo Costa	be set	join	PERSON	0
1.0	this	be	important stage	0	0
1.0	Porto	have sign defender lucas mareque from	River Plata	ORGANIZATION	LOCATION
1.0	this	be important stage in	my career	0	0
1.0	this	be	important	0	0
1.0	club	say on	Thursday	0	DATE
1.0	this	be	stage	0	0
1.0	our	have	team	O	O
1.0	Ricardo Costa	join	struggle	PERSON	0
1.0	their	have	defender	O	O
1.0	this	be stage in	my career	0	0
1.0	The 23-year-old	have	career	O	O
