1.0	Euronext	operate	the Amsterdam	ORGANIZATION	LOCATION
1.0	increase activity	represent	33.2 percent increase	0	PERCENT
1.0	activity	represent	33.2 percent increase	0	PERCENT
1.0	year	see	record 147 new listing on four bourse	DATE	NUMBER
1.0	transactions	have	number	O	O
1.0	last year	see	record 147 listing on four bourse	DATE	NUMBER
1.0	The pan-European financial markets operator Euronext	have	share trading volume	O	O
1.0	December	have	end	DATE	DATE
1.0	year	see	record 147 listing	DATE	NUMBER
1.0	Euronext	have	Euronext.liffe derivatives	O	O
1.0	year	see	record 147 listing on four bourse	DATE	NUMBER
1.0	increase activity	represent	33.2 percent increase in turnover	0	PERCENT
1.0	activity	represent	33.2 percent increase in turnover	0	PERCENT
1.0	33.2 percent increase	be in	turnover	PERCENT	0
1.0	year	see	record 147 new listing	DATE	NUMBER
1.0	last year	see	record 147 new listing on four bourse	DATE	NUMBER
1.0	last year	see	record 147 new listing	DATE	NUMBER
1.0	last year	see	record 147 listing	DATE	NUMBER
1.0	companies	have	market capitalisation	O	O
