0.48805770889073624	South Africa-born France	run at	centre	LOCATION	0
1.0	bottom-of-the-league Bayonne	close	gap on Montpellier one of they	LOCATION	NUMBER
1.0	table-topper	face	Bayonne	0	LOCATION
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by lock Rob Linde on Thursday	LOCATION	DATE
1.0	Perpignan	be	Toulouse	LOCATION	LOCATION
1.0	Perpignan	be host of	Toulouse	LOCATION	LOCATION
1.0	Pablo Cannavosio	be	italian	PERSON	0
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension	LOCATION	0
1.0	flanker Remy Martin and Argentinian full-back Juan Martin Hernandez	have	gap	O	O
1.0	bottom-of-the-league Bayonne	close	gap	LOCATION	0
1.0	Stade , with 13 wins from their 17 outings so far in the season	have	adrift	O	O
1.0	Castres	be	Clermont	ORGANIZATION	ORGANIZATION
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign	LOCATION	0
1.0	bottom-of-the-league Bayonne	close gap in	table	LOCATION	0
1.0	play-off	perpignan while	Biarittz travel	0	PERSON
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by african lock Rob Linde on Thursday	LOCATION	DATE
1.0	Juan Martin Hernandez	be	argentinian	PERSON	0
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by south lock Rob Linde	LOCATION	PERSON
1.0	Rob Linde	be by	south african	PERSON	0
1.0	agen	be	Albi	0	PERSON
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by south african lock Rob Linde	LOCATION	PERSON
1.0	Montauban	be	Brive	ORGANIZATION	ORGANIZATION
1.0	table-topper	face bayonne with	second-placed Clermont	0	ORGANIZATION
1.0	Agen	be	Albi	ORGANIZATION	PERSON
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by south african lock Rob Linde on Thursday	LOCATION	DATE
1.0	agen	be host of	Albi	0	PERSON
1.0	drop zone	have	see	O	O
1.0	Montpellier	be	Narbonne	ORGANIZATION	ORGANIZATION
1.0	second-placed Clermont facing a tricky tie against mid - table Castres	might have	do	LOCATION	0
1.0	table-topper	face bayonne with	Clermont	0	ORGANIZATION
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by african lock Rob Linde	LOCATION	PERSON
0.9525597697638952	second-placed Clermont facing a tricky tie against mid - table Castres	second in	adrift of Stade	LOCATION	0
1.0	bottom-of-the-league Bayonne	close	gap on Montpellier one ahead of they	LOCATION	NUMBER
1.0	Rob Linde	be on	Thursday	PERSON	DATE
1.0	Perpignan	be	Toulouse	ORGANIZATION	ORGANIZATION
1.0	bottom-of-the-league Bayonne	close	gap of they	LOCATION	0
1.0	bottom-of-the-league Bayonne	close	gap on Montpellier one	LOCATION	NUMBER
1.0	Stade welcome	be	expect	0	0
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by lock Rob Linde	LOCATION	PERSON
0.8919841494899281	bottom-of-the-league Bayonne	boost by	contract extension sign by south lock Rob Linde on Thursday	LOCATION	DATE
1.0	table-topper	face	bottom-of-the-league Bayonne	0	LOCATION
1.0	Biarritz	be	Bourgoin	ORGANIZATION	ORGANIZATION
1.0	Stade , with 13 wins from their 17 outings so far in the season	be	expect	0	0
1.0	Table-toppers Stade Francais	have	outings	O	O
1.0	stade Francais	be	Bayonne	ORGANIZATION	ORGANIZATION
1.0	bottom-of-the-league Bayonne	close	gap ahead of they	LOCATION	0
1.0	final fourth-placed spot	be in	table	0	0
0.9525597697638952	second-placed Clermont facing a tricky tie against mid - table Castres	second in	top adrift of Stade	LOCATION	0
