1.0	they	do	nothing	0	0
1.0	Wigan 's Lee McCulloch	ban for	three game	PERSON	NUMBER
1.0	restraint	have	model	O	O
1.0	commission	suspend	defender	0	0
1.0	challenge	have	end	O	O
1.0	things	have	football side	O	O
1.0	I	be	happy	0	0
1.0	Sheffield United captain Chris Morgan	have	have ban Thursday	ORGANIZATION	DATE
1.0	Sheffield United plc chairman Kevin McCabe	tell	Sheffield Star	PERSON	ORGANIZATION
1.0	Kevin McCabe	be chairman of	Sheffield United plc	PERSON	ORGANIZATION
1.0	Chris	be	catch	PERSON	0
1.0	United	be	five point	0	NUMBER
1.0	Sheffield United captain Chris Morgan	have	have ban for three game by Football Association Thursday	ORGANIZATION	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	be find	guilty	ORGANIZATION	0
1.0	Sheffield United captain Chris Morgan	be on	end of punch	PERSON	0
1.0	Chris	be catch by	Angel	PERSON	PERSON
1.0	Premiership	win at	Bramall Lane on December 30	0	DATE
1.0	disciplinary commission	suspend	defender	0	0
1.0	Wigan 's Lee McCulloch	hit	former Barnsley player	PERSON	ORGANIZATION
1.0	Bramall Lane	be on	December 30	LOCATION	DATE
1.0	Wigan	have	Lee McCulloch	ORGANIZATION	PERSON
1.0	he	be	model	0	0
1.0	Sheffield United captain Chris Morgan	have	player	O	O
1.0	Sheffield United captain Chris Morgan	be find of	charge of violent conduct follow clash	ORGANIZATION	0
1.0	Aston Villa	have	Juan Pablo Angel	PERSON	ORGANIZATION
1.0	United	be	currently five point	0	NUMBER
1.0	Sheffield United captain Chris Morgan	be on	receive end of punch	PERSON	0
1.0	Sheffield United captain Chris Morgan	be find of	charge of conduct	ORGANIZATION	0
1.0	I	be	more than happy	0	0
1.0	Arsenal	with	Robin van Persie	ORGANIZATION	PERSON
1.0	charge	have	found	O	O
1.0	Sheffield United captain Chris Morgan	hit arsenal striker during	during United 1-0	PERSON	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	have	have ban by Football Association Thursday	ORGANIZATION	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	have	have ban for three game by Football Association here Thursday	ORGANIZATION	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	be find of	charge	ORGANIZATION	0
1.0	Chris	be	clearly catch	PERSON	0
1.0	Sheffield United captain Chris Morgan	have	have ban for three game Thursday	ORGANIZATION	NUMBER
1.0	Sheffield United captain Chris Morgan	be	find	ORGANIZATION	0
1.0	Sheffield United captain Chris Morgan	have	have ban for three game	ORGANIZATION	NUMBER
1.0	clash	be with	Robin van Persie	0	PERSON
1.0	I	get involve in	football side of thing	0	0
1.0	conduct	have	charge	O	O
1.0	Sheffield United captain Chris Morgan	be find of	charge of violent conduct	ORGANIZATION	0
1.0	Sheffield United captain Chris Morgan	be on	end	PERSON	0
1.0	Sheffield United captain Chris Morgan	have	have ban by Football Association here Thursday	ORGANIZATION	ORGANIZATION
1.0	Wigan	have	Lee McCulloch	PERSON	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	have	have ban for three game by Football Association	ORGANIZATION	ORGANIZATION
0.6325826624541914	everyone	could see	it	0	0
1.0	Sheffield United captain Chris Morgan	hit	Arsenal striker	PERSON	ORGANIZATION
1.0	I	make	exception	0	0
1.0	verdict	be	announce	0	0
1.0	Kevin McCabe	be	Sheffield United plc	PERSON	ORGANIZATION
1.0	Premiership	win at	Bramall Lane	0	LOCATION
1.0	Arsenal	have	Robin van Persie	PERSON	ORGANIZATION
1.0	United	be	five point above relegation zone	0	NUMBER
1.0	Sheffield United captain Chris Morgan	be find of	charge of conduct follow clash	ORGANIZATION	0
1.0	United	be	currently five point above relegation zone	0	NUMBER
1.0	Sheffield United captain Chris Morgan	be find of	charge of conduct follow clash with Arsenal 's Robin van Persie	ORGANIZATION	PERSON
1.0	Sheffield United captain Chris Morgan	be find of	charge of violent conduct follow clash with Arsenal 's Robin van Persie	ORGANIZATION	PERSON
1.0	Sheffield United captain Chris Morgan	be on	receive end	PERSON	0
1.0	Chris	be clearly catch by	Angel	PERSON	PERSON
1.0	Sheffield United captain Chris Morgan	have	have ban by Football Association	ORGANIZATION	ORGANIZATION
1.0	punch	have	end	O	O
1.0	he	be model of	restraint	0	0
1.0	Chris Morgan	be	Sheffield United plc	PERSON	ORGANIZATION
1.0	Sheffield United captain Chris Morgan	have	have ban by Football Association here	ORGANIZATION	ORGANIZATION
1.0	Chris Morgan	be captain of	Sheffield United plc	PERSON	ORGANIZATION
1.0	Blades centre-back	deny charge at_time	Thursday	0	DATE
1.0	Aston Villa	by	Juan Pablo Angel	ORGANIZATION	PERSON
1.0	exception	be in	case	0	0
1.0	Sheffield United captain Chris Morgan	have	have ban	ORGANIZATION	0
1.0	Sheffield United captain Chris Morgan	have	have ban for three game by Football Association here	ORGANIZATION	ORGANIZATION
1.0	Blades centre-back	deny	charge	0	0
