1.0	's	take	we country	0	0
1.0	presidency	be	under Fiji 's system figurehead role with prime minister	0	LOCATION
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be swear as	as minister	PERSON	0
1.0	he	accuse government against	country 's ethnic minority	0	0
1.0	coup	have	plotters	O	O
1.0	Voreqe Bainimarama	be coup leader of	Fiji	PERSON	LOCATION
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be	swear in as interim minister by President Ratu Josefa Iloilo	PERSON	PERSON
1.0	political condition	be	when conducive	0	0
1.0	presidency	be	largely figurehead role with prime minister	0	0
1.0	South Pacific island nation 's bainimarama	oust	minister Laisenia Qarase 's government	LOCATION	PERSON
1.0	our	have	citizens	O	O
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be swear by	President Ratu Josefa Iloilo	PERSON	PERSON
1.0	South Pacific island nation 's bainimarama	oust	prime minister Laisenia Qarase 's government	LOCATION	PERSON
1.0	country	against	ethnic indian minority	0	0
1.0	presidency	be	under Fiji 's system largely figurehead role	0	LOCATION
1.0	presidency	be	figurehead role with minister	0	0
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be	shortly swear in as minister by President Ratu Josefa Iloilo	PERSON	PERSON
1.0	Fiji	have	coup leader Voreqe Bainimarama	PERSON	LOCATION
1.0	presidency	be	under Fiji 's political system largely figurehead role with minister	0	LOCATION
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be	shortly swear in as prime minister by President Ratu Josefa Iloilo	PERSON	PERSON
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be	shortly swear	PERSON	0
1.0	presidency	be	under Fiji 's political system largely figurehead role with prime minister	0	LOCATION
1.0	South Pacific island nation 's bainimarama	oust in	December 5 bloodless coup	LOCATION	DATE
1.0	presidency	be	under Fiji 's political system largely figurehead role	0	LOCATION
1.0	our	have	country	O	O
1.0	South Pacific island nation 's bainimarama	oust	minister Laisenia Qarase 's nationalist government	LOCATION	PERSON
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	be swear as	as prime minister	PERSON	0
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	shortly be swear as	as minister	PERSON	0
1.0	political condition	be	conducive	0	0
1.0	presidency	be	under Fiji 's political system figurehead role	0	LOCATION
1.0	This	have	actions	O	O
1.0	nation	have	interests	O	O
1.0	condition	be	when conducive	0	0
1.0	South Pacific island nation 's bainimarama	oust in	December 5 coup	LOCATION	DATE
1.0	Fiji Military Forces	have	Republic	ORGANIZATION	ORGANIZATION
1.0	Fiji	under	political system	LOCATION	0
1.0	presidency	be	under Fiji 's system figurehead role with minister	0	LOCATION
1.0	minister	have	salary	O	O
1.0	he	accuse	government of corruption	0	0
1.0	the South Pacific island nation 's fourth in two decades , Bainimarama	shortly be swear as	as interim prime minister	PERSON	0
