1.0	new partnership	be in	service of stability	0	0
1.0	French President Jacques Chirac	restore	trust of community	PERSON	0
1.0	prosperity	have	service	O	O
1.0	French President Jacques Chirac on Friday	say to	diplomatic corps	PERSON	0
1.0	Iran	develop weapon under	cover of program	LOCATION	0
1.0	French President Jacques Chirac	restore	trust	PERSON	0
1.0	French President Jacques Chirac	make	renewed appeal	PERSON	0
1.0	Iran	develop weapon under	cover of nuclear program	LOCATION	0
1.0	Friday	have	activities	O	O
1.0	Jacques Chirac	be	French	PERSON	MISC
1.0	Iran	develop	weapon	LOCATION	0
1.0	New Year 's	in	address	DATE	0
1.0	stability	have	service	O	O
1.0	activity	coincide with	start negotiation seek international community	0	0
1.0	activity	coincide with	start negotiation	0	0
1.0	leaders	have	some	O	O
1.0	atom bomb	have	core	O	O
1.0	some of its leaders	say	call	0	0
1.0	activity	coincide with	start negotiation seek	0	0
1.0	activity	coincide with	start negotiation seek community	0	0
1.0	UN security Council	impose sanction on	Iran	ORGANIZATION	LOCATION
1.0	enrichment-related activity	coincide with	start negotiation seek	0	0
1.0	enrichment-related activity	coincide with	start negotiation seek community	0	0
1.0	peace	have	service	O	O
1.0	French President Jacques Chirac	make appeal to	Tehran	PERSON	LOCATION
1.0	French President Jacques Chirac on Friday	say to	french corps	PERSON	0
1.0	such a move	have	choices	O	O
1.0	enrichment-related activity	coincide with	start negotiation seek international community	0	0
1.0	French President Jacques Chirac on Friday	say to	french diplomatic corps	PERSON	0
1.0	Iran	have	leaders	O	O
1.0	UN security Council	vote unanimously on	December 23	ORGANIZATION	DATE
1.0	fear	have	source	O	O
1.0	Iran	have	proliferation activities	O	O
1.0	Iran	develop weapon under	cover of civilian nuclear program	LOCATION	0
1.0	Iran	develop weapon under	cover	LOCATION	0
1.0	French President Jacques Chirac on Friday	say in	New Year 's address	PERSON	DATE
1.0	some of its leaders	call on	Iran	0	LOCATION
1.0	program	have	cover	O	O
1.0	UN security Council	vote on	December 23	ORGANIZATION	DATE
1.0	enrichment-related activity	coincide with	start	0	0
1.0	UN security Council	impose	sanction	ORGANIZATION	0
1.0	French President Jacques Chirac on Friday	say to	corps	PERSON	0
1.0	French President Jacques Chirac	make	appeal	PERSON	0
1.0	cooperation	have	doors	O	O
1.0	activity	coincide with	start	0	0
1.0	some	have	statements	O	O
1.0	French President Jacques Chirac	restore	trust of international community	PERSON	0
1.0	Jacques Chirac	be on	Friday	PERSON	DATE
1.0	some of its leaders	say	call on Iran	0	LOCATION
1.0	community	have	trust	O	O
1.0	negotiations	have	start	O	O
1.0	enrichment-related activity	coincide with	start negotiation	0	0
1.0	some of its leaders	call	suspend	0	0
1.0	world	have	apprehension through proliferation activity	0	0
1.0	world	have	apprehension	O	O
1.0	New Year	have	address	O	DATE
1.0	Iran	develop weapon under	cover of civilian program	LOCATION	0
