1.0	australian ace	start	come	0	0
1.0	australian left-hander Chris Guccione	oust	second seed Richard Gasquet	PERSON	ORDINAL
1.0	Russia	have	Igor Kunitsyn	PERSON	LOCATION
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	Paul Goldstein	be of	US	PERSON	LOCATION
1.0	second seed Richard Gasquet of France	storm	go to 5-0 lead	PERSON	NUMBER
1.0	it	be	good	0	0
1.0	Serbian Novak Djokovic	move into	semi-final	MISC	0
1.0	second seed Richard Gasquet of France	be just hit	winner	0	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar	PERSON	0
1.0	Igor Kunitsyn	be of	Russia	PERSON	LOCATION
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament	PERSON	ORGANIZATION
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	it	be	sign	0	0
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	France	have	seed Richard Gasquet	PERSON	LOCATION
0.44279953321991133	verge	break for	first time	0	ORDINAL
1.0	Chris Guccione	be	australian	PERSON	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	australian left-hander Chris Guccione	oust	seed Richard Gasquet	PERSON	PERSON
1.0	quarter-final	will	will play	0	0
1.0	australian left-hander Chris Guccione	oust	second seed Richard Gasquet of France	PERSON	ORDINAL
1.0	second seed Richard Gasquet of France	go in	just 12 minute	PERSON	DURATION
1.0	second seed Richard Gasquet of France	either hit	ace	0	0
1.0	Richard Gasquet	be	second	PERSON	ORDINAL
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	australian left-hander Chris Guccione	oust	seed Richard Gasquet of France	PERSON	LOCATION
1.0	top-seeded Serbian Novak Djokovic	move with	6-4	MISC	NUMBER
1.0	left-hander Chris Guccione	oust	seed Richard Gasquet	PERSON	PERSON
1.0	second seed Richard Gasquet of France	be overwhelm by	barrage	PERSON	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament	PERSON	ORGANIZATION
1.0	second seed Richard Gasquet of France	storm through	set	PERSON	0
1.0	other quarter-final	will	will play with winner	DATE	0
0.60130772061743	the Australian settled down the	win of	he career	0	0
1.0	Joachim Johansson	face	Argentina 's Juan Martin del Potro	PERSON	PERSON
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	Richard Gasquet	be of	France	PERSON	LOCATION
1.0	quarter-finals	have	two	NUMBER	O
1.0	second seed Richard Gasquet of France	hit	ace	0	0
1.0	second seed Richard Gasquet of France	storm through	first set	PERSON	ORDINAL
1.0	US	have	Vince Spadea	PERSON	LOCATION
1.0	left-hander Chris Guccione	oust	seed Richard Gasquet of France	PERSON	LOCATION
0.44279953321991133	verge	break into	top 100	0	NUMBER
1.0	Novak Djokovic	be	Serbian	PERSON	MISC
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain	PERSON	0
1.0	other quarter-final	will	will play Saturday with winner	DATE	DATE
1.0	place	should put	Australian left-hander Chris Guccione	0	PERSON
1.0	good sign	serve	his ability to stay calm	0	0
1.0	other quarter-final	will	will play	DATE	0
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament	PERSON	ORGANIZATION
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain	PERSON	0
1.0	Australian left-hander Chris Guccione	have	most of break point	0	0
1.0	Serbian Novak Djokovic	move with	6-4	MISC	NUMBER
1.0	world number	have	barrage	O	O
