1.0	Crescent Security	be on behalf of	kuwaiti-based	ORGANIZATION	0
1.0	Westerners	be	month kidnap from Basra	MISC	LOCATION
1.0	five	have	video	O	DATE
1.0	Louis Fintor	be in	Baghdad	PERSON	LOCATION
1.0	group	be escort convoy in	Safwan near Basra	0	LOCATION
1.0	Crescent Security	have	escorting	O	ORGANIZATION
1.0	five Westerners	be kidnap at_time	month	NUMBER	DATE
1.0	kidnapper	release	video of five	0	DATE
1.0	Westerners	be kidnap at_time	month	MISC	DATE
1.0	five Westerners	still be hold	hostage	NUMBER	0
1.0	five Westerners	be	last month kidnap from Basra	NUMBER	LOCATION
1.0	Westerners	still be hold	hostage	MISC	0
1.0	Westerners	be	last month kidnap from Basra	MISC	LOCATION
1.0	five Westerners	be kidnap from	Basra	NUMBER	LOCATION
1.0	group	be escort	convoy	0	0
1.0	they	be	healthy	0	0
1.0	man	be	when abducted	0	0
1.0	An American	have	interpreters	O	O
1.0	Westerners	be kidnap at_time	last month	MISC	DATE
1.0	they	be in	condition	0	0
1.0	officer	say on	condition	0	0
1.0	Louis Fintor	be	US	PERSON	LOCATION
1.0	five Westerners	be kidnap at_time	last month	NUMBER	DATE
1.0	Westerners	be hold	hostage	MISC	0
1.0	officer	say on	condition of anonymity	0	0
1.0	five Westerners	be	month kidnap from Basra	NUMBER	LOCATION
1.0	Basra	have	Al-Haritha area north	O	LOCATION
1.0	five Westerners	be hold	hostage	NUMBER	0
1.0	group	be escort convoy on behalf of	kuwaiti-based Crescent Security	0	ORGANIZATION
1.0	Louis Fintor	be embassy spokesman of	US	PERSON	LOCATION
1.0	security contractors	have	group	O	O
1.0	five Westerners	be	kidnap	NUMBER	0
1.0	they	be in	healthy condition	0	0
1.0	kidnapper	release	video	0	0
1.0	Westerners	be kidnap from	Basra	MISC	LOCATION
1.0	Basra Friday	have	city	O	DATE
1.0	man	be	when abducted by kidnapper	0	0
1.0	man	be abducted by	kidnapper	0	0
1.0	man	be	abducted	0	0
1.0	group	be escort convoy on behalf of	Crescent Security	0	ORGANIZATION
1.0	prisoners	have	release	O	O
1.0	group	be escort convoy in	Safwan	0	0
1.0	anonymity	have	condition	O	O
1.0	Westerners	be	kidnap	MISC	0
1.0	gunmen	have	cars	O	O
