0.8600272731347129	difficulty	construct	we game	0	0
1.0	tough physical preparation	be in	Gulf	0	LOCATION
1.0	those	have	some	O	O
0.7234256468778105	his players they can have no more excuses after returning to training on Friday following the German winter break	be lack	certain stability	0	0
1.0	Bayern Munich	have have	start	ORGANIZATION	0
1.0	Bayern Munich	have lose four time include	include three time	ORGANIZATION	NUMBER
1.0	his players they can have no more excuses after returning to training on Friday following the German winter break	have	performances	O	O
1.0	his players they can have no more excuses after returning to training on Friday following the German winter break	have	double	O	O
1.0	best team	be in	Germany	0	LOCATION
1.0	modest opponents	have	potential	O	O
1.0	Bayern Munich	have have	poor start	ORGANIZATION	0
1.0	some	start	training	0	0
1.0	Roy Makaay	be	Dutch	PERSON	MISC
1.0	Bayern Munich	have have start to	season	ORGANIZATION	0
1.0	some	only start	training	0	0
1.0	Oliver Kahn	be	Germans	PERSON	MISC
1.0	Willy Sagnol	be such as	Frenchman	PERSON	MISC
1.0	Felix Magath	be	Bayern Munich	PERSON	ORGANIZATION
1.0	his	have	side	O	O
1.0	some	start again	training	0	0
1.0	Bayern Munich coach Felix Magath	say	post-world	PERSON	0
1.0	season	have	half	DATE	DATE
1.0	they	be third off	three point	0	NUMBER
1.0	Bayern 's first match	take	place	ORDINAL	0
1.0	Bayern Munich coach Felix Magath	have	players	O	O
1.0	Bayern	have	first match after winter break	ORGANIZATION	ORDINAL
1.0	Cup	have	knocked	O	MISC
1.0	Felix Magath	be coach of	Bayern Munich	PERSON	ORGANIZATION
1.0	Bayern	have	match	O	ORGANIZATION
1.0	our	have	displays	O	O
1.0	Bayern Munich	will on	where will training camp until January 14	ORGANIZATION	DATE
1.0	Bayern 's match	take	place on January 26	ORGANIZATION	DATE
1.0	tiredness	be	acceptable	0	0
1.0	some	only start again	training	0	0
1.0	Bayern Munich	have have start to	season by they double	ORGANIZATION	0
1.0	Bayern 's match	take place against	borussia dortmund	ORGANIZATION	0
1.0	Bayern Munich	will on	where will training camp until January	ORGANIZATION	DATE
0.7234256468778105	his players they can have no more excuses after returning to training on Friday following the German winter break	be lack	stability	0	0
1.0	his players they can have no more excuses after returning to training on Friday following the German winter break	have	game	O	O
1.0	an acceptable excuse	be	excuse	MISC	0
1.0	points	have	third	ORDINAL	O
1.0	Bayern Munich	have	11 player	ORGANIZATION	NUMBER
1.0	season	have	half	O	O
1.0	they	be	third	0	ORDINAL
1.0	Bayern 's first match	take place against	borussia dortmund	ORDINAL	0
1.0	seasons	have	standards	O	O
1.0	an acceptable excuse	be	acceptable excuse	MISC	0
0.687070141205642	his players they can have no more excuses after returning to training on Friday following the German winter break	have	difficulty	0	0
1.0	Bayern 's first match	take	place on January 26	ORDINAL	DATE
1.0	Oliver Kahn	be	Lukas Podolski	PERSON	PERSON
1.0	Bayern 's match	take	place	ORGANIZATION	0
