1.0	it	agree with	government	0	0
1.0	its	have	actions	O	O
1.0	man	be fatality since	May 2003	0	DATE
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in independence campaign	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of direct dialogue with ETA blame in independence campaign for region	0	ORGANIZATION
1.0	man	be first fatality in	ETA attack	0	ORGANIZATION
1.0	Bilbao	have	city	O	LOCATION
1.0	socialist government	have offer	possibility of dialogue blame in four-decade independence campaign for basque region	0	0
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign for region	0	NUMBER
1.0	two man	be fatality since	May 2003	NUMBER	DATE
1.0	government	have offer	possibility of direct dialogue blame in four-decade independence campaign for region	0	0
1.0	ertzaintza agent	still comb zone with	trained dog	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame	0	ORGANIZATION
1.0	Armando Estacio	have	corpse	O	PERSON
1.0	socialist government	have offer	possibility of direct dialogue with ETA	0	ORGANIZATION
0.607325344522868	basque police	receive	telephone warning	0	0
1.0	socialist government	have offer	possibility of dialogue blame for 850 death	0	NUMBER
1.0	Atxondo	be in	north of basque region	LOCATION	0
1.0	Saturday	have	bomb blast	O	DATE
1.0	explosive	have	kilos	O	O
1.0	Diego Armando Estacio	have	car	O	O
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	socialist government	have offer	possibility of dialogue blame in independence campaign	0	0
1.0	ETA	originally plan attack rather than	week later	ORGANIZATION	DATE
1.0	car	lack	detonator	0	0
1.0	government	have offer	possibility of direct dialogue	0	0
1.0	government	have offer	possibility of dialogue blame for 850 death in independence campaign	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in independence campaign for region	0	ORGANIZATION
1.0	government	have offer	possibility of dialogue blame in independence campaign for region	0	0
1.0	car	be	report	0	0
1.0	socialist government	have offer	possibility of direct dialogue blame in four-decade independence campaign for basque region	0	0
1.0	government	have offer	possibility of dialogue blame in independence campaign for basque region	0	0
1.0	government	have offer	possibility of direct dialogue blame in independence campaign for basque region	0	0
1.0	firefighter	recover corpse from	he crushed car	0	0
0.607325344522868	police	receive telephone warning in	Spain	0	LOCATION
0.607325344522868	police	receive telephone warning in	ETA 's name	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	Prime Minister Jose Luis Rodriguez Zapatero	have	government	O	PERSON
1.0	ertzaintza agent	comb zone with	trained dog	0	0
0.607325344522868	police	receive telephone warning in	ETA 's name about bomb	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue with ETA blame in independence campaign for basque region	0	ORGANIZATION
1.0	first fatality	be in	ETA attack	ORDINAL	ORGANIZATION
1.0	Madrid airport bombing	have	rubble	O	O
1.0	government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign for basque region	0	ORGANIZATION
1.0	continue low-level violence	be in	crisis	0	0
1.0	car	be report	almost ready	0	0
1.0	ertzaintza agent	still comb zone with	dog	0	0
1.0	socialist government	have offer	possibility	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of direct dialogue blame for 850 death in independence campaign	0	NUMBER
1.0	government	have offer	possibility	0	0
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in independence campaign for region	0	NUMBER
1.0	ertzaintza agent	comb	zone	0	0
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign	0	NUMBER
1.0	man	be fatality in	ETA attack	0	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue blame in four-decade independence campaign for region	0	0
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of dialogue blame in four-decade independence campaign for basque region	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	ertzaintza agent	comb zone with	dog	0	0
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	firefighter	recover	corpse	0	0
1.0	man	be	fatality in ETA attack since May 2003	0	DATE
1.0	caches	have	Bilbao warning	O	O
1.0	government	have offer	possibility of direct dialogue blame in independence campaign	0	0
1.0	government	have offer	possibility of dialogue blame for 850 death in independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of dialogue blame in four-decade independence campaign for region	0	0
1.0	government	have offer	possibility of direct dialogue with ETA blame	0	ORGANIZATION
1.0	telephone	have	December activation	O	O
1.0	socialist government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign for basque region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue blame	0	0
