1.0	Bill Clinton	be between	1992 and 1996	PERSON	DATE
1.0	McConnell	have work as	vice president of consulting firm Booz Allen Hamilton	PERSON	PERSON
1.0	McConnell	be commission as	naval officer in 1967	PERSON	DATE
1.0	McConnell	be commission as	officer in 1967	PERSON	DATE
1.0	will high-ranking former military officer	take	control of piece	0	0
1.0	he	serve to	chairman of chief	0	0
1.0	will high-ranking former military officer	take	control of key piece	0	0
1.0	retired vice admiral	will	will welcome back	0	0
1.0	will latest former officer	take	control of piece	0	0
1.0	The director of national intelligence	have	security briefing	O	O
1.0	US intelligence infrastructure	have	officer	O	O
1.0	man	be	widely experienced	0	0
1.0	will latest former military officer	take	control	0	0
1.0	will high-ranking former officer	take	control of piece	0	0
1.0	McConnell	be	bear	PERSON	0
1.0	will latest high-ranking former military officer	take	control of key piece	0	0
1.0	will latest former military officer	take	control of piece	0	0
1.0	McConnell , 63	will	will latest former officer of US intelligence infrastructure	PERSON	LOCATION
1.0	McConnell , 63	will	will former military officer	PERSON	0
1.0	will high-ranking former officer	take	control of key piece	0	0
1.0	he	serve to	chairman of joint chief	0	0
1.0	decade	be in	now political spotlight	0	DATE
1.0	will former officer	take	control of key piece	0	0
1.0	he	serve to	chairman of joint chief of staff	0	0
1.0	McConnell	have work as	vice president of international consulting firm Booz Allen Hamilton	PERSON	PERSON
1.0	today	have	threats	O	DATE
1.0	McConnell , 63	will	will latest high-ranking former military officer of US intelligence infrastructure	PERSON	LOCATION
1.0	decade	be in	shadowy intelligence world	0	0
1.0	McConnell , 63	stand with	President George W. Bush	0	PERSON
1.0	McConnell , 63	will	will former officer	PERSON	0
1.0	vice admiral	be name	new director	0	0
1.0	Michael McConnell	be spy chief of	US	PERSON	LOCATION
1.0	vice admiral	be name	director of intelligence	0	0
1.0	future	have	threats	O	DATE
0.8179725022420731	Michael McConnell	make	appointment	0	0
1.0	spell	be in	business as insider	0	0
1.0	will latest high-ranking former officer	take	control of key piece	0	0
1.0	retired vice admiral	be name	new director of national intelligence	0	0
1.0	insider	be in	clannish intelligence world	0	0
1.0	will latest former military officer	take	control of key piece	0	0
1.0	US community	be	blame	LOCATION	0
1.0	McConnell	be	commission	PERSON	0
0.8878515657608465	US strategy	be announce on	Iraq	LOCATION	LOCATION
1.0	National Security Agency	have	vice admiral	O	ORGANIZATION
1.0	he	serve under	General Colin Powell as senior intelligence advisor	0	PERSON
1.0	McConnell	have work as	senior vice president of international consulting firm Booz Allen Hamilton	PERSON	PERSON
1.0	vice admiral	be name	director	0	0
1.0	retired vice admiral	be name	new director of intelligence	0	0
1.0	he	serve to	chairman	0	0
1.0	McConnell , 63	will	will former officer of US intelligence infrastructure	PERSON	LOCATION
1.0	US clandestine community	thwart	September 11 attack	LOCATION	DATE
1.0	McConnell , 63	will	will high-ranking former officer of US intelligence infrastructure	PERSON	LOCATION
1.0	will high-ranking former military officer	take	control	0	0
1.0	he	serve during	1990-91 Gulf War	0	MISC
1.0	retired vice admiral	be name	new director	0	0
1.0	McConnell , 63	serve under	former president Bill Clinton	PERSON	PERSON
1.0	retired vice admiral	be name	director of national intelligence	0	0
1.0	retired vice admiral	be name	director of intelligence	0	0
1.0	McConnell	have	tasks	O	PERSON
1.0	will former officer	take	control	0	0
1.0	McConnell , 63	will	will high-ranking former military officer	PERSON	0
1.0	chiefs	have	chairman	O	O
1.0	will high-ranking former officer	take	control	0	0
1.0	naval officer	be in	1967	0	DATE
1.0	McConnell	leave government service after	almost three decade	PERSON	DATE
1.0	McConnell	have work as	senior vice president of consulting firm Booz Allen Hamilton	PERSON	PERSON
1.0	various agencies	have	overhaul	O	O
1.0	he	will	will expect	0	0
0.8179725022420731	Michael McConnell	make appointment on	Friday	0	DATE
1.0	McConnell , 63	will	will latest high-ranking former officer of US intelligence infrastructure	PERSON	LOCATION
1.0	McConnell	of	first task	PERSON	ORDINAL
1.0	McConnell	be bear in	Greenville	PERSON	LOCATION
1.0	director	oversee	intelligence budget	0	0
1.0	concern	be in	Congress	0	ORGANIZATION
1.0	will former military officer	take	control	0	0
1.0	Gregory Treverton	official at	now Rand Corporation think-tank	PERSON	DATE
1.0	will latest former officer	take	control	0	0
1.0	US community	be blame for	failure	LOCATION	0
1.0	vice admiral	will	will welcome back	0	0
1.0	vice admiral	will	will welcome	0	0
1.0	he	serve under	General Colin Powell as military intelligence advisor	0	PERSON
1.0	McConnell	be bear in	South Carolina	PERSON	LOCATION
1.0	vice admiral	be name	new director of intelligence	0	0
1.0	retired vice admiral	be name	director	0	0
1.0	McConnell , 63	serve under	mostly former president Bill Clinton	PERSON	PERSON
1.0	he	serve to	chairman of chief of staff	0	0
1.0	he	serve under	General Colin Powell as senior military intelligence advisor	0	PERSON
1.0	McConnell	leave	government service	PERSON	0
1.0	will former military officer	take	control of key piece	0	0
1.0	McConnell	have work as	vice president	PERSON	0
1.0	will latest former officer	take	control of key piece	0	0
1.0	will former military officer	take	control of piece	0	0
1.0	McConnell , 63	will	will latest high-ranking former officer	PERSON	0
0.8878515657608465	US strategy	be	announce	LOCATION	0
1.0	Saddam Hussein	have	weapons programs	O	PERSON
1.0	McConnell , 63	will	will latest former military officer	PERSON	0
1.0	McConnell	leave government service after	almost three decade in 1996	PERSON	DATE
1.0	McConnell	serve tour as	intelligence officer	PERSON	0
1.0	The retired vice admiral and former director of the super secretive National Security Agency -LRB- NSA -RRB-	have	forces	O	O
1.0	leadership	have	lack	O	O
1.0	director	be	top intelligence officer	0	0
1.0	US community	thwart	September 11 attack	LOCATION	DATE
1.0	McConnell	have work as	senior vice president	PERSON	0
1.0	leadership	have	reshuffle	O	O
1.0	intelligence community	redefine	its role	0	0
1.0	staff	have	chiefs	O	O
1.0	will latest high-ranking former officer	take	control	0	0
1.0	McConnell	be commission as	naval officer	PERSON	0
1.0	McConnell	serve tour in	Vietnam Japan	PERSON	LOCATION
1.0	will latest high-ranking former officer	take	control of piece	0	0
1.0	McConnell	serve	tour	PERSON	0
1.0	will former officer	take	control of piece	0	0
1.0	McConnell , 63	will	will high-ranking former officer	PERSON	0
1.0	intelligence	have	world	O	O
1.0	will latest high-ranking former military officer	take	control of piece	0	0
1.0	McConnell , 63	will	will former military officer of US intelligence infrastructure	PERSON	LOCATION
1.0	McConnell	serve tour in	Persian Gulf	PERSON	LOCATION
0.8878515657608465	new US strategy	be announce on	Iraq	LOCATION	LOCATION
1.0	decade	be in	now spotlight	0	DATE
1.0	man	be	experienced	0	0
1.0	intelligence	have	director	O	O
1.0	consulting firm Booz Allen Hamilton	have	vice president	O	PERSON
1.0	tasks	have	One	NUMBER	O
1.0	he	serve under	General Colin Powell	0	PERSON
1.0	McConnell , 63	be	63	PERSON	NUMBER
