1.0	Deputy Secretary General	post in	world body	0	0
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	will succeed mark malloch brown as	number two post in world body	PERSON	NUMBER
1.0	New UN Secretary General Ban Ki-moon	have	deputy	O	O
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	will succeed mark malloch brown as	Deputy Secretary General	PERSON	0
1.0	Migiro 50	will succeed	Mark Malloch Brown	NUMBER	PERSON
1.0	Britain	have	Mark Malloch Brown	PERSON	LOCATION
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	will succeed	Mark Malloch Brown of Britain	PERSON	LOCATION
1.0	Ban ki-moon	be	UN	PERSON	ORGANIZATION
1.0	Migiro 50	will succeed mark malloch brown as	number two post	NUMBER	NUMBER
1.0	Ban ki-moon	be secretary general of	UN	PERSON	ORGANIZATION
1.0	Migiro 50	will succeed mark malloch brown as	number two post in world body	NUMBER	NUMBER
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	will succeed mark malloch brown as	number two post	PERSON	NUMBER
1.0	Mark Malloch Brown	be of	Britain	PERSON	LOCATION
1.0	Asha-Rose Migiro	be	Tanzanian	PERSON	MISC
1.0	Migiro 50	will succeed mark malloch brown as	Deputy Secretary General	NUMBER	0
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	will succeed	Mark Malloch Brown	PERSON	PERSON
1.0	Migiro 50	will succeed	Mark Malloch Brown of Britain	NUMBER	LOCATION
1.0	number two post	be in	world body	NUMBER	0
1.0	Tanzanian Foreign Minister Asha-Rose Migiro as his deputy	be	50	PERSON	NUMBER
1.0	UN official	say at_time	Friday	ORGANIZATION	DATE
