1.0	Xu Jianguo	be ambassador of	Nigeria	PERSON	LOCATION
0.8397943309781413	worker	take earlier in	nation	0	DATE
1.0	its foreign ministry	give effort to	free five chinese telecommunications	0	NUMBER
1.0	its ministry	give effort to	free five chinese telecommunications	0	NUMBER
1.0	hostages	have	All	O	O
1.0	President Hu Jintao	have order	Foreign Ministry embassy	PERSON	ORGANIZATION
1.0	its ministry	give effort to	free five telecommunications	0	NUMBER
1.0	its ministry	give	its embassy	0	DATE
1.0	Foreign Ministry embassy	find	way	ORGANIZATION	0
1.0	its foreign ministry	give effort to	free five telecommunications	0	NUMBER
1.0	the abductees	have	efforts	O	O
1.0	Chinese Foreign Ministry spokesman Liu Jianchao	say in	statement release	PERSON	0
1.0	Chinese Foreign Ministry	have	embassy	O	ORGANIZATION
1.0	greater share	be give to	its people	0	0
1.0	Liu Jianchao	be spokesman of	Chinese Foreign Ministry	PERSON	ORGANIZATION
1.0	its foreign ministry	give	they effort	0	0
1.0	abductees	have	lives	O	O
1.0	China	be on	Saturday	LOCATION	DATE
1.0	relevant Chinese officials	have	counterparts	O	O
1.0	its foreign ministry	give	effort	0	0
1.0	workers	have	release	O	O
0.21870712076674304	Foreign Ministry embassy	find	way ensure	ORGANIZATION	0
1.0	China	have	leaders	O	LOCATION
1.0	its foreign ministry	give	its embassy	0	DATE
1.0	share	be give to	its ethnic ijaw people	0	0
1.0	Chinese Foreign Ministry spokesman Liu Jianchao	say in	statement	PERSON	0
1.0	share	be give to	its ethnic people	0	0
1.0	region	have	oil revenue	O	O
1.0	Foreign Ministry embassy	be in	Nigeria	ORGANIZATION	LOCATION
1.0	China on Saturday	have	ministry	O	O
1.0	its ministry	give effort to	free chinese telecommunications	0	DATE
1.0	oil revenue	have	share	O	O
1.0	its ministry	give	they effort	0	0
1.0	greater share	be give to	its ethnic ijaw people	0	0
1.0	its foreign ministry	give effort to	chinese telecommunications	0	DATE
0.8397943309781413	worker	take in	african nation	0	DATE
1.0	greater share	be	give	0	0
1.0	China	have	leader	LOCATION	0
1.0	Sichuan Telecommunications Company	have	employees	O	ORGANIZATION
1.0	share	be give to	its people	0	0
1.0	its ministry	give effort to	free telecommunications	0	DATE
1.0	their	have	efforts	O	O
1.0	its ministry	give	effort	0	0
1.0	region	of	oil revenue	0	0
1.0	its ministry	give effort to	chinese telecommunications	0	DATE
1.0	its foreign ministry	give effort to	free telecommunications	0	DATE
1.0	China	have	Nigeria ambassador	O	LOCATION
1.0	its ministry	give effort to	telecommunications	0	DATE
1.0	its foreign ministry	give effort to	telecommunications	0	DATE
1.0	greater share	be give to	its ethnic people	0	0
1.0	Liu Jianchao	be	Chinese Foreign Ministry	PERSON	ORGANIZATION
1.0	its foreign ministry	give effort to	free chinese telecommunications	0	DATE
1.0	China	order	its foreign ministry	LOCATION	0
1.0	China	order	its ministry	LOCATION	0
0.8397943309781413	worker	take in	nation	0	DATE
1.0	President Hu Jintao	have order	Foreign Ministry embassy in Nigeria	PERSON	LOCATION
1.0	China	have	Nigeria ambassador	LOCATION	LOCATION
1.0	China	have	embassy	O	LOCATION
1.0	Chinese Foreign Ministry spokesman Liu Jianchao	say in	statement release Saturday	PERSON	DATE
1.0	share	be give to	its ijaw people	0	0
1.0	share	be	give	0	0
1.0	greater share	be give to	its ijaw people	0	0
0.8397943309781413	worker	take earlier in	african nation	0	DATE
1.0	China on Saturday	have	embassy	O	O
1.0	a greater share of the region 's oil revenue	have	people	O	O
