1.0	he death	come at_time	three week	0	DURATION
1.0	Barbera	have	William Hanna	PERSON	PERSON
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	join	Hanna-Barbera Productions	PERSON	MISC
1.0	Hanna-Barbera Productions co-founder Joseph Barbera	have	that	O	PERSON
1.0	his	have	family	O	O
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be behind	design of slew	PERSON	0
1.0	Takamoto	be bear in	Los Angeles	PERSON	LOCATION
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	create	cowardly great dane	PERSON	0
1.0	Cedars-Sinai Medical Center	be in	Los Angeles	ORGANIZATION	LOCATION
1.0	he	enter cartoon world for	Walt Disney Studios	0	ORGANIZATION
1.0	Takamoto	be bear in	Los Angeles in 1925	PERSON	DATE
1.0	William Hanna	be partner of	Barbera	PERSON	PERSON
1.0	he	enter cartoon world after	World War II as assistant animator	0	MISC
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be	however acclaimed	PERSON	0
1.0	Takamoto	be	bear	PERSON	0
1.0	cartoon characters	have	slew	O	O
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be	acclaimed	PERSON	0
1.0	Hanna-Barbera Productions	be in	1961	MISC	DATE
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be vice at	time	PERSON	DATE
1.0	Pearl Harbor	have	bombing	O	LOCATION
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	create	cowardly dane	PERSON	0
1.0	Iwao Takamoto	be	japanese-american	PERSON	0
1.0	Barbera 's partner William Hanna	pass away in	2001	PERSON	DATE
1.0	Charlotte	have	Web	O	O
1.0	death	have	time	DATE	O
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	work at	Hanna-Barbera animation studio include character in Flinstones	PERSON	0
1.0	he	first enter cartoon world after	World War II	0	MISC
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be	most acclaimed	PERSON	0
1.0	he	first enter cartoon world for	Walt Disney Studios	0	ORGANIZATION
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	create	dane	PERSON	0
1.0	he	enter cartoon world after	World War II	0	MISC
1.0	His	have	death	O	O
1.0	Barbera	have	partner William Hanna	PERSON	PERSON
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be vice at	time of he death	PERSON	DATE
1.0	Los Angeles	be in	1925	LOCATION	DATE
1.0	children	have	classics	O	O
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be behind	design of slew of cartoon character in late 1960	PERSON	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be behind	design	PERSON	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be	however most acclaimed	PERSON	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	work at	Hanna-Barbera animation studio include character	PERSON	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be behind	design of slew of cartoon character	PERSON	0
1.0	design	have	president	O	O
1.0	he death	come after	that	0	0
1.0	he	first enter	cartoon world	0	0
1.0	cartoon characters	have	some	O	O
1.0	he	enter	cartoon world	0	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	join	Hanna-Barbera Productions in 1961	PERSON	MISC
1.0	he	first enter cartoon world after	World War II as assistant animator	0	MISC
1.0	his	have	death	O	O
1.0	Barbera 's partner William Hanna	pass in	2001	PERSON	DATE
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be	vice	PERSON	0
1.0	slew	have	design	O	O
1.0	world	have	cartoon characters	O	O
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	work at	Hanna-Barbera animation studio	PERSON	0
1.0	world	of	best-loved cartoon character	0	0
1.0	cartoon character	be in	1960	0	0
1.0	character	be in	Flinstones	0	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	create	great dane	PERSON	0
1.0	Japanese-American animator Iwao Takamoto who created the beloved Scooby-Doo character	be behind	design of slew of cartoon character in 1960	PERSON	0
