1.0	Somali Ayr subclan	disclose	whereabouts	ORGANIZATION	0
1.0	level	be	highlight by gunman on Tuesday firing rocket	0	DATE
0.6513104635579551	Qaeda	target amid	criticism	ORGANIZATION	0
0.9367739781354338	destabilise	horn of	Africa nation	0	LOCATION
1.0	Washington	have also designate	somali islamist hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	ethiopian troops	be in	Mogadishu	0	LOCATION
0.633593924617174	US Navy spokesman Lt. Commander Charlie Brown	say as	part	ORGANIZATION	0
1.0	Washington	have also designate	somali hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	kind	have	incident	O	O
1.0	Rome	have	opposition	O	LOCATION
1.0	US Navy spokesman Lt. Commander Charlie Brown	monitor	terrorist activity	ORGANIZATION	0
1.0	United States	however support warlord at_time	last year	LOCATION	DATE
1.0	ethiopian troops	spark	exchange of fire	0	0
1.0	level	be	highlight	0	0
1.0	Washington	have designate	hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	new dimension	be in	conflict	0	0
1.0	US embassies	have	bombing	O	O
1.0	them	have	most	O	O
1.0	instability	have	level	O	O
1.0	United States	however support warlord at_time	year	LOCATION	DATE
1.0	Washington	have also designate	hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	attack	also originate in	Somalia	0	LOCATION
1.0	Mombasa	have	city	O	LOCATION
1.0	Washington	have also designate	somali hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	Washington	harbour	Al-Qaeda operative	LOCATION	ORGANIZATION
1.0	Washington	harbour	senior Al-Qaeda operative	LOCATION	ORGANIZATION
1.0	Bryan Whitman	be spokesman of	Pentagon	PERSON	ORGANIZATION
1.0	USS Dwight D. Eisenhower	have	have deploy off coast	ORGANIZATION	0
1.0	attack	originate in	Somalia	0	LOCATION
1.0	Washington	have designate hardline leader sheikh hassan dahir aweys of	apart three	LOCATION	NUMBER
1.0	United States	covertly support warlord at_time	last year	LOCATION	DATE
1.0	Abdullahi Yusuf	be	Somali	PERSON	ORGANIZATION
1.0	last case	end from	operation	0	0
1.0	case	end from	operation	0	0
1.0	kenyan security force	arrest	Mohamed	0	PERSON
1.0	it	be such attack in	three day	0	DURATION
1.0	level	be	highlight into camp housing	0	0
1.0	Washington	have also designate	islamist hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	Louis Michel	be for	EU Development	PERSON	ORGANIZATION
1.0	fire	have	exchange	O	O
1.0	Washington	have designate	somali hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	Washington	have also designate	hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	Washington	accuse	it	LOCATION	0
1.0	United States	support	warlord	LOCATION	0
1.0	United States	however support	warlord	LOCATION	0
1.0	Yusuf	tell reporter in	Mogadishu	PERSON	LOCATION
1.0	government forces	have	hands	O	O
1.0	security force	arrest mohamed in	August 2003	0	DATE
1.0	Washington	have designate	islamist hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	Charlie Brown	be	US Navy	PERSON	ORGANIZATION
1.0	operation	have	part	O	O
1.0	ethiopian troops	spark	intense exchange	0	0
1.0	Somalia	have	coast	O	LOCATION
1.0	Washington	have designate	somali islamist hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	Fazul Abdullah Mohamed	be	accuse	PERSON	0
1.0	israeli-owned hotel	be in	kenyan port city of Mombasa	0	LOCATION
1.0	last case	end from	un-backed operation	0	0
1.0	case	end from	un-backed operation	0	0
1.0	Washington	accuse	it of shelter	LOCATION	0
1.0	United States	covertly support warlord at_time	year	LOCATION	DATE
1.0	ethiopian troops	spark	exchange	0	0
0.6513104635579551	Qaeda	target in	southern Somalia	ORGANIZATION	LOCATION
1.0	attack	originate accord to	US official	0	LOCATION
1.0	Africa nation	have	Horn	LOCATION	O
1.0	United States	support warlord at_time	year	LOCATION	DATE
0.6105097045877094	Al - Qaeda	risk	further	0	0
1.0	Washington	have designate	somali hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	principal Al-Qaeda leadership	be in	region	MISC	0
1.0	Yusuf	tell	reporter	PERSON	0
1.0	United States	however covertly support warlord at_time	year	LOCATION	DATE
1.0	hostilities	have	escalation	O	O
1.0	US Navy spokesman Lt. Commander Charlie Brown	monitor	activity	ORGANIZATION	0
1.0	latest chapter	be in	Somalia 's slide	0	LOCATION
1.0	Louis Michel	be commissioner of	EU Development	PERSON	ORGANIZATION
1.0	kenyan security force	arrest mohamed in	August 2003	0	DATE
1.0	Charlie Brown	be spokesman lt. commander of	US Navy	PERSON	ORGANIZATION
1.0	Bryan Whitman	be accord to	Pentagon	PERSON	ORGANIZATION
1.0	Comoros Islands	have	native	O	LOCATION
1.0	second such attack	be in	three day	ORDINAL	DURATION
1.0	Ethiopian	have	hands	O	MISC
1.0	troops	spark	exchange of fire	0	0
1.0	three	have	designated	O	NUMBER
1.0	it	be	such attack	0	0
1.0	US forces	have	withdrawal	O	O
1.0	Fazul Abdullah Mohamed	native of	Comoros Islands	PERSON	LOCATION
1.0	Rome	have	opposition	LOCATION	0
1.0	troops	spark	exchange	0	0
1.0	US military intervention	follow	offensive	LOCATION	0
0.9367739781354338	destabilise	lawless horn of	Africa nation	0	LOCATION
1.0	level	be	highlight by gunman	0	0
1.0	Al-Qaeda operatives	have	whereabouts	O	O
1.0	United States	however covertly support	warlord	LOCATION	0
1.0	US air strike	cause concern in	european capital	LOCATION	0
1.0	sheltering	have	it	O	O
1.0	casualties	have	reports	O	O
1.0	last case	be in	Somalia	0	LOCATION
1.0	coast	have	deployed	O	O
1.0	ethiopian troops	spark	intense exchange of fire	0	0
1.0	USS Dwight D. Eisenhower	have	have deploy	ORGANIZATION	0
1.0	the right thing	have	part	O	O
1.0	Massimo d'Alema	be	italian	PERSON	0
1.0	it	be	second attack	0	ORDINAL
1.0	Washington	have also designate	somali islamist hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
0.633593924617174	US Navy spokesman Lt. Commander Charlie Brown	say as	part of operation	ORGANIZATION	0
1.0	it	be second attack in	three day	0	DURATION
1.0	Amadeu Altafaj	spokesman for	Louis Michel	PERSON	PERSON
1.0	the second attack	have	first	ORDINAL	O
1.0	this	be part of	the right thing	0	0
1.0	United States	support warlord at_time	last year	LOCATION	DATE
1.0	Somalia	in	slide	LOCATION	0
1.0	instability	be in	Somalia	0	LOCATION
1.0	troops	spark	intense exchange of fire	0	0
1.0	United States	covertly support	warlord	LOCATION	0
1.0	US intervention	follow	offensive	LOCATION	0
1.0	level	be	highlight by gunman on Tuesday firing rocket into camp housing	0	DATE
1.0	Washington	have also designate	islamist hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	security force	arrest	Mohamed	0	PERSON
1.0	United States	however covertly support warlord at_time	last year	LOCATION	DATE
1.0	this	be	part	0	0
1.0	it	be	attack	0	0
1.0	US air strike	cause concern in	capital	LOCATION	0
1.0	level	be	highlight by gunman into camp housing	0	0
1.0	Washington	have designate	hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	Sheikh Hassan Dahir Aweys	be	somali islamist	PERSON	0
1.0	ban ki-moon	be	the United Nations	0	ORGANIZATION
1.0	his	have	head	O	O
1.0	it	be	second such attack	0	ORDINAL
1.0	ban ki-moon	be chief of	the United Nations	0	ORGANIZATION
