1.0	Verizon Communications	be with	28.5 percent stake	ORGANIZATION	PERCENT
1.0	share	tumble in	New York	DURATION	LOCATION
1.0	relation	have	have strain	0	0
1.0	large stake	be in	most of company work	0	0
1.0	Caracas	be also major supplier to	United States	LOCATION	LOCATION
1.0	share	be in	telecom company CANTV	DURATION	ORGANIZATION
1.0	crude	have	refineries	O	O
1.0	whose	have	shareholder	O	O
1.0	laws	have	mother	O	O
1.0	Bodman	tell	reporter	PERSON	0
1.0	bilateral contracts	have	sanctity	O	O
1.0	Caracas	be	also supplier of oil to United States	LOCATION	LOCATION
1.0	President George W. Bush	have	US administration	O	PERSON
1.0	Caracas	be supplier to	United States	LOCATION	LOCATION
1.0	Chavez	to	announcement	PERSON	0
1.0	Caracas	be also major supplier of	oil	LOCATION	0
1.0	State Condeleezza	have	Secretary	O	PERSON
1.0	United States	be	Venezuela 's largest trading partner	LOCATION	LOCATION
1.0	State Department spokesman Sean McCormack	say	refer to Chavez 's announcement	PERSON	PERSON
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end control in	east	PERSON	0
1.0	us-venezuelan relation	have	have strain	0	0
1.0	US multinational	have	stake in most of company work	LOCATION	0
1.0	United States	be	also Venezuela 's largest trading partner	LOCATION	LOCATION
1.0	Caracas	be major supplier to	United States	LOCATION	LOCATION
1.0	share	tumble off in	New York	DURATION	LOCATION
1.0	Venezuela	have	President Hugo Chavez	PERSON	LOCATION
1.0	US oil imports	have	percent	PERCENT	O
1.0	Samuel Bodman	be secretary of	the United States	PERSON	LOCATION
1.0	Caracas	be	also supplier	LOCATION	0
1.0	propose legislation	would also allow	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	0	PERSON
1.0	US	have	Verizon Communications	ORGANIZATION	LOCATION
1.0	Washington Tuesday	voice concern over	plan by Venezuela 's President Hugo Chavez	LOCATION	PERSON
1.0	United States	be	also Venezuela 's trading partner	LOCATION	LOCATION
1.0	US multinational	have	stake in most	LOCATION	0
1.0	State Department spokesman Sean McCormack	refer to	Chavez 's announcement	PERSON	PERSON
1.0	Caracas	be	supplier of oil to United States	LOCATION	LOCATION
1.0	US multinational	have	large stake in most of company	LOCATION	0
1.0	Monday	have	close	O	DATE
1.0	share	tumble off by	quarter on opening	DURATION	DURATION
1.0	stock price	plummet at_time	Washington Tuesday	0	DATE
1.0	stock price	be in	that Venezuela	0	DURATION
1.0	Washington Tuesday	voice	strong concern	LOCATION	0
1.0	that Venezuela	be	source	LOCATION	0
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	take power with	eight year ago populist	PERSON	DATE
1.0	Chavez	have	announcement	PERSON	DURATION
1.0	stock price	plummet after	day	0	DURATION
1.0	percent	have	source	O	PERCENT
1.0	US multinational	have	large stake in most of company work in two sector	LOCATION	NUMBER
1.0	Washington Tuesday	voice concern over	plan	LOCATION	0
1.0	Venezuela	by	Hugo Chavez	LOCATION	PERSON
1.0	obligations	have	all	O	O
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	take power with	populist	PERSON	0
1.0	US multinational	have	large stake in most of company work	LOCATION	0
1.0	US multinational	have	stake in most of company	LOCATION	0
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	control of refinery of heavy crude	PERSON	0
1.0	Caracas	be also supplier of	oil	LOCATION	0
1.0	nationalization	be	well-worn	0	0
1.0	US multinational	have	stake in most of company work in two sector	LOCATION	NUMBER
1.0	that Venezuela	be source of	about 11 percent of US oil import	LOCATION	LOCATION
1.0	oil	have	supplier	O	O
1.0	Caracas	be	also major supplier	LOCATION	0
1.0	Sean McCormack	be spokesman of	State Department	PERSON	ORGANIZATION
1.0	Monday	from	close	DATE	0
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	foreign control of refinery of crude	PERSON	0
1.0	legislation	would also allow	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	0	PERSON
1.0	he	be	due	0	0
1.0	legislation	would allow	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	0	PERSON
1.0	Caracas	be major supplier of	oil	LOCATION	0
1.0	Caracas	be supplier of	oil	LOCATION	0
1.0	State Department spokesman Sean McCormack	say	refer	PERSON	0
1.0	Caracas	be	supplier	LOCATION	0
1.0	stock price	decline	10.5 percent	0	PERCENT
1.0	Caracas	be	major supplier of oil to United States	LOCATION	LOCATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	control	PERSON	0
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	foreign control of refinery of heavy crude	PERSON	0
1.0	US multinational	have	large stake in most	LOCATION	0
1.0	refineries	have	control	O	O
1.0	Caracas	be also supplier to	United States	LOCATION	LOCATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end control from	Orinoco region	PERSON	LOCATION
1.0	share	tumble by	quarter on opening	DURATION	DURATION
1.0	Sean McCormack	be	State Department	PERSON	ORGANIZATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	control of refinery of crude	PERSON	0
1.0	Caracas	be	major	LOCATION	0
1.0	Washington Tuesday	voice	concern	LOCATION	0
1.0	US multinational	have	large stake	LOCATION	0
1.0	share	tumble by	quarter	DURATION	DURATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	foreign control	PERSON	0
1.0	Samuel Bodman	be	Energy	PERSON	ORGANIZATION
1.0	its	have	obligations	O	O
1.0	United States	be	Venezuela 's trading partner	LOCATION	LOCATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	foreign control of refinery	PERSON	0
1.0	Washington Tuesday	voice concern over	plan by Venezuela 's leftist President Hugo Chavez	LOCATION	PERSON
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	take	power	PERSON	0
1.0	that Venezuela	have	trading partner	O	LOCATION
1.0	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	end	control of refinery	PERSON	0
1.0	Samuel Bodman	be	the United States	PERSON	LOCATION
1.0	companies	have	most	O	O
1.0	Caracas	be	major supplier	LOCATION	0
1.0	stock price	plummet at_time	Tuesday	0	DURATION
1.0	accepted international practice	be in	foreign company compensate at fair market value for asset	0	0
1.0	US multinational	have	stake	LOCATION	0
1.0	share	tumble off by	quarter	DURATION	DURATION
1.0	propose legislation	would allow	Chavez , who has repeatedly locked horns with the US administration of President George W. Bush	0	PERSON
1.0	Caracas	be	also major supplier of oil to United States	LOCATION	LOCATION
1.0	Chavez	have	announcement	O	PERSON
1.0	he	be	swear	0	0
