1.0	Friday	be in	northeast of capital	DATE	0
1.0	25 gramme	be	of which enough	NUMBER	0
1.0	pair	be	arrest on Friday in northeast of capital as one attempt	0	NUMBER
1.0	gramme	be	of which enough	0	0
1.0	pair aged	be arrest on	Friday in northeast of capital	0	DATE
1.0	police	seize	further 11 kilogramme of pentrite	0	NUMBER
1.0	police	seize	11 kilogramme	0	NUMBER
1.0	raid	belong to	one man	0	NUMBER
1.0	source	say close to	investigation	0	0
1.0	pair aged	be	arrest	0	0
1.0	pair	be	arrest on Friday as one attempt	0	NUMBER
1.0	raid	belong to	one of man	0	NUMBER
1.0	pair	be arrest on	Friday	0	DATE
1.0	men	have	one	NUMBER	O
1.0	police	seize	further 11 kilogramme	0	NUMBER
1.0	Western Europe	be from	Yugoslavia	LOCATION	LOCATION
1.0	pair	be arrest as	one attempt	0	NUMBER
1.0	explosive	of kilogramme be	nine pound	0	MONEY
1.0	which	have	enough	O	O
1.0	pair aged	be arrest on	Friday	0	DATE
1.0	his	have	job	O	O
1.0	pair	be arrest on	Friday in northeast of capital	0	DATE
1.0	gramme	be	enough	0	0
1.0	pair	be	arrest	0	0
1.0	pentrite	have	kilogrammes	O	O
1.0	use	be in	organised crime	0	0
1.0	subsequent raid	belong to	one man	0	NUMBER
1.0	pair aged	be	arrest on Friday in northeast of capital as one attempt	0	NUMBER
1.0	pair	be	arrest on Friday in northeast as one attempt	0	NUMBER
1.0	pair aged	be	arrest on Friday as one attempt	0	NUMBER
1.0	pair aged	be arrest on	Friday in northeast	0	DATE
1.0	capital	have	northeast	O	O
1.0	25 gramme	be	enough	NUMBER	0
1.0	pair aged	be arrest as	one attempt	0	NUMBER
1.0	trafficking military explosives for use in organised crime	have	kilogrammes	O	O
1.0	pair	be arrest on	Friday in northeast	0	DATE
1.0	pair aged	be	arrest on Friday in northeast as one attempt	0	NUMBER
1.0	source	say on	Tuesday	0	DATE
1.0	subsequent raid	belong to	one of man	0	NUMBER
1.0	police	seize	11 kilogramme of pentrite	0	NUMBER
