1.0	Mahmoud Ahmadinejad	be for	Israel	PERSON	LOCATION
1.0	one official	speak on	condition of anonymity	NUMBER	0
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	day of he visit	PERSON	DATE
1.0	one official	say	speak on condition	NUMBER	0
1.0	Olympic village	have	site	O	O
1.0	Prime Minister Ehud Olmert	be	due	PERSON	0
1.0	Israel	have	call	O	LOCATION
1.0	Olmert 's visit	be expect	focus on bilateral tie between two country	PERSON	NUMBER
1.0	Prime Minister Ehud Olmert	sign	bilateral treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	experimental dairy farm on outskirts	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese dairy farm	PERSON	0
1.0	it	look at	thorny question	0	0
1.0	premier	will meet	President Hu Jintao	0	PERSON
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	second day	PERSON	DATE
1.0	Olmert 's visit	focus on	bilateral tie	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	visit	dairy farm	PERSON	0
1.0	state	consider	republic its arch foe follow repeat call by President Mahmoud Ahmadinejad	0	PERSON
1.0	one official	say	speak	NUMBER	0
1.0	israeli Prime Minister Ehud Olmert	sign	treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	Olmert 's visit	be expect	focus	PERSON	0
1.0	Iran	have	programme	O	LOCATION
1.0	China	have	Premier Wen Jiabao	PERSON	LOCATION
1.0	Prime Minister Ehud Olmert	sign treaty on	day of he three-day visit	PERSON	DATE
1.0	Prime Minister Ehud Olmert	sign	bilateral treaty at meeting	PERSON	0
1.0	picture	appear in	local media	0	0
1.0	it	be also expect	look at question	0	0
1.0	China	of	major supplier of oil	LOCATION	0
1.0	visit	have	day	DATE	O
1.0	israeli Prime Minister Ehud Olmert	sign	treaty	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	dairy farm on outskirts	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese experimental dairy farm	PERSON	0
1.0	meeting	be with	Wen Jiabao	0	PERSON
1.0	premier	will meet	President Hu Jintao on Thursday	0	PERSON
1.0	suppliers	have	one	NUMBER	O
1.0	Prime Minister Ehud Olmert	sign treaty on	second day of he three-day visit	PERSON	DATE
