1.0	They	work in	area	0	0
0.6781550399516716	three norwegian whaler	half of	Iceland 's whale fleet	NUMBER	LOCATION
1.0	Watson	take approach with	Sea Shepherd	PERSON	0
0.6781550399516716	three whaler	half of	Iceland 's whale fleet	NUMBER	LOCATION
1.0	we	here look for	ship	0	0
1.0	it	be	dangerous	0	0
1.0	we	look for	ship	0	0
0.6781550399516716	three norwegian whaler	half of	Iceland 's fleet	NUMBER	LOCATION
1.0	he	tell	AFP	0	ORGANIZATION
1.0	Iceland 's whale fleet	be in	1986	LOCATION	DATE
1.0	Greenpeace	have	founder member	O	ORGANIZATION
1.0	japanese fleet	will	will harass by international conservation group	0	0
1.0	Watson	member of	Greenpeace	PERSON	ORGANIZATION
1.0	they	pose	lot	0	0
1.0	fact	have	secret	O	O
0.7260535429430061	we	be pirate of	compassion in pursuit of pirate of profit	0	0
1.0	ocean	have	bunch	O	O
1.0	Watson	leave organisation in	1977	PERSON	DATE
0.6781550399516716	three norwegian whaler	half of	Iceland 's whale fleet in 1986	NUMBER	LOCATION
1.0	japanese fleet	will	will harass	0	0
1.0	japanese fleet	will	will also harass by conservation group	0	0
1.0	you	above waterline know	enough damage	0	0
1.0	canadian-born activist	use	violent tactic	0	0
1.0	compassion	have	pirates	O	O
1.0	showdown	loom in	icy water of antarctic	0	0
1.0	japanese fleet	will	will harass by conservation group	0	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	be	56	PERSON	NUMBER
1.0	enough damage	force back	they	0	0
1.0	half	sink	three norwegian whaler	0	NUMBER
0.7260535429430061	we	be pirate of	compassion in pursuit of pirate	0	0
1.0	violent showdown	loom in	icy water	0	0
0.6781550399516716	three whaler	half of	Iceland 's whale fleet in 1986	NUMBER	LOCATION
1.0	Greenpeace	take	many safety precaution	ORGANIZATION	0
1.0	compassion	be in	pursuit of pirate of profit	0	0
0.7260535429430061	we	be pirate of	compassion in pursuit	0	0
1.0	they	be down here look for	membership	0	0
1.0	japanese fleet	will	will also harass by international conservation group	0	0
1.0	Watson	take	more aggressive approach	PERSON	0
0.7260535429430061	we	be	pirate	0	0
1.0	activist	use tactic in	he conservation effort	0	0
1.0	Greenpeace	take	safety precaution	ORGANIZATION	0
1.0	fleet	will	will harass by conservation group	0	0
1.0	Watson	leave organisation after	disagreement over tactic	PERSON	0
1.0	pirates	have	pursuit	O	O
0.6781550399516716	three norwegian whaler	half of	Iceland 's fleet in 1986	NUMBER	LOCATION
1.0	its	have	registration	O	O
1.0	profit	have	pirates	O	O
1.0	Critics	sink	two spanish whaler	0	NUMBER
1.0	International Whaling Commission	impose	moratorium	ORGANIZATION	0
1.0	Iceland	have	fleet	O	LOCATION
1.0	fleet	will	will harass	0	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	be	prepare	0	0
1.0	Belize	cancel	its registration	LOCATION	0
1.0	Critics	sink	two whaler	0	NUMBER
1.0	Watson	have	charge	PERSON	0
1.0	Watson	take	aggressive approach	PERSON	0
1.0	you	know	damage	0	0
1.0	we	down here look for	whale ship	0	0
1.0	shipborne activists	have	ships	O	O
1.0	Watson	leave organisation after	disagreement	PERSON	0
1.0	we	down here look for	ship	0	0
1.0	850 minke whale	be in	year 's southern hemisphere	NUMBER	DATE
1.0	they	be look for	membership	0	0
1.0	Iceland	of	whale fleet in 1986	LOCATION	DATE
1.0	The Canadian-born activist	have	conservation efforts	O	O
1.0	japanese fleet	will	will also harass	0	0
0.9919506356231688	Southern Ocean	be	formidable place	LOCATION	0
1.0	Greenpeace	take	as many safety precaution	ORGANIZATION	0
1.0	us	have	safety	O	O
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	sideswipe	oriental bluebird supply vessel	0	0
1.0	he ship	be	unregistered thus	0	0
1.0	Watson	take	approach	PERSON	0
1.0	half	sink	three whaler	0	NUMBER
