1.0	Eritrea	have send	2,000 troops	LOCATION	NUMBER
1.0	ethiopian troops ' invasion	be aggression with	active blessing	0	0
1.0	Somalia	have	much	O	LOCATION
1.0	Somalia , Asmara	want	elusive peace	LOCATION	0
1.0	Islamists	since be repel by	government force	MISC	0
1.0	ethiopian troops ' invasion	be indeed aggression with	active blessing of United States	0	LOCATION
1.0	long toop	accuse	its neighbor conduct	0	0
1.0	Washington	support	somali government	LOCATION	0
1.0	it	also repeat	vehement denial of report	0	0
1.0	Somalia	be	central	LOCATION	0
0.22607928045789227	Ethiopia	war	Eritrea	LOCATION	LOCATION
1.0	ethiopian troops ' invasion	be naked aggression with	active blessing	0	0
1.0	Somalia	have without	have central authority since 1991	LOCATION	DATE
1.0	Somalia , Asmara	want	only long elusive peace	LOCATION	0
1.0	government	have	have severely challenge by rise of powerful islamist movement	0	0
1.0	troops ' invasion	be indeed naked aggression with	blessing	0	0
1.0	troops ' invasion	be indeed naked aggression with	active blessing of United States	0	LOCATION
1.0	transitional government	have	have challenge by rise of powerful islamist movement	0	0
1.0	Ethiopia	fight war at	still odds over they border conflict	LOCATION	0
1.0	it	also repeat	vehement denial	0	0
1.0	transitional government	have	have severely challenge by rise of powerful islamist movement	0	0
1.0	Islamists	be repel by	somali government force	MISC	0
1.0	transitional government	have	have severely challenge by rise of movement	0	0
1.0	Washington	support	weak government	LOCATION	0
1.0	Eritrea	have	border problem	O	O
1.0	Ethiopia	fight war at	odds over they unresolved 1998-2000 border conflict	LOCATION	DURATION
1.0	it	also repeat	denial of report	0	0
1.0	Ethiopia	have justify	its intervention in Somalia	LOCATION	LOCATION
1.0	ethiopian troops ' invasion	be indeed aggression with	blessing	0	0
1.0	troops ' invasion	be aggression with	active blessing of United States	0	LOCATION
1.0	Islamists	since be repel by	somali government force back	MISC	0
1.0	ethiopian troops ' invasion	be naked aggression with	blessing of United States	0	LOCATION
1.0	Somalia	have without	have function authority since 1991	LOCATION	DATE
1.0	ethiopian troops ' invasion	be	indeed aggression	0	0
0.5240327353091624	Somalia , Asmara	previous denial of	such intention	LOCATION	0
1.0	Islamists	seize	Mogadishu in June	MISC	LOCATION
1.0	government	have	have challenge by rise of islamist movement	0	0
1.0	Ethiopia	fight war in	Somalia	LOCATION	LOCATION
1.0	Ethiopia	have	intervention	O	O
1.0	Somalia	have	movement	MISC	0
1.0	movement	have	rise	O	O
1.0	Islamists	have take	control of much of Somalia	MISC	MISC
1.0	Ethiopia	have justify	its military intervention	LOCATION	0
1.0	troops ' invasion	be aggression with	blessing	0	0
1.0	troops	have	invasion	O	O
1.0	it	repeat	vehement denial of report	0	0
1.0	ethiopian troops ' invasion	be aggression with	blessing	0	0
1.0	Ethiopia	fight	Eritrea	LOCATION	LOCATION
1.0	newspaper	say in	editorial	0	0
1.0	government	have	have severely challenge by rise of islamist movement	0	0
1.0	Al-Qaeda links	have	accused	O	O
1.0	it	also repeat	denial	0	0
1.0	Ethiopia	fight war at	odds over they border conflict	LOCATION	0
1.0	whom	have	some	O	O
1.0	government	have	have severely challenge by rise of movement	0	0
1.0	ethiopian troops ' invasion	be indeed aggression with	blessing of United States	0	LOCATION
1.0	transitional government	have	have severely challenge	0	0
1.0	two day	be in	Asmara	0	LOCATION
1.0	it	repeat	vehement denial	0	0
1.0	Islamists	be repel by	government force back	MISC	0
1.0	long toop	accuse	its neighbor	0	0
1.0	troops ' invasion	be naked aggression with	active blessing of United States	0	LOCATION
1.0	Somalia , Asmara	renew	denial of such intention	LOCATION	0
1.0	troops ' invasion	be aggression with	blessing of United States	0	LOCATION
1.0	Somalia	have without	have authority since 1991	LOCATION	DATE
1.0	transitional government	have	have challenge	0	0
1.0	ethiopian troops ' invasion	be aggression with	active blessing of United States	0	LOCATION
1.0	Somalia	have	invasion	O	LOCATION
1.0	Islamists	seize	Mogadishu	MISC	LOCATION
1.0	Somalia	have without	have authority	LOCATION	0
1.0	transitional government	have	have challenge by rise	0	0
1.0	long toop	accuse	its arch-foe neighbor	0	0
1.0	ethiopian troops ' invasion	be	indeed naked aggression	0	0
1.0	it	repeat	denial	0	0
1.0	troops ' invasion	be	indeed naked aggression	0	0
1.0	Islamists	since be repel by	somali government force	MISC	0
1.0	Somalia	have	movement	O	LOCATION
1.0	Somalia , Asmara	renew	previous denial of such intention	LOCATION	0
1.0	Ethiopia	fight war at	still odds over they unresolved border conflict	LOCATION	0
1.0	Somalia , Asmara	want peace for	somali people	LOCATION	0
1.0	troops ' invasion	be naked aggression with	blessing of United States	0	LOCATION
1.0	Ethiopia	have justify	its military intervention in Somalia	LOCATION	LOCATION
1.0	unity	have	government	O	O
1.0	Islamic Courts	have	Union	O	O
1.0	transitional government	have	have challenge by rise of islamist movement	0	0
1.0	transitional government	have	have severely challenge by rise of islamist movement	0	0
1.0	Washington	support	other	LOCATION	0
1.0	government	have	have challenge by rise of movement	0	0
1.0	government	have	have challenge	0	0
1.0	war	continue in	Somalia	0	LOCATION
1.0	much	have	control	O	O
1.0	reports	have	denials	O	O
1.0	Somalia	be	function	LOCATION	0
1.0	Islamists	be	since repel	MISC	0
1.0	ethiopian troops ' invasion	be naked aggression with	blessing	0	0
1.0	troops ' invasion	be	naked aggression	0	0
1.0	troops ' invasion	be	indeed aggression	0	0
1.0	Somalia , Asmara	want	peace	LOCATION	0
1.0	transitional government	have	have challenge by rise of movement	0	0
1.0	Washington	support government at	expense of other faction	LOCATION	0
1.0	Somalia	have without	have function central authority since 1991	LOCATION	DATE
1.0	troops ' invasion	be indeed aggression with	active blessing	0	0
1.0	Ethiopia	fight war at	still odds over they unresolved 1998-2000 border conflict	LOCATION	DURATION
1.0	troops ' invasion	be	aggression	0	0
1.0	toop	accuse	its neighbor conduct	0	0
1.0	Islamists	be repel by	government force	MISC	0
1.0	transitional government	have	have severely challenge by rise	0	0
1.0	Somalia	have without	have central authority	LOCATION	0
1.0	Somalia	have	Islamic Courts	O	LOCATION
1.0	Washington	support	weak somali government	LOCATION	0
1.0	ethiopian troops ' invasion	be naked aggression with	active blessing of United States	0	LOCATION
1.0	Ethiopia	fight war at	odds over they unresolved border conflict	LOCATION	0
1.0	newspaper	say	add	0	0
1.0	Eritrea	warn at_time	Wednesday	LOCATION	DATE
1.0	Washington	support	government	LOCATION	0
1.0	ethiopian troops ' invasion	be aggression with	blessing of United States	0	LOCATION
1.0	troops ' invasion	be naked aggression with	blessing	0	0
1.0	Somalia , Asmara	want peace for	people	LOCATION	0
1.0	Washington	support government at	expense	LOCATION	0
1.0	government	have	have challenge by rise of powerful islamist movement	0	0
1.0	Islamists	since be repel by	government force back	MISC	0
1.0	Islamists	be	repel	MISC	0
1.0	troops ' invasion	be naked aggression with	active blessing	0	0
1.0	government	have	have severely challenge by rise	0	0
1.0	ethiopian troops ' invasion	be indeed naked aggression with	active blessing of United States	0	LOCATION
1.0	troops ' invasion	be indeed naked aggression with	active blessing	0	0
1.0	naked aggression	be in	lawless nation	0	0
1.0	government	have	have challenge by rise of powerful movement	0	0
1.0	its military intervention	be in	Somalia	0	LOCATION
1.0	ethiopian troops ' invasion	be indeed naked aggression with	blessing of United States	0	LOCATION
1.0	Somalia , Asmara	want	long elusive peace	LOCATION	0
1.0	long toop	accuse	its arch-foe neighbor conduct	0	0
1.0	Islamists	have take	control	MISC	0
1.0	troops ' invasion	be indeed aggression with	blessing	0	0
1.0	bloodshed	have	warned	O	O
1.0	troops ' invasion	be indeed naked aggression with	blessing of United States	0	LOCATION
1.0	toop	accuse	its neighbor	0	0
1.0	troops ' invasion	be aggression with	active blessing	0	0
1.0	Eritrea	say at	same time	LOCATION	0
0.5240327353091624	Somalia , Asmara	denial of	such intention	LOCATION	0
1.0	Eritrea	say at	time	LOCATION	0
1.0	ethiopian troops ' invasion	be indeed aggression with	active blessing	0	0
1.0	Ethiopia	have justify	its intervention	LOCATION	0
1.0	Ethiopia	fight war at	still odds	LOCATION	0
1.0	government	have	have challenge by rise	0	0
1.0	troops ' invasion	be indeed aggression with	active blessing of United States	0	LOCATION
1.0	Analysts	have	border conflict	O	O
1.0	factions	have	expense	O	O
1.0	Islamists	have take	control of much of southern Somalia	MISC	MISC
1.0	government	have	have severely challenge	0	0
1.0	Islamists	be repel by	somali government force back	MISC	0
1.0	toop	accuse	its arch-foe neighbor	0	0
1.0	government	have	have severely challenge by rise of powerful movement	0	0
1.0	ethiopian troops ' invasion	be	aggression	0	0
1.0	Ethiopia	fight	war	LOCATION	0
1.0	transitional government	have	have challenge by rise of powerful movement	0	0
1.0	Washington	support government at	expense of faction	LOCATION	0
1.0	intention	have	denials	O	O
1.0	toop	accuse	its arch-foe neighbor conduct	0	0
1.0	Ethiopia	have	neighbor	O	O
1.0	naked aggression	be with	active blessing of United States	0	LOCATION
0.22607928045789227	Ethiopia	proxy war	Eritrea	LOCATION	LOCATION
1.0	Somalia	have without	have function central authority	LOCATION	0
1.0	ethiopian troops ' invasion	be	naked aggression	0	0
1.0	it	repeat	denial of report	0	0
1.0	the United States	have	blessing	O	LOCATION
1.0	transitional government	have	have severely challenge by rise of powerful movement	0	0
1.0	Islamists	have take	control of much	MISC	0
1.0	Ethiopia	fight war at	odds	LOCATION	0
1.0	Washington	continue	other	LOCATION	0
1.0	troops ' invasion	be indeed aggression with	blessing of United States	0	LOCATION
1.0	analyst	have express	fear	0	0
1.0	Somalia	have without	have function authority	LOCATION	0
1.0	ethiopian troops ' invasion	be indeed naked aggression with	blessing	0	0
