1.0	release	show on	Wednesday	0	DATE
0.6706362098153862	latest figure	rise of	182 percentage point	0	PERCENT
1.0	percent	have	November rate	O	PERCENT
1.0	Finance Minister Herbert Murerwa	predict at_time	last month	PERSON	DATE
1.0	inflation rate	recede in	half	0	DATE
1.0	figure	represent	rise of 182 percentage point	0	PERCENT
1.0	goods	have	shortages	O	O
1.0	inflation rate	recede in	half of 2007	0	DATE
1.0	latest figure	represent rise on	November rate	0	DATE
1.0	Zimbabwe	be in	seventh year	LOCATION	DATE
1.0	inflation	have	rate	O	O
1.0	Finance Minister Herbert Murerwa	predict at_time	month	PERSON	DATE
1.0	inflation rate	recede in	later half	0	DATE
1.0	figure	represent rise on	November rate	0	DATE
1.0	percent	have	record high	O	PERCENT
1.0	latest figure	represent	rise of 182 percentage point	0	PERCENT
1.0	figure	represent	rise	0	0
1.0	2007	have	half	DATE	DATE
1.0	figure	represent rise on	November rate of 1,098 percent	0	DATE
1.0	Zimbabwe	be in	year	LOCATION	DATE
1.0	inflation rate	recede in	later half of 2007	0	DATE
1.0	recession	have	year	DATE	O
1.0	latest figure	represent	rise	0	0
1.0	percentage points	have	rise	O	O
0.6706362098153862	figure	rise of	182 percentage point	0	PERCENT
1.0	inflation	be in	Zimbabwe	0	LOCATION
1.0	1,281 percent	be in	December	PERCENT	DATE
1.0	latest figure	represent rise on	November rate of 1,098 percent	0	DATE
