1.0	overnight	weigh on	sentiment	TIME	0
1.0	market	be affect at_time	today	0	DATE
1.0	Blue chip China Mobile	be at	down 65.45	ORGANIZATION	NUMBER
1.0	Hang Seng Index	close down off	low of 19,507.97	MISC	NUMBER
1.0	19,693.70	have	high	O	NUMBER
1.0	ping a	be down	4.68	0	NUMBER
1.0	region	have	out pulling	O	O
1.0	turnover	be	64 billion Hong Kong dollar	0	LOCATION
1.0	profit-taking pressure	have	brunt	O	O
1.0	they	say on	japanese market	0	0
1.0	Hang Seng Index	close at	19,568.34	MISC	NUMBER
0.8809099124994632	China Life	ping	a be down 1.70	ORGANIZATION	NUMBER
0.8809099124994632	China Life	ping	a down	ORGANIZATION	0
1.0	they	say on	market	0	0
1.0	market	be	affect by Tokyo 's loss today	0	DATE
1.0	their	have	run-up	O	O
0.8736329029000534	a be	down	1.70	0	NUMBER
0.8809099124994632	China Life	ping	a be	ORGANIZATION	0
1.0	Tokyo	have	losses	O	LOCATION
1.0	they	have	have overbought	0	0
1.0	Hang Seng China Enterprises Index	finish down at	9,649.23	0	NUMBER
1.0	Tokyo	by	sharp loss	LOCATION	0
1.0	market	be	affect	0	0
1.0	hsbc	be among	local bank	0	0
1.0	East Asia	have	Bank	ORGANIZATION	ORGANIZATION
1.0	hsbc	be down among	local bank	0	0
1.0	they	say at_time	fall	0	DATE
0.8809099124994632	China Life	ping	a	ORGANIZATION	0
1.0	Ben Kwong	head at	KGI Asia	PERSON	LOCATION
1.0	Blue chip China Mobile	be at	down 1.0 65.45	ORGANIZATION	NUMBER
0.8809099124994632	China Life	ping	a down 1.70	ORGANIZATION	NUMBER
1.0	market	have	decline	0	0
1.0	19,507.97	have	low	O	NUMBER
0.8736329029000534	a	down	1.70	0	NUMBER
1.0	low	have	closed	O	O
1.0	market	have	decline	O	O
1.0	high	have	closed	O	O
1.0	market	be affect by	Tokyo 's loss	0	LOCATION
1.0	investor	be sell	China financial	0	LOCATION
1.0	hsbc	be among	bank	0	0
1.0	Hang Seng Index	close off	low of 19,507.97	MISC	NUMBER
1.0	this	have	indications	O	O
1.0	Hang Seng Index	close down at	19,568.34	MISC	NUMBER
1.0	they	say	show	0	0
1.0	Hang Seng Index	close down off	low	MISC	0
1.0	Hang Seng Index	close off	low	MISC	0
1.0	market	be affect by	Tokyo 's sharp loss	0	LOCATION
0.8809099124994632	China Life	ping	a be down	ORGANIZATION	0
1.0	hsbc	be down among	bank	0	0
1.0	market	be	affect by Tokyo 's sharp loss today	0	DATE
1.0	they	say at_time	steep fall	0	DATE
1.0	Hang Seng China Enterprises Index	finish at	9,649.23	0	NUMBER
