1.0	Organization of the Petroleum Exporting Countries	for spokesman be	the Organization of the Petroleum Exporting Countries	ORGANIZATION	ORGANIZATION
1.0	Dealers	have	appetite	O	O
1.0	oil market	have	central focus	0	0
1.0	Bank of Ireland	be of	Paul Harris	ORGANIZATION	PERSON
1.0	New York 's contract crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	Brent North Sea crude	fall in	London	LOCATION	LOCATION
1.0	oil market 's central focus	remain with	warm weather forecast over next ten day	0	DURATION
1.0	oil market	have	focus	O	O
1.0	barrels	have	disruption	O	O
1.0	New York	have	main contract light sweet crude for delivery in February	LOCATION	DATE
1.0	Russia	have	reliability	O	LOCATION
1.0	Michael Davies	be	Sucden	PERSON	ORGANIZATION
1.0	Brent North Sea crude	fall by	just two cent 55.16 dollar barrel	LOCATION	MONEY
1.0	Brent	tumble to	53.64 dollar	0	MONEY
1.0	Dealers	have	money	O	O
1.0	oil exports	have	day	DURATION	O
1.0	oil market 's focus	remain with	warm weather forecast over next ten day	0	DURATION
1.0	US Department	issue	its snapshot	LOCATION	0
1.0	US oil reserve	fall by	1.5 million barrel	LOCATION	NUMBER
1.0	Energy	have	US Department	ORGANIZATION	ORGANIZATION
1.0	future	have slump by	as much as 12 percent	0	PERCENT
1.0	cartel	have	emergency meeting	O	O
1.0	dispute	re-ignite	concern	0	0
1.0	New York 's contract sweet crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	US fuel inventory datum	be	expect	LOCATION	0
1.0	2007	have	start	DATE	DATE
1.0	dispute	re-ignite concern as	energy supplier	0	0
1.0	dispute	have lead to	five european state	0	NUMBER
1.0	future	have slump by	as much as 12 percent since start of 2007	0	PERCENT
1.0	Paul Harris	be of	Bank of Ireland	PERSON	ORGANIZATION
1.0	dispute	have lead to	disruption of around 1.4 million barrel per day	0	DURATION
1.0	crucial market	update on	US energy stockpile	0	LOCATION
1.0	US oil reserve	fall by	1.5 million barrel over period	LOCATION	NUMBER
1.0	New York 's main contract light sweet crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	speculation	have	fell	O	O
1.0	dispute	have lead from	Russia	0	LOCATION
1.0	US crude oil reserve	fall by	1.5 million barrel over period	LOCATION	NUMBER
1.0	Michael Davies	be analyst of	Sucden	PERSON	ORGANIZATION
1.0	World oil price	sag on	Wednesday	0	DURATION
1.0	energy complex	have	take	O	O
1.0	New York 's contract sweet crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	US energy reserves	have	snapshot	O	O
1.0	New York 's main contract sweet crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	dispute	re-ignite	concern about Russia 's reliability	0	LOCATION
1.0	dispute	have lead to	five state	0	NUMBER
1.0	New York 's contract crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	Brent North Sea crude	fall in	electronic trading	LOCATION	0
1.0	Ireland analyst Paul Harris	have	Bank	ORGANIZATION	PERSON
1.0	dispute	have lead to	disruption	0	0
1.0	US fuel inventory datum	show	rise heating stock	LOCATION	0
1.0	milder weather	be in	US	0	LOCATION
1.0	market	update on	US energy stockpile	0	LOCATION
1.0	Brent North Sea crude	fall by	two cent 55.16 dollar barrel	LOCATION	MONEY
1.0	New York 's main contract crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	New York 's contract light sweet crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	New York	have	contract crude	O	LOCATION
1.0	New York 's main contract light sweet crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	distillates	have	US stocks	O	O
0.4661195157590927	week	end	January 5 2007	DATE	DATE
1.0	future	have slump by	as much as 12 percent since start	0	PERCENT
1.0	US Department	issue	its weekly snapshot of US crude energy reserve	LOCATION	SET
1.0	crude future	have slump by	as much as 12 percent since start	0	PERCENT
1.0	dispute	have lead to	disruption of around 1.4 million barrel per day of oil export	0	DURATION
1.0	New York 's contract light sweet crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	Brent North Sea crude	fall by	two cent 55.16 dollar	LOCATION	MONEY
1.0	US oil reserve	fall by	1.5 million barrel over same period	LOCATION	NUMBER
1.0	US Department	issue	its weekly snapshot of US energy reserve	LOCATION	SET
1.0	US market	have	opening	O	O
1.0	dispute	have lead to	disruption of around 1.4 million barrel	0	NUMBER
1.0	US Department	issue	its snapshot of US energy reserve	LOCATION	LOCATION
1.0	US crude oil reserve	fall by	1.5 million barrel	LOCATION	NUMBER
1.0	World oil price	sag after	one day	0	DURATION
1.0	delivery	be in	February	0	DATE
1.0	oil price	sink since	mid-June 2005	0	DATE
1.0	Russia	about	reliability	LOCATION	0
1.0	New York 's main contract sweet crude	slide	27 cent 55.37 dollar	LOCATION	MONEY
1.0	Brent North Sea crude	fall in	trading	LOCATION	0
1.0	oil price	sink to	lowest point	0	0
1.0	US Department	issue	its snapshot of US crude energy reserve	LOCATION	LOCATION
1.0	Paul Harris	be analyst of	Bank of Ireland	PERSON	ORGANIZATION
