1.0	bustling Gulf emirate	home to	several extravagant project	MISC	0
0.9129447633152606	Dubai Tower	member of	United Arab Emirates	LOCATION	LOCATION
1.0	years	have	space	O	DURATION
1.0	it	will	will build near vast airport on outskirts	0	0
1.0	Arab	have	Tower	MISC	0
1.0	it	will	will build near airport under construction	0	0
1.0	Gulf Arab man	have	form	O	O
1.0	it	will	will build currently under construction	0	DATE
1.0	it	will	will build near vast airport under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	the world 's tallest skyscraper	be	when complete	0	0
1.0	it	will	will build near airport currently under construction in Jebel Ali area	0	LOCATION
1.0	it	will	will build near airport under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	the world 's tallest skyscraper	be	when complete at end of 2008	0	DATE
1.0	it	will	will build currently under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	it	will	will build near vast airport under construction	0	0
1.0	Arab	have	Tower	O	MISC
1.0	it	will	will build near vast airport under construction on outskirts	0	0
1.0	it	will	will build near airport under construction in Jebel Ali area	0	LOCATION
1.0	it	will	will build under construction on outskirts of city	0	0
1.0	it	will	will build near airport under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	dozen	be under	where way	0	DURATION
1.0	Dubai Tower	have turn in	space of year	LOCATION	DURATION
1.0	sun	have	power	O	O
1.0	the world 's tallest skyscraper	be complete at	end of 2008	0	DATE
1.0	it	will	will build near vast airport currently under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	it	will	will build currently under construction on outskirts	0	DATE
1.0	it	will	will build near airport currently under construction on outskirts	0	DATE
1.0	Dubai Tower	have	Gulf emirate	O	LOCATION
1.0	it	will	will build currently under construction in Jebel Ali area	0	LOCATION
1.0	it	will	will build under construction on outskirts	0	0
1.0	man	have	shape	O	O
1.0	it	will	will build near vast airport currently under construction in Jebel Ali area	0	LOCATION
1.0	Al-Emarat Al-Yom	cite	developer	PERSON	0
1.0	it	will	will build	0	0
1.0	region	have	traditional garb	0	0
1.0	2008	have	end	DATE	DATE
1.0	the world 's tallest skyscraper	be	when complete at end	0	DATE
1.0	it	will	will build near airport currently under construction	0	DATE
1.0	these	include	Burj Dubai	DATE	LOCATION
1.0	it	will	will build near vast airport currently under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	it	will	will build near vast airport currently under construction	0	DATE
1.0	it	will	will build on outskirts of city	0	0
1.0	the world 's tallest skyscraper	be complete at	end	0	DATE
1.0	tower	have	developers	O	O
1.0	it	will	will build under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	it	will	will build currently under construction on outskirts of city	0	DATE
1.0	city	have	outskirts	O	O
1.0	completion	be in	2009	0	DATE
1.0	projects	have	dozens	O	O
1.0	it	will	will build near vast airport currently under construction on outskirts of city	0	DATE
1.0	United Arab Emirates	have	member	O	LOCATION
0.9129447633152606	Dubai Tower	member of	seven-strong United Arab Emirates	LOCATION	LOCATION
1.0	it	will	will build under construction	0	0
1.0	Dubai Tower	have turn in	space of few year	LOCATION	DURATION
1.0	world	have	tallest skyscraper	0	0
1.0	Dubai Tower	member of	United Arab Emirates	LOCATION	LOCATION
1.0	Dubai Tower	have turn in	space	LOCATION	DURATION
1.0	it	will	will build near vast airport under construction in Jebel Ali area	0	LOCATION
1.0	newspaper	report at_time	Wednesday	0	DATE
1.0	it	will	will build near vast airport under construction on outskirts of city	0	0
1.0	it	will	will build near airport on outskirts	0	0
1.0	it	will	will build currently under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	it	will	will build near vast airport under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	it	will	will build near airport under construction on outskirts	0	0
1.0	it	will	will build near vast airport	0	0
1.0	it	will	will build on outskirts	0	0
1.0	man	be in	conservative muslim region	0	0
1.0	it	will	will build near vast airport currently under construction on outskirts	0	DATE
1.0	it	will	will build near airport under construction on outskirts of city	0	0
1.0	world	have	skyscraper	O	O
1.0	it	will	will build near airport on outskirts of city	0	0
1.0	the world 's tallest skyscraper	be	complete	0	0
1.0	it	will	will build under construction in Jebel Ali area	0	LOCATION
1.0	dozen	be under	way	0	DURATION
1.0	a	be in	work	0	0
1.0	it	will	will build near airport currently under construction in Jebel Ali area on outskirts of city	0	LOCATION
1.0	concrete	have	made	O	O
1.0	glass	have	made	O	O
1.0	it	will	will build near airport	0	0
1.0	it	will	will build under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	it	will	will build near airport currently under construction in Jebel Ali area on outskirts	0	LOCATION
1.0	it	will	will build near vast airport on outskirts of city	0	0
1.0	region	have	garb	O	O
1.0	construction	be in	Jebel Ali area	0	LOCATION
1.0	it	will	will build near airport currently under construction on outskirts of city	0	DATE
