1.0	conference	come to	Cairo	0	LOCATION
1.0	force loyal	have	have engage in clash with force loyal to palestinian presidency for past month	0	DATE
1.0	force	have	have engage in deadly clash	0	0
1.0	early election	be in	bid	0	0
1.0	Palestinian president Mahmud Abbas	call for	election in bid	PERSON	0
1.0	force	have	have engage in deadly clash with force loyal to presidency for past month	0	DATE
1.0	force loyal	have	have engage with force loyal to presidency	0	0
1.0	force loyal	have	have engage in deadly clash with force loyal to palestinian presidency	0	0
1.0	state	have	establishment	O	O
1.0	conference	discuss development with	President Hosni Mubarak	0	PERSON
1.0	the Egyptian foreign minister	have	counterpart	O	O
1.0	the past month	be with	more 30 people kill	DATE	NUMBER
1.0	foreign minister	tell	news conference	0	0
1.0	egyptian minister	tell news conference with	he counterpart	0	0
1.0	force loyal	have	have engage with force loyal to presidency for past month	0	DATE
1.0	foreign minister	tell news conference with	he jordanian counterpart	0	0
1.0	force loyal	have	have engage in clash	0	0
1.0	authority	be	respect	0	0
1.0	Palestinian president Mahmud Abbas	call for	early election in bid	PERSON	0
1.0	force	have	have engage in deadly clash with force loyal to palestinian presidency for past month	0	DATE
1.0	government	have	formation	O	O
1.0	minister	tell news conference with	he jordanian counterpart	0	0
1.0	force loyal	have	have engage in deadly clash with force loyal to palestinian presidency for past month	0	DATE
1.0	Palestinian president Mahmud Abbas	resolve	months-long standoff	PERSON	0
1.0	force	have	have engage in clash with force loyal to palestinian presidency	0	0
1.0	force	have	have engage	0	0
1.0	force	have	have engage with force loyal	0	0
1.0	Hosni Mubarak	call on	Monday	PERSON	DATE
1.0	Palestinian president Mahmud Abbas	call for	early election	PERSON	0
1.0	force	have	have engage with force loyal to palestinian presidency	0	0
1.0	egyptian minister	tell news conference with	he jordanian counterpart	0	0
1.0	force	have	have engage with force loyal to presidency for past month	0	DATE
1.0	force loyal	have	have engage in deadly clash with force loyal to presidency for past month	0	DATE
1.0	force	have	have engage in deadly clash with force loyal to palestinian presidency	0	0
1.0	Palestinian president Mahmud Abbas	resolve	standoff	PERSON	0
1.0	minister	tell news conference with	he counterpart	0	0
1.0	force	have	have engage in deadly clash with force loyal	0	0
1.0	force loyal	have	have engage with force loyal to palestinian presidency for past month	0	DATE
1.0	force	have	have engage in deadly clash with force loyal to presidency	0	0
1.0	force loyal	have	have engage in clash with force loyal	0	0
1.0	egyptian minister	tell	news conference	0	0
1.0	force	have	have engage in clash with force loyal	0	0
1.0	force	have	have engage in clash with force loyal to presidency	0	0
1.0	Abdullah II	be king of	Jordan	PERSON	PERSON
1.0	force	have	have engage with force loyal to presidency	0	0
1.0	egyptian foreign minister	tell news conference with	he counterpart	0	0
1.0	Hosni Mubarak	unify	they rank	PERSON	0
1.0	minister	tell	news conference	0	0
1.0	force loyal	have	have engage	0	0
1.0	conference	come during	visit	0	0
1.0	force loyal	have	have engage with force loyal to palestinian presidency	0	0
1.0	force	have	have engage in clash	0	0
1.0	conference	discuss development with	egyptian President Hosni Mubarak	0	PERSON
1.0	conference	come during	visit by Jordan 's King Abdullah II	0	PERSON
1.0	force	have	have engage with force loyal to palestinian presidency for past month	0	DATE
1.0	force	have	have engage in deadly clash with force	0	0
1.0	force	have	have engage in clash with force loyal to presidency for past month	0	DATE
1.0	Hosni Mubarak	call on	Palestinians	PERSON	MISC
1.0	force	have	have engage with force	0	0
1.0	force loyal	have	have engage in deadly clash	0	0
1.0	factional fighting	erupt after	December 16	0	DATE
1.0	conference	discuss	regional development	0	0
1.0	Palestinian president Mahmud Abbas	call for	election	PERSON	0
1.0	fighting	erupt after	December 16	0	DATE
1.0	Palestinian president Mahmud Abbas	resolve standoff with	Hamas	PERSON	ORGANIZATION
1.0	president Mahmud Abbas	have	authority	O	PERSON
1.0	egyptian foreign minister	tell news conference with	he jordanian counterpart	0	0
1.0	force	have	have engage in clash with force	0	0
1.0	force loyal	have	have engage with force loyal	0	0
1.0	conference	discuss	development	0	0
1.0	conference	discuss development with	President Hosni Mubarak especially	0	PERSON
1.0	Hamas	reject	move	ORGANIZATION	0
1.0	egyptian foreign minister	tell	news conference	0	0
1.0	force loyal	have	have engage in deadly clash with force loyal	0	0
1.0	force	have	have engage in clash with force loyal to palestinian presidency for past month	0	DATE
1.0	conference	discuss development with	egyptian President Hosni Mubarak especially	0	PERSON
1.0	force loyal	have	have engage in deadly clash with force loyal to presidency	0	0
1.0	they rank	relaunch	peace process	0	0
1.0	Jordan	have	King Abdullah II	PERSON	PERSON
1.0	unity	have	government	O	O
1.0	Hosni Mubarak	be with	egyptian	PERSON	0
1.0	force loyal	have	have engage in clash with force	0	0
1.0	force loyal	have	have engage in deadly clash with force	0	0
1.0	foreign minister	tell news conference with	he counterpart	0	0
1.0	technocrats	have	government	O	O
1.0	force loyal	have	have engage in clash with force loyal to presidency	0	0
1.0	more than 30 people killed	have	ranks	O	O
1.0	force loyal	have	have engage in clash with force loyal to palestinian presidency	0	0
1.0	Jordan	by	Abdullah II	PERSON	PERSON
1.0	force loyal	have	have engage in clash with force loyal to presidency for past month	0	DATE
1.0	force loyal	have	have engage with force	0	0
1.0	Mahmud Abbas	be of	palestinian	PERSON	0
