1.0	Office	say on	Wednesday	ORGANIZATION	DATE
1.0	Britain 's trade deficit	widen sharply	owe	LOCATION	0
1.0	exporter	be	when hit by rise of pound against dollar	0	0
1.0	exporter	be	when hit	0	0
1.0	Britain 's trade deficit	widen in	November	LOCATION	DATE
1.0	pound	jump at	end	0	DATE
1.0	trade	be in	goods	0	0
1.0	exporter	be	when hit by rise	0	0
1.0	exporter	be hit by	rise of pound against dollar	0	0
1.0	exporter	be	when hit by rise of pound	0	0
1.0	pound	jump on	expectation of higher borrowing cost	0	DATE
1.0	Britain 's trade deficit	widen sharply	largely owe to record	LOCATION	0
1.0	Britain 's trade deficit	widen	owe to record	LOCATION	0
1.0	Britain 's deficit	be in	trade	LOCATION	0
1.0	Britain 's trade deficit	owe to	record	LOCATION	0
1.0	Britain 's trade deficit	widen sharply	largely owe	LOCATION	0
1.0	exporter	be hit by	rise of pound	0	0
1.0	Karen Ward	be analyst of	HSBC	PERSON	ORGANIZATION
1.0	Britain 's deficit	increase in	November	LOCATION	DATE
1.0	pounds	have	countries	O	MONEY
1.0	Britain 's trade deficit	widen	largely owe to record	LOCATION	0
1.0	pound	jump on	expectation of higher british borrowing cost	0	DATE
1.0	Britain	have	deficit in trade in goods	LOCATION	0
1.0	pound	jump on	expectation of borrowing cost at time	0	DATE
1.0	pound	jump at	end of November	0	DATE
1.0	exporter	be hit by	rise	0	0
1.0	Britain 's trade deficit	widen	owe	LOCATION	0
1.0	significant momentum	be in	recent month	0	DURATION
1.0	pound	jump on	expectation	0	0
1.0	Karen Ward	be	HSBC	PERSON	ORGANIZATION
1.0	pound	have	rise	O	O
1.0	Britain	have	trade deficit	LOCATION	0
1.0	pound	jump on	expectation of british borrowing cost	0	DATE
1.0	Britain 's trade deficit	widen	largely owe	LOCATION	0
1.0	Analysts	have	consensus forecast	O	O
1.0	pound	jump on	expectation of higher borrowing cost at time	0	DATE
1.0	market	fear lower	US interest rate	0	LOCATION
1.0	high deficit	be with	non-eu country of 4.6 billion pound	0	MONEY
1.0	borrowing costs	have	expectations	O	O
1.0	analyst ' consensus forecast	have for	have deficit	0	0
1.0	Britain	have	deficit	O	LOCATION
1.0	pounds	have	deficit	O	MONEY
1.0	October	have	figure	O	DATE
1.0	pound	have	strength	O	O
1.0	6.3 billion	have	estimate	O	NUMBER
1.0	pound	jump to	almost 2.0 dollar	0	MONEY
1.0	Britain 's deficit	increase to	7.2 billion pound	LOCATION	MONEY
1.0	November	have	end	DATE	DATE
1.0	pound	jump on	expectation of borrowing cost	0	DATE
1.0	pound	jump on	expectation of british borrowing cost at time	0	DATE
1.0	market	fear	US interest rate	0	LOCATION
1.0	Britain	have	trade deficit	O	LOCATION
1.0	official datum	show on	Wednesday	0	DATE
1.0	Britain 's trade deficit	widen sharply	owe to record	LOCATION	0
1.0	analyst ' consensus forecast	have for	have deficit of 6.4 billion pound	0	MONEY
1.0	pound	jump on	expectation of higher british borrowing cost at time	0	DATE
1.0	exporter	be	hit	0	0
1.0	its	have	toll	O	O
1.0	Britain 's trade deficit	largely owe to	record	LOCATION	0
1.0	Britain 's trade deficit	widen sharply in	November	LOCATION	DATE
1.0	datum	show on	Wednesday	0	DATE
