1.0	White House	say at_time	Wednesday	ORGANIZATION	DATE
1.0	White House	say from	american war plan for country	ORGANIZATION	0
1.0	White House	say from	american war plan	ORGANIZATION	0
1.0	White House	say from	war plan	ORGANIZATION	0
1.0	White House	say from	new american war plan	ORGANIZATION	0
1.0	White House	say from	new american war plan for country	ORGANIZATION	0
1.0	White House	say in	extract	ORGANIZATION	0
1.0	White House	say from	war plan for country	ORGANIZATION	0
1.0	White House	say from	new war plan for country	ORGANIZATION	0
1.0	White House	say from	new war plan for violence-riven country	ORGANIZATION	0
1.0	White House	say from	war plan for violence-riven country	ORGANIZATION	0
1.0	White House	say from	american war plan for violence-riven country	ORGANIZATION	0
1.0	White House	say from	new american war plan for violence-riven country	ORGANIZATION	0
1.0	White House	say from	new war plan	ORGANIZATION	0
