1.0	International Criminal Tribunal	be for	Yugoslavia	ORGANIZATION	LOCATION
1.0	their	have	sentences	O	O
1.0	country	of	main ethnic group	0	0
1.0	state war crimes court	have	detention unit	O	O
1.0	The International Criminal Tribunal for the former Yugoslavia -LRB- ICTY -RRB- , established in 1993	have	exit strategy	O	O
1.0	certain level case	have	because of deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	its	have	work	O	O
1.0	certain level case	have	because of strict deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its so-called exit strategy have transfer to national court	0	0
1.0	lower level case	have	because of deadline for its exit strategy have transfer to national court	0	0
1.0	they	be seek	try under previous code claim	0	0
1.0	level case	have	because of strict deadline for its so-called exit strategy have transfer	0	0
1.0	lower level case	have	because of strict deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of strict deadline for its so-called exit strategy have transfer to national court	0	0
1.0	certain level case	have	have transfer to court	0	0
1.0	Bosnia	during	brutal 1992-1995 war	LOCATION	DURATION
1.0	certain level case	have	because of strict deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	have transfer to national court	0	0
1.0	certain lower level case	have	because of strict deadline for its so-called exit strategy have transfer	0	0
1.0	lower level case	have	because of strict deadline have transfer to national court	0	0
1.0	certain lower level case	have	because of strict deadline for its exit strategy have transfer to court	0	0
1.0	certain lower level case	have	have transfer to court	0	0
1.0	certain level case	have	because of deadline have transfer	0	0
1.0	lower level case	have	have transfer	0	0
1.0	inmate	be	try	0	0
1.0	level case	have	because of strict deadline for its exit strategy have transfer	0	0
1.0	lower level case	have	because of deadline for its so-called exit strategy have transfer	0	0
1.0	certain lower level case	have	because of strict deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its exit strategy have transfer to court	0	0
1.0	39	be involve during	Bosnia 's war	NUMBER	LOCATION
1.0	certain lower level case	have	because of strict deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of strict deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of deadline for its exit strategy have transfer	0	0
1.0	they	be try under	criminal code	0	0
1.0	certain lower level case	have	because of deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of strict deadline for its exit strategy have transfer to national court	0	0
1.0	level case	have	because of strict deadline have transfer	0	0
1.0	level case	have	because of deadline for its exit strategy have transfer	0	0
1.0	certain level case	have	because of strict deadline have transfer to national court	0	0
1.0	they	be try under	previous criminal code claim	0	0
1.0	certain lower level case	have	because of deadline for its exit strategy have transfer to national court	0	0
1.0	certain level case	have	because of strict deadline for its so-called exit strategy have transfer to national court	0	0
1.0	certain level case	have	because of strict deadline for its exit strategy have transfer to court	0	0
1.0	Bosnia	have	state war crimes court	O	LOCATION
1.0	deadline	have	transferred	O	O
1.0	certain lower level case	have	because of deadline have transfer to court	0	0
1.0	lower level case	have	because of deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of deadline have transfer	0	0
1.0	certain level case	have	because of deadline for its so-called exit strategy have transfer	0	0
1.0	Kula prison	be in	bosnian capital	LOCATION	0
1.0	certain level case	have	because of strict deadline have transfer to court	0	0
1.0	lower level case	have	because of strict deadline have transfer	0	0
1.0	they	be seek	try under criminal code	0	0
1.0	certain lower level case	have	because of deadline have transfer to national court	0	0
1.0	certain level case	have	because of deadline for its so-called exit strategy have transfer to court	0	0
1.0	certain level case	have	have transfer to national court	0	0
1.0	certain level case	have	because of deadline have transfer to court	0	0
1.0	certain lower level case	have	because of deadline for its exit strategy have transfer	0	0
1.0	level case	have	because of strict deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	country	have	groups	O	O
1.0	they	be try under	previous code claim	0	0
1.0	certain level case	have	because of deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	strike	be	originally start	0	0
1.0	certain level case	have	because of strict deadline for its exit strategy have transfer	0	0
1.0	certain level case	have	because of deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of deadline for its so-called exit strategy have transfer to national court	0	0
1.0	Zenica	have	town	O	LOCATION
1.0	lower level case	have	because of deadline have transfer to court	0	0
1.0	level case	have	because of strict deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of strict deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of deadline have transfer to court	0	0
1.0	Bosnia	have	war crimes court	O	LOCATION
1.0	lower level case	have	because of strict deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of strict deadline for its so-called exit strategy have transfer to court	0	0
1.0	level case	have	because of deadline for its so-called exit strategy have transfer to court	0	0
1.0	level case	have	because of strict deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	they	be seek	try under previous criminal code	0	0
1.0	they	be try under	code	0	0
1.0	16 other detainee	be in	detention unit of Bosnia 's state war crime court	NUMBER	LOCATION
1.0	lower level case	have	because of deadline for its so-called exit strategy have transfer to court	0	0
1.0	certain lower level case	have	because of deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	they	be seek	try	0	0
1.0	certain lower level case	have	because of strict deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	have transfer to national court	0	0
1.0	certain level case	have	have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of deadline for its so-called exit strategy have transfer	0	0
1.0	certain level case	have	because of deadline for its exit strategy have transfer to court	0	0
1.0	those	want	they sentence annul	0	0
1.0	certain lower level case	have	because of deadline for its so-called exit strategy have transfer to national court	0	0
1.0	twenty-two inmates at the Kula prison in the Bosnian capital	be release on	bail	0	0
1.0	39	be	involve in war crime during Bosnia 's brutal war	NUMBER	LOCATION
1.0	certain lower level case	have	have transfer	0	0
1.0	level case	have	because of deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	have transfer to national court	0	0
1.0	level case	have	because of deadline for its so-called exit strategy have transfer to national court	0	0
1.0	strike	be	start	0	0
1.0	level case	have	have transfer to court	0	0
1.0	lower level case	have	because of deadline for its so-called exit strategy have transfer to national court	0	0
1.0	lower level case	have	because of deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of strict deadline have transfer to court	0	0
1.0	those convict	want	they sentence	0	0
