1.0	Buenos Aires team lanus	vice 's	argentine club	LOCATION	0
1.0	centre-back Paletta	have make	only one start for Liverpool sign from Atletico Banfield	PERSON	ORGANIZATION
1.0	centre-back Paletta	have make	one start sign from Atletico Banfield	PERSON	ORGANIZATION
1.0	club	have	vice	O	O
1.0	centre-back Paletta	have make	only one start for Liverpool	PERSON	NUMBER
1.0	centre-back Paletta	have make	one start sign	PERSON	NUMBER
1.0	centre-back Paletta	have make	one start for Liverpool sign	PERSON	NUMBER
1.0	Sebastian Leto	be	argentine	PERSON	0
1.0	Argentine midfielder Sebastian Leto	be	midfield	PERSON	0
1.0	Tuesday	have	League Cup defeat	O	DATE
1.0	Liverpool	sign midfielder sebastian leto from	Buenos Aires team lanus	ORGANIZATION	LOCATION
0.7621005768784205	Julio Baptista	runaround at_time	evening	PERSON	TIME
1.0	whose	have	Brazilian	MISC	O
1.0	Liverpool	sign midfielder sebastian leto from	club 's vice	ORGANIZATION	0
1.0	I	be england	vital	0	0
1.0	argentine club	have	vice	0	0
1.0	centre-back Paletta	have make	only one start sign	PERSON	NUMBER
1.0	centre-back Paletta	have make	only one start sign from Atletico Banfield	PERSON	ORGANIZATION
1.0	I	be fast england	vital	0	0
1.0	centre-back Paletta	have make	one start for Liverpool sign from Atletico Banfield in July 2006	PERSON	ORGANIZATION
1.0	centre-back Paletta	have make	only one start for Liverpool sign	PERSON	NUMBER
1.0	centre-back Paletta	have make	one start	PERSON	NUMBER
1.0	I	be fast and there england	vital	0	0
1.0	coaching staff	have	contingent	O	O
1.0	it	will	will difficult	0	0
1.0	Liverpool	sign midfielder sebastian leto from	argentine club 's vice	ORGANIZATION	0
1.0	Gabriel Paletta	be at	Anfield	PERSON	ORGANIZATION
1.0	Leto	will join	compatriot Gabriel Paletta at Anfield	PERSON	PERSON
1.0	Atletico Banfield	be in	July 2006	ORGANIZATION	DATE
1.0	centre-back Paletta	have make	only one start sign from Atletico Banfield in July 2006	PERSON	ORGANIZATION
1.0	Liverpool	sign	argentine midfielder Sebastian Leto	ORGANIZATION	PERSON
1.0	centre-back Paletta	have make	only one start	PERSON	NUMBER
1.0	centre-back Paletta	have make	one start for Liverpool sign from Atletico Banfield	PERSON	ORGANIZATION
1.0	centre-back Paletta	have make	only one start for Liverpool sign from Atletico Banfield in July 2006	PERSON	ORGANIZATION
1.0	Tuesday	in	humiliating 6-3 League Cup defeat	DATE	MISC
1.0	players	have	contingent	O	O
1.0	Liverpool	sign	midfielder Sebastian Leto	ORGANIZATION	PERSON
1.0	centre-back Paletta	have make	one start for Liverpool	PERSON	NUMBER
1.0	Leto	will join	compatriot Gabriel Paletta	PERSON	PERSON
1.0	centre-back Paletta	have make	one start sign from Atletico Banfield in July 2006	PERSON	ORGANIZATION
1.0	counter attack	be	vital	0	0
1.0	history	have	lot	O	O
