1.0	Milwaukee	of	104-92 loss	LOCATION	NUMBER
1.0	he	be diagnose with	grade one sprain of he ac joint	0	NUMBER
0.7478736898518306	point guard mo Williams	joint in	he shoulder	PERSON	0
1.0	point guard Mo Williams	suffer in	second quarter of Milwaukee 's 104-92 loss	PERSON	DATE
1.0	rebounds	have	career highs	O	O
1.0	point guard mo Williams	have	joint in he shoulder	PERSON	0
1.0	point guard Mo Williams	suffer in	injury late quarter	PERSON	DATE
1.0	point guard Mo Williams	suffer at	Denver	PERSON	LOCATION
1.0	AC joint	have	grade sprain	O	O
0.7478736898518306	point guard mo Williams	joint in	he left shoulder	PERSON	0
1.0	point guard mo Williams	have	sprained joint in he shoulder	PERSON	0
1.0	point guard mo Williams	have	joint in he left shoulder	PERSON	0
1.0	point guard mo Williams	have	joint	PERSON	0
1.0	point guard Mo Williams	have	AC joint	O	O
1.0	point guard Mo Williams	suffer in	injury late second quarter	PERSON	DATE
1.0	loss	have	quarter	DATE	O
1.0	point guard mo Williams	have	sprained joint	PERSON	0
1.0	point guard Mo Williams	suffer in	injury late quarter of Milwaukee 's 104-92 loss	PERSON	DATE
1.0	point guard Mo Williams	suffer in	second quarter	PERSON	DATE
1.0	point guard Mo Williams	be average	career high	PERSON	0
1.0	point guard Mo Williams	suffer in	quarter	PERSON	DATE
1.0	point guard Mo Williams	suffer in	late quarter	PERSON	DATE
1.0	point guard Mo Williams	suffer in	quarter of Milwaukee 's 104-92 loss	PERSON	DATE
1.0	he	be	evaluate	0	0
1.0	sprained joint	be in	he left shoulder	0	0
1.0	he	be	diagnose	0	0
1.0	point guard Mo Williams	be average	career high of 17.3 point	PERSON	NUMBER
1.0	points	have	career highs	O	O
1.0	point guard mo Williams	be	sideline	PERSON	0
1.0	he	be diagnose with	grade one sprain	0	NUMBER
1.0	6.2	have	career highs	O	NUMBER
1.0	he	be evaluate by	team doctor on Wednesday	0	DATE
1.0	point guard Mo Williams	be average career high in	33 National Basketball Association game	PERSON	ORGANIZATION
0.7478736898518306	point guard mo Williams	sprained joint in	he shoulder	PERSON	0
0.7478736898518306	point guard mo Williams	sprained joint in	he left shoulder	PERSON	0
1.0	point guard Mo Williams	suffer on	Monday	PERSON	DATE
1.0	point guard Mo Williams	suffer in	late second quarter	PERSON	DATE
1.0	point guard Mo Williams	suffer in	late second quarter of Milwaukee 's 104-92 loss	PERSON	DATE
1.0	he	be evaluate by	team doctor	0	0
1.0	228 game	be with	Milwaukee 's	NUMBER	LOCATION
1.0	point guard mo Williams	have	sprained joint in he left shoulder	PERSON	0
1.0	Milwaukee	have	loss	O	LOCATION
1.0	point guard Mo Williams	suffer in	late quarter of Milwaukee 's 104-92 loss	PERSON	DATE
1.0	point guard Mo Williams	have	shoulder	O	O
1.0	point guard Mo Williams	suffer in	injury late second quarter of Milwaukee 's 104-92 loss	PERSON	DATE
