0.6064227805935043	it strain	pinch	nerve	0	0
1.0	Wie	finish near	last year	PERSON	DATE
1.0	European Ryder Cup star Donald as Wie	claim	be play with coach David Leadbetter	0	PERSON
1.0	Wie 17	finish near	last last year	NUMBER	DATE
1.0	Wie 17	finish near	last year	NUMBER	DATE
1.0	other player	will in	will action	0	0
1.0	European Ryder Cup star Donald as Wie	claim	be play recently with coach David Leadbetter in Florida	0	LOCATION
1.0	Wie	finish near	last in she final three man 's appearance	PERSON	NUMBER
1.0	other world top 20 player	be in	action	NUMBER	0
1.0	Wie 17	finish near	last in she three man 's appearance	NUMBER	NUMBER
1.0	Wie	say on	issue	PERSON	0
1.0	Jim Furyk	be	Geoff Ogilvy	PERSON	PERSON
1.0	this week	at	Sony Open	DATE	ORGANIZATION
1.0	European Ryder Cup star Donald as Wie	be out of	badly form	0	0
1.0	Wie 's wrist	be bandage result at_time	Tuesday	PERSON	DATE
1.0	European Ryder Cup star Donald as Wie	be play basketball with	boy	0	0
1.0	this	will	will Wie 's appearance	0	PERSON
1.0	she	hit ball at_time	October	0	DATE
1.0	prominent player	speak on	condition of anonymity	0	0
1.0	she	hit	ball of cart path	0	0
1.0	I	go to	I	0	0
1.0	you	enter	event	0	0
1.0	people	make	money	0	0
1.0	you	try	build	0	0
1.0	Wie	have	wrist	O	PERSON
1.0	Wie 17	finish near	last in she final three man 's appearance	NUMBER	NUMBER
1.0	she	hit ball at_time	last October	0	DATE
1.0	143 other player	will in	where will also action	NUMBER	0
1.0	David Leadbetter	be in	Florida	PERSON	LOCATION
1.0	people	make	more money	0	0
1.0	men	have	players	O	O
1.0	European Ryder Cup star Donald as Wie	be out of	form at time	0	DATE
1.0	European Ryder Cup star Donald as Wie	claim	be play recently	0	DATE
1.0	European Ryder Cup star Donald as Wie	claim	be play	0	0
1.0	Wie	say on	other issue	PERSON	0
1.0	Wie 's right wrist	be bandage	result	PERSON	0
1.0	injury	have	result	O	O
1.0	Wie 17	finish near	last	NUMBER	DATE
1.0	bottom	be in	man 's tournament	0	0
1.0	Wie	finish near	last in she final three man 's appearance year	PERSON	NUMBER
1.0	my	have	form	O	O
1.0	Wie	finish near	last in she three man 's appearance last year	PERSON	NUMBER
1.0	she	express	determination	0	0
1.0	I	be tired	little	0	0
1.0	she	will begin in	fall	0	DATE
1.0	European Ryder Cup star Donald as Wie	be play	basketball	0	0
1.0	Luke Donald	be	PGA	PERSON	ORGANIZATION
1.0	Wie 17	finish near	last in she three man 's appearance last year	NUMBER	NUMBER
1.0	you	have	interests	O	O
1.0	European Ryder Cup star Donald as Wie	claim	be play with coach David Leadbetter in Florida	0	LOCATION
1.0	other player	will in	where will also action	0	0
1.0	one prominent player	speak on	condition	NUMBER	0
1.0	Wie	have	right wrist	PERSON	0
1.0	Wie 17	finish near	last in she final three man 's appearance year	NUMBER	NUMBER
1.0	cart path	have	ball	O	O
1.0	prominent player	speak on	condition	0	0
1.0	143 other player	will in	will action	NUMBER	0
1.0	European Ryder Cup star Donald as Wie	claim	be play recently with coach David Leadbetter	0	PERSON
1.0	this	will	will Wie 's fourth consecutive appearance	0	ORDINAL
1.0	anonymity	have	condition	O	O
1.0	this	will	will Wie 's consecutive appearance	0	PERSON
1.0	David Toms	be defend	champion	PERSON	0
1.0	Wie	finish in	Europe	PERSON	LOCATION
1.0	Wie 17	finish near	last in she final three man 's appearance last year	NUMBER	NUMBER
1.0	Wie	finish near	last in she final three man 's appearance last year	PERSON	NUMBER
1.0	I	be	tired	0	0
1.0	my	have	game	O	O
1.0	week	have	Sony Open	ORGANIZATION	DATE
1.0	Wie 's wrist	be bandage	result	PERSON	0
1.0	people	obviously take	a little	0	0
1.0	Wie 17	finish in	Europe	NUMBER	LOCATION
1.0	other player	will in	where will action	0	0
