1.0	New York 's main contract	crude for	delivery in February	LOCATION	DATE
1.0	oil price	fall for	first time since June 2005	0	ORDINAL
1.0	stockpile	offset	bigger-than-expected drop	0	0
1.0	stockpile	offset drop in	oil inventory	0	0
1.0	distillates	have	stockpiles	O	O
1.0	New York	's contract be	light sweet crude for delivery in February	LOCATION	DATE
1.0	their	have	levels	O	O
1.0	oil price	fall for	time since June 2005	0	DATE
1.0	New York	have	contract	O	LOCATION
1.0	19 month	be in	asian trade	DURATION	0
1.0	oil price	fall below	54 dollar	0	MONEY
1.0	distillate	of stockpile be	petrol	0	0
1.0	New York	have	main contract	LOCATION	0
1.0	oil price	fall for	time	0	0
1.0	Energy report	have	US Department	ORGANIZATION	O
1.0	stockpile	offset	drop	0	0
1.0	delivery	be in	February	0	DATE
1.0	oil price	fall for	first time	0	ORDINAL
1.0	oil price	hit	they level	0	0
1.0	demand	have drop substantially in	United States	0	LOCATION
1.0	demand	have drop in	United States	0	LOCATION
1.0	54.02 dollar	be in	late US trade	MONEY	LOCATION
1.0	stockpile	rise at_time	week	0	DATE
1.0	demand	have drop particularly in	United States	0	LOCATION
1.0	gasoline	have	stockpiles	O	O
1.0	stockpile	offset drop in	crude oil inventory	0	0
1.0	demand	have drop substantially particularly in	United States	0	LOCATION
1.0	oil price	hit	they lowest level	0	0
1.0	stockpile	rise at_time	last week	0	DATE
