1.0	embattled president	on	plan	0	0
1.0	Iraq	to	neighbor	LOCATION	0
1.0	Bush	reject under	heavy pressure from opposition democrat	PERSON	0
1.0	we strategy	work exactly as	terrorist	0	0
1.0	Senate Majority Leader Harry Reid	say in	statement	PERSON	0
1.0	Bush	pin	fading hope	PERSON	0
1.0	the Iraqi government	will lose	support	0	0
0.7417687184648319	fresh	retake	US Congress in part thanks	0	LOCATION
1.0	Iraq	have	handling	O	LOCATION
1.0	american defeat	be in	Iraq	0	LOCATION
1.0	US President George W. Bush	take	blame	LOCATION	0
1.0	president	have	plan	O	O
1.0	Baghdad	have	leaders	O	LOCATION
1.0	US President George W. Bush	point in	rare specific admission of failure	PERSON	0
1.0	we strategy	work as	terrorist	0	0
1.0	US President George W. Bush	warn	Baghdad 's leader	LOCATION	LOCATION
1.0	Congress	be	US	ORGANIZATION	LOCATION
1.0	rogue armed group	be	target	0	0
1.0	US President George W. Bush	look to	Iraq 's neighbor	PERSON	LOCATION
1.0	Bush	reject under	pressure from opposition democrat	PERSON	0
1.0	we	will disrupt	attack	0	0
0.9150898653282052	US President George W. Bush	televise speech in	prime-time	PERSON	0
1.0	Iraq	have	security forces	O	LOCATION
1.0	Bush	at	handling of Iraq	PERSON	LOCATION
1.0	US President George W. Bush	take blame for	strategic blunder	LOCATION	0
1.0	we new strategy	work exactly as	terrorist	0	0
1.0	US President George W. Bush	point in	admission	PERSON	0
0.9150898653282052	US President George W. Bush	speech in	prime-time	PERSON	0
1.0	Bush	instead pin hope in	Iraq	PERSON	LOCATION
1.0	the Iraqi government	will lose	support of iraqi people	0	0
1.0	US President George W. Bush	tell at_time	nearly four year	0	DURATION
1.0	Iraq	have	neighbors	O	LOCATION
1.0	Bush	instead pin	hope	PERSON	0
0.9150898653282052	US President George W. Bush	televise speech from	White House	PERSON	LOCATION
1.0	US President George W. Bush	point in	rare admission	PERSON	0
1.0	State Condoleezza Rice	have	US Secretary	O	PERSON
1.0	Nancy Pelosi	be	House	PERSON	ORGANIZATION
1.0	their	have	survival	O	O
0.6617117035432797	the Iraqi government	support of	iraqi people	0	0
1.0	Harry Reid	be majority leader of	Senate	PERSON	ORGANIZATION
1.0	televise speech	be in	prime-time	0	0
1.0	we strategy	even work as	terrorist	0	0
1.0	US President George W. Bush	speech from	White House	PERSON	LOCATION
1.0	Bush	pin hope in	Iraq	PERSON	LOCATION
1.0	Middle East	be on	Friday	LOCATION	DATE
1.0	US President George W. Bush	point in	specific admission of failure	PERSON	0
1.0	we new strategy	work as	terrorist	0	0
1.0	Bush	instead pin hope for	viable democracy	PERSON	0
1.0	US President George W. Bush	be neighbor of	Iraq	PERSON	LOCATION
1.0	situation	be in	Iraq	0	LOCATION
1.0	Bush	have	handling	O	PERSON
1.0	US president	take	aggressive step	LOCATION	0
