1.0	2.5 percent	be in	real term	PERCENT	0
1.0	german economy	expand by	2.5 percent in term	0	PERCENT
1.0	german economy	expand by	2.5 percent in real term	0	PERCENT
1.0	economy	expand by	2.5 percent in term	0	PERCENT
1.0	german economy	biggest in	12-country euro zone	0	0
1.0	german economy	expand in	2006	0	DATE
1.0	statistics office destatis	say on	Thursday	0	DATE
1.0	federal statistics office destatis	say on	Thursday	0	DATE
1.0	economy	expand in	2006	0	DATE
1.0	economy	expand by	2.5 percent in real term	0	PERCENT
1.0	german economy	expand by	2.5 percent	0	PERCENT
1.0	economy	expand by	2.5 percent	0	PERCENT
