0.7847967448210614	match	set in	three	0	NUMBER
1.0	world no.	blast	he way	0	0
1.0	game plan	have	bit	O	O
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match between seed Richard Gasquet	PERSON	PERSON
1.0	James Blake	will now play	6-2 6-4	PERSON	NUMBER
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final	PERSON	PERSON
0.41471335178395297	James Blake	will play	6-2 6-4	PERSON	NUMBER
1.0	Richard Gasquet	be between	sixth	PERSON	ORDINAL
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow	PERSON	PERSON
1.0	world no.	only stay under	sun for 49 minute	0	DURATION
1.0	Nikolay Davydenko	be	Russians	PERSON	MISC
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya	PERSON	PERSON
0.41471335178395297	James Blake	will now play	6-2 6-4	PERSON	NUMBER
1.0	world no.	stay under	hot sun for 49 minute	0	DURATION
1.0	James Blake	will play	6-2 6-4	PERSON	NUMBER
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match between seed Richard Gasquet	PERSON	PERSON
1.0	american world no.	only stay under	sun	0	0
1.0	it	be tough for	he	0	0
1.0	wins	have	couple	O	O
1.0	Melzer having not dropped a set in three matches	like way	Melzer having not dropped a set in three matches	0	0
1.0	James Blake	have	way	O	O
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match	PERSON	PERSON
0.05882325880839401	Melzer	work into	he best form	PERSON	0
1.0	James Blake	be on	Tour	PERSON	MISC
1.0	Open finalist Marcos Baghdatis	be	play	PERSON	0
1.0	Melzer	work	he way	PERSON	0
1.0	6-4 quarter-final	win over	russian Evgeny Korolev	NUMBER	PERSON
1.0	he	finish	2006	0	NUMBER
1.0	world no.	only stay under	hot sun for 49 minute	0	DURATION
1.0	american world no.	blast	he way	0	0
1.0	Marcos Baghdatis	be	australian Open	PERSON	MISC
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	american world no.	only stay under	hot sun for 49 minute	0	DURATION
1.0	world no.	stay under	sun for 49 minute	0	DURATION
1.0	Tomas Berdych	be	fifth	PERSON	ORDINAL
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night	PERSON	PERSON
1.0	he	climb	20 placing	0	NUMBER
1.0	his	have	form	O	O
1.0	week	have	Open	MISC	DATE
1.0	it	hit	winner	0	0
1.0	your	have	belt	O	O
1.0	it	be	tough	0	0
1.0	american world no.	stay under	sun for 49 minute	0	DURATION
1.0	american world no.	only stay under	sun for 49 minute	0	DURATION
1.0	next week	on	australian Open	DATE	MISC
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	6-4 quarter-final	win over	cousin of tennis glamour girl Anna Kournikova	NUMBER	PERSON
1.0	Jurgen Melzer	be	austrian	PERSON	0
1.0	my	have	game plan	O	O
1.0	american world no.	only stay under	hot sun	0	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	I	feel on	court	0	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	he	climb	20 ranking placing	0	NUMBER
1.0	his	have	groundstrokes	O	O
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match between seed Richard Gasquet	PERSON	PERSON
1.0	american world no.	stay under	hot sun for 49 minute	0	DURATION
1.0	american world no.	stay under	sun	0	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow	PERSON	PERSON
1.0	american world no.	stay under	hot sun	0	0
1.0	Evgeny Korolev	be over	russian	PERSON	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match	PERSON	PERSON
1.0	Carlos Moya	be in	night	PERSON	TIME
1.0	6-4 quarter-final	win over	cousin	NUMBER	0
1.0	James Blake	have	Sydney International title	O	O
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match between seed Richard Gasquet	PERSON	PERSON
1.0	world no.	only stay under	hot sun	0	0
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	6-4 quarter-final	win over	Evgeny Korolev	NUMBER	PERSON
1.0	ATP titles	have	one	NUMBER	O
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow	PERSON	PERSON
1.0	it	work with	spectacular success	0	0
1.0	course	have	nice	O	O
1.0	season	have	end	DATE	DATE
1.0	I	feel	great	0	0
1.0	Melzer	have	yet	PERSON	0
1.0	world no.	only stay under	sun	0	0
1.0	Tomas Berdych	be	6-2	PERSON	NUMBER
1.0	Melzer having not dropped a set in three matches	like	Melzer having not dropped a set in three matches	0	0
1.0	tennis glamour girl Anna Kournikova	have	cousin	O	PERSON
1.0	world no.	stay under	sun	0	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow	PERSON	PERSON
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match between seed Richard Gasquet	PERSON	PERSON
0.05882325880839401	Melzer	work into	he form	PERSON	0
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match between seed Richard Gasquet	PERSON	PERSON
1.0	Evgeny Korolev	cousin of	Anna Kournikova	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match between sixth seed Richard Gasquet	PERSON	PERSON
1.0	world no.	stay under	hot sun	0	0
1.0	australian Open finalist Marcos Baghdatis	be	play	PERSON	0
1.0	his	have	way	O	O
1.0	Tomas Berdych	be	czech	PERSON	0
1.0	my	have	tennis	O	O
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by match between seed Richard Gasquet	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by all-french match	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final	PERSON	PERSON
1.0	Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match	PERSON	PERSON
1.0	it	work with	success	0	0
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night quarter-final follow by match	PERSON	PERSON
1.0	Tomas Berdych	be	past	PERSON	DATE
1.0	his	have	game plan	O	O
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match	PERSON	PERSON
1.0	australian Open finalist Marcos Baghdatis	play	former world no. 1 Carlos Moya in night follow by all-french match between seed Richard Gasquet	PERSON	PERSON
