1.0	head	chief of	armed force	0	0
0.6097468261486962	Colonel Mengistu	control of	Derg	0	ORGANIZATION
0.8254530770192572	Mengistu	be confirm	president of people 's republic of Ethiopia	PERSON	ORGANIZATION
1.0	administration council	have	control	O	O
1.0	Colonel Mengistu	have	rise	O	O
1.0	forces	have	chief	O	O
1.0	Colonel Mengistu	head of	marxist regime on February 3 1977	PERSON	DATE
1.0	his	have	skin	O	O
1.0	officers	have	group	O	O
1.0	nationalist rebellion	be in	Eritrea	0	LOCATION
1.0	Colonel Mengistu	seriously threaten by	coordinate offensive by Tigre People 's Liberation front	PERSON	ORGANIZATION
1.0	he	also hold	rotate presidency	0	0
1.0	Colonel Mengistu	win	control of administration council	0	0
1.0	Zimbabwe	have	President Robert Mugabe	PERSON	LOCATION
0.8254530770192572	Mengistu	be confirm	president of people 's democratic republic	PERSON	ORGANIZATION
1.0	conflict	be with	Somalia	0	LOCATION
1.0	politician	tortured	other foe	0	0
0.8189539751066728	Mengistu	president of	people 's republic	PERSON	ORGANIZATION
1.0	Colonel Mengistu	threaten by	offensive	PERSON	0
1.0	Mengistu Haile Mariam	bear at	Wallayata	PERSON	LOCATION
0.8254530770192572	Mengistu	be officially confirm	president of people 's republic of Ethiopia	PERSON	ORGANIZATION
1.0	Zimbabwe	's mugabe be	old ally of Mengistu	LOCATION	LOCATION
0.6097468261486962	Colonel Mengistu	control of	military administration council	0	0
1.0	he	take part in	uprising against Emperor Haile Selassie	0	PERSON
1.0	he	become	delegate	0	0
0.8254530770192572	Mengistu	be confirm	president of people 's democratic republic of Ethiopia	PERSON	ORGANIZATION
1.0	Workers	have	Party	ORGANIZATION	ORGANIZATION
1.0	Ethiopia 's head	be	when assassinate	LOCATION	0
1.0	Mengistu	face with	nationalist rebellion in Eritrea	PERSON	LOCATION
1.0	Zimbabwe	have	Robert Mugabe	LOCATION	PERSON
1.0	Ethiopia 's head	be assassinate in	February 1977	LOCATION	DATE
1.0	Colonel Mengistu	crush	coup attempt	PERSON	0
