1.0	foreign correspondent ' Club	be of	Japan	ORGANIZATION	LOCATION
1.0	man	be	arrest	0	0
1.0	man	be	arrest in Afghanistan by Northern Alliance in November 2001	0	DATE
1.0	friend	have	wedding	O	O
1.0	prison base	be in	Cuba	0	LOCATION
1.0	friend	have	wedding	0	0
1.0	british former Guantanamo Bay inmate	abandon	Two British former Guantanamo Bay inmates	LOCATION	0
1.0	two man	be	arrest in Afghanistan by Northern Alliance along with they friend	NUMBER	ORGANIZATION
1.0	your	have	government	O	O
1.0	Two British former Guantanamo Bay inmates	allegedly suffer	abuse	0	0
1.0	Rasul	tell press conference at	foreign correspondent ' Club of Japan	PERSON	ORGANIZATION
1.0	two man	be arrest in	Afghanistan	NUMBER	LOCATION
1.0	they	be fly in	Feburary 2002	0	DATE
1.0	two man	be arrest by	Northern Alliance in November 2001 along	NUMBER	DATE
1.0	two man	be arrest by	Northern Alliance along with they friend	NUMBER	ORGANIZATION
1.0	man	be arrest by	Northern Alliance along with they friend	0	ORGANIZATION
1.0	government	do anything for	we	0	0
1.0	press conference	mark	five year since camp 's opening	0	DURATION
1.0	Rasul	tell press conference at	foreign correspondent ' Club	PERSON	ORGANIZATION
1.0	Shafiq Rasul , 29	need	go	0	0
1.0	they	be incarcerate for	two year	0	DURATION
1.0	man	be arrest by	Northern Alliance	0	ORGANIZATION
1.0	press conference	mark	five year	0	DURATION
1.0	two man	be	arrest in Afghanistan by Northern Alliance along	NUMBER	ORGANIZATION
1.0	they	be	fly to prison base in Cuba in Feburary 2002	0	DATE
1.0	cage	be in	notorious US detention camp	0	LOCATION
0.9777644273698493	most	be	charge	0	0
1.0	your	have	clothes	O	O
1.0	Two British former Guantanamo Bay inmates	suffer	repeat abuse	0	0
1.0	people	be in	similar situation	0	0
1.0	man	be	arrest in Afghanistan by Northern Alliance along	0	ORGANIZATION
1.0	they	be fly to	prison base in Cuba	0	LOCATION
1.0	his	have	legs	O	O
1.0	descent	have	nationals	O	O
1.0	two man	be	arrest in Afghanistan by Northern Alliance in November 2001	NUMBER	DATE
1.0	two man	be arrest by	Northern Alliance in November 2001	NUMBER	DATE
1.0	Rasul	tell	press conference	PERSON	0
1.0	two british former Guantanamo Bay inmate	abandon	Two British former Guantanamo Bay inmates	LOCATION	0
1.0	they	be	where incarcerate for two year	0	DURATION
1.0	Japan	have	Club	ORGANIZATION	LOCATION
1.0	man	be	arrest in Afghanistan by Northern Alliance in November 2001 along with they friend	0	DATE
0.9777644273698493	most	be	ever charge	0	0
1.0	two man	be arrest by	Northern Alliance along	NUMBER	ORGANIZATION
1.0	two man	be	arrest in Afghanistan by Northern Alliance in November 2001 along	NUMBER	DATE
1.0	they	be	fly	0	0
1.0	Two British former Guantanamo Bay inmates	have	government	O	O
1.0	their	have	friend	O	O
1.0	man	be arrest in	Afghanistan	0	LOCATION
1.0	your	have	screams	O	O
1.0	this	be	detention	0	0
1.0	camp	since	opening	0	0
1.0	man	be	arrest in Afghanistan by Northern Alliance in November 2001 along	0	DATE
1.0	man	be arrest by	Northern Alliance in November 2001 along	0	DATE
1.0	they	be	where incarcerate	0	0
1.0	man	be arrest by	Northern Alliance along	0	ORGANIZATION
1.0	his	have	hands	O	O
1.0	Correspondents	have	Club	ORGANIZATION	ORGANIZATION
1.0	two man	be arrest by	Northern Alliance	NUMBER	ORGANIZATION
1.0	this	be	illegal detention	0	0
1.0	Two British former Guantanamo Bay inmates	allegedly suffer	repeat abuse	0	0
1.0	man	be arrest by	Northern Alliance in November 2001	0	DATE
1.0	two man	be arrest by	Northern Alliance in November 2001 along with they friend	NUMBER	DATE
1.0	Cuba	have	tip	O	LOCATION
1.0	they	be	charge	0	0
1.0	camp	have	opening	O	O
1.0	two man	be	arrest in Afghanistan by Northern Alliance	NUMBER	ORGANIZATION
1.0	two british former Guantanamo Bay inmate	accuse	they government	LOCATION	0
1.0	two man	be	arrest	NUMBER	0
1.0	man	be	arrest in Afghanistan by Northern Alliance along with they friend	0	ORGANIZATION
1.0	rot	be in	cage	0	0
1.0	man	be	arrest in Afghanistan by Northern Alliance	0	ORGANIZATION
1.0	they	be	fly to prison base in Feburary 2002	0	DATE
1.0	british former Guantanamo Bay inmate	accuse	they government	LOCATION	0
1.0	Rasul	tell press conference at	correspondent ' Club	PERSON	ORGANIZATION
1.0	man	be arrest by	Northern Alliance in November 2001 along with they friend	0	DATE
1.0	people	have	lot	O	O
1.0	Rasul	tell press conference at	correspondent ' Club of Japan	PERSON	ORGANIZATION
1.0	Shafiq Rasul , 29	need	go to toilet	0	0
1.0	they	be fly to	prison base	0	0
1.0	detainees	have	repatriated	O	O
1.0	Shafiq Rasul , 29	go to	toilet	0	0
1.0	Northern Alliance	be in	November 2001	ORGANIZATION	DATE
1.0	two man	be	arrest in Afghanistan by Northern Alliance in November 2001 along with they friend	NUMBER	DATE
1.0	they	be	incarcerate	0	0
1.0	Two British former Guantanamo Bay inmates	suffer	abuse	0	0
