1.0	Indian 's economic engagement	be with	ASEAN country	MISC	ORGANIZATION
1.0	trade	make	globalisation	0	0
1.0	Indian	have	engagement	O	MISC
1.0	sensitive sector	have	protect	0	0
1.0	sector	be	protect	0	0
1.0	Rafidah	tell	reporter	PERSON	0
1.0	Commerce Minister Kamal Nath	tell reporter for	ASEAN	PERSON	ORGANIZATION
1.0	Nations	have	Association	ORGANIZATION	ORGANIZATION
1.0	us	have	all	O	O
1.0	indian Commerce Minister Kamal Nath	tell	reporter	PERSON	0
1.0	Commerce Minister Kamal Nath	tell reporter on	sideline of preparatory meeting	PERSON	0
1.0	90 percent	tea by	50 percent	PERCENT	PERCENT
1.0	India	would exclude from	deal	0	0
1.0	Commerce Minister Kamal Nath	tell	reporter	PERSON	0
1.0	its	have	sectors	O	O
1.0	indian Commerce Minister Kamal Nath	tell reporter on	sideline of preparatory meeting	PERSON	0
1.0	way	have	most	O	O
1.0	meetings	have	sidelines	O	O
1.0	India	cut	tariff on refined palm oil	LOCATION	0
1.0	India	cut	tariff on palm oil	LOCATION	0
1.0	Commerce Minister Kamal Nath	tell reporter for	annual ASEAN	PERSON	ORGANIZATION
1.0	issues	have	most	O	O
1.0	ASEAN	be for	annual	ORGANIZATION	SET
1.0	Commerce Minister Kamal Nath	tell reporter on	sideline of meeting	PERSON	0
1.0	indian Commerce Minister Kamal Nath	tell reporter on	sideline	PERSON	0
1.0	indian Commerce Minister Kamal Nath	tell reporter for	ASEAN	PERSON	ORGANIZATION
1.0	items	have	list	O	O
1.0	India	cut	tariff	LOCATION	0
1.0	India	cut tariff to	50 percent	LOCATION	PERCENT
1.0	India	cut tariff to	60 percent from 90 percent	LOCATION	PERCENT
1.0	India	cut tariff to	50 percent from 70 percent	LOCATION	PERCENT
1.0	sector	have	protect	0	0
1.0	global trade	make	globalisation	0	0
1.0	indian Commerce Minister Kamal Nath	tell reporter for	annual ASEAN	PERSON	ORGANIZATION
1.0	sensitive sector	be	protect	0	0
1.0	90 percent	oil to	50 percent	PERCENT	PERCENT
1.0	India	say at_time	Thursday	LOCATION	DATE
1.0	ASEAN exports	have	range	O	O
1.0	Kamal Nath	be	indian	PERSON	0
1.0	Commerce Minister Kamal Nath	tell reporter on	sideline	PERSON	0
1.0	Rafidah Aziz	be	malaysian	PERSON	0
1.0	indian Commerce Minister Kamal Nath	tell reporter on	sideline of meeting	PERSON	0
1.0	Indian	have	economic engagement with ASEAN country	MISC	ORGANIZATION
1.0	India	issue	list	LOCATION	0
1.0	India	cut tariff to	60 percent	LOCATION	PERCENT
1.0	announcement	mark	breakthrough	0	0
