1.0	Congo	have	Republic	LOCATION	LOCATION
1.0	45,000 square kilometer area	be in	Kasai region of central dr Congo	NUMBER	LOCATION
1.0	company	produce	six million carat of mainly industrial diamond per year	0	DURATION
1.0	gems	have	126	NUMBER	O
1.0	it	be	practically impossible	0	0
0.5506123190593859	stone	value at	3,900 euro	0	MONEY
1.0	The would-be thief	say	add	0	0
1.0	company	produce	six million carat of industrial diamond per year	0	DURATION
1.0	it	be practically impossible for	heist	0	0
1.0	diamonds	have	carats	O	O
1.0	The would-be thief	have	anus	O	O
1.0	it	be	practically impossible for heist have organize	0	0
1.0	company	produce	six million carat of industrial diamond	0	NUMBER
0.5506123190593859	stone	value at	5,000 dollar	0	MONEY
1.0	it	be	practically impossible for heist have organize without connivance	0	0
1.0	other	be in	selection center	0	0
1.0	it	be	impossible for heist have organize without connivance	0	0
1.0	A pilfering worker in a Congolese diamond mine	have	end	O	O
1.0	company	produce	six million carat of mainly diamond per year	0	DURATION
1.0	spokesman	say at_time	Thursday	0	DATE
1.0	mine spokesman	say at_time	Thursday	0	DATE
1.0	it	be	practically impossible for heist have organize without connivance of other	0	0
1.0	services	have	heads	O	O
1.0	it	be impossible for	heist	0	0
1.0	it	be	practically impossible for heist have organize without connivance of other in selection center	0	0
1.0	others	have	connivance	O	O
1.0	it	be	impossible	0	0
1.0	DR Congo	have	Kasai region	O	LOCATION
1.0	company	produce	six million carat of diamond	0	NUMBER
1.0	company	produce	six million carat	0	NUMBER
1.0	Miba mining company	have	Mike Mutombo	PERSON	O
1.0	company	produce	six million carat of mainly diamond	0	NUMBER
0.5506123190593859	small stone	value at	5,000 dollar	0	MONEY
1.0	Alternative Investment Market	be in	London	0	LOCATION
0.5506123190593859	small stone	value at	3,900 euro	0	MONEY
1.0	it	be	impossible for heist have organize without connivance of other	0	0
1.0	pilfering worker	be in	congolese diamond mine	0	0
1.0	Miba mining company	be in	democratic republic of Congo	ORGANIZATION	LOCATION
1.0	company	produce	six million carat of mainly industrial diamond	0	NUMBER
1.0	company	produce	six million carat of diamond per year	0	DURATION
1.0	it	be	impossible for heist have organize	0	0
1.0	it	be	impossible for heist have organize without connivance of other in selection center	0	0
