1.0	man	have	World Cup biathlon 4x7 .5 km relay here on Thursday ahead of Russia	0	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7 ahead of Russia	LOCATION	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7	LOCATION	MISC
1.0	Russia	have	World Cup biathlon 4x7	O	LOCATION
1.0	Germany	have	World Cup biathlon 4x7	O	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7 here ahead of Russia	LOCATION	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7 .5 km relay here ahead of Russia	LOCATION	LOCATION
1.0	men	have	World Cup biathlon 4x7	O	O
1.0	Norway	win	man 's World Cup biathlon 4x7 .5 km relay here on Thursday ahead of Russia	LOCATION	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7 here on Thursday ahead of Russia	LOCATION	LOCATION
1.0	Norway	win	man 's World Cup biathlon 4x7 of Russia	LOCATION	LOCATION
