1.0	November	rise for	three month	DATE	DURATION
1.0	output	be unchanged on	basis	0	0
1.0	official datum	show on	Thursday	0	DATE
1.0	analysts	have	expectations	O	O
1.0	datum	show on	Thursday	0	DATE
1.0	it	be	unlikely	0	0
1.0	boe	warn about	danger of inflation	0	0
1.0	manufacturing output	rise in	first rise	0	ORDINAL
1.0	policymakers	have	rate decision	O	O
1.0	boe	warn about	danger	0	0
1.0	The BoE	have	policy	O	O
1.0	Bank	raise	its interest rate	ORGANIZATION	0
1.0	industrial output	be	on basis unchanged at 0.8 percent	0	PERCENT
1.0	analyst ' consensus forecast	have for	have rise of 0.6 percent	0	PERCENT
1.0	it	be	however unlikely	0	0
1.0	output	be unchanged on	year-on-year basis	0	0
1.0	analyst ' consensus forecast	increase of	2.6 percent	0	PERCENT
1.0	rate	be keep	steady	0	0
1.0	Britain	of	economy	LOCATION	0
1.0	meeting	have	end	O	O
1.0	inflation	have	dangers	O	O
1.0	output	be	unchanged	0	0
1.0	industrial output	be	on year-on-year basis unchanged at 0.8 percent	0	PERCENT
1.0	boe	warn about	danger of british inflation	0	0
1.0	the Bank of England	have	interest rate	O	O
1.0	output	be	on basis unchanged at 0.8 percent	0	PERCENT
1.0	Office	say on	basis manufacturing output	ORGANIZATION	0
1.0	2.4 percent	be in	November	PERCENT	DATE
1.0	England	have	Bank	ORGANIZATION	ORGANIZATION
1.0	analyst ' consensus forecast	have for	have month-on-month rise	0	0
1.0	output	be	on year-on-year basis unchanged at 0.8 percent	0	PERCENT
1.0	economy	have	production accounts	O	O
1.0	british manufacturing output	rise by	0.3 percent	0	PERCENT
1.0	percent	have	rise	O	PERCENT
1.0	british manufacturing output	rise in	November	0	DATE
1.0	rate	be	keep	0	0
1.0	industrial output	be unchanged on	year-on-year basis	0	0
1.0	analyst ' consensus forecast	have for	have month-on-month rise of 0.6 percent	0	PERCENT
1.0	british manufacturing output	rise in	first rise for three month	0	ORDINAL
1.0	manufacturing output	rise in	rise for three month	0	DURATION
1.0	Britain	have	product	O	LOCATION
1.0	industrial output	be unchanged on	basis	0	0
1.0	Office	say on	12-month basis manufacturing output	ORGANIZATION	DURATION
1.0	Bank	raise	its key interest rate	ORGANIZATION	0
1.0	british manufacturing output	rise in	rise	0	0
1.0	product	have	percent	PERCENT	O
1.0	manufacturing output	rise by	0.3 percent	0	PERCENT
1.0	Analysts	have	consensus forecast	O	O
1.0	industrial output	be unchanged at	0.8 percent	0	PERCENT
1.0	industrial output	be	unchanged	0	0
1.0	output	be unchanged at	0.8 percent	0	PERCENT
1.0	manufacturing output	rise in	rise	0	0
1.0	percent	have	increase	O	PERCENT
1.0	Office for National Statistics	for office be	ons	ORGANIZATION	0
1.0	british manufacturing output	rise in	rise for three month	0	DURATION
1.0	boe	warn about	danger of rise british inflation	0	0
1.0	2007	have	decision	O	DATE
1.0	forecast	be	month-on-month	0	0
1.0	boe	warn about	danger of rise inflation	0	0
1.0	analyst ' consensus forecast	annual increase of	2.6 percent	0	PERCENT
1.0	Britain	have	economy	O	LOCATION
1.0	manufacturing output	rise in	first rise for three month	0	ORDINAL
1.0	manufacturing output	rise in	November	0	DATE
1.0	policymaker	make	they rate decision	0	0
1.0	analyst ' consensus forecast	have for	have rise	0	0
1.0	british manufacturing output	rise in	first rise	0	ORDINAL
1.0	The BoE	give	decision	0	0
0.1999112661637389	policymaker	take into	account	0	0
