1.0	Thursday	on ki-moon be	speak of opening of US detention camp in Cuba 's Guantanamo Bay	DATE	LOCATION
1.0	ban ki-moon	be chief of	UN	0	ORGANIZATION
1.0	ban ki-moon	speak on	fifth anniversary	0	ORDINAL
1.0	ban ki-moon	speak in	Guantanamo Bay	0	LOCATION
1.0	ban ki-moon	speak of	opening	0	0
1.0	Cuba	in	Guantanamo Bay	LOCATION	LOCATION
1.0	Cuba	have	Guantanamo Bay	LOCATION	LOCATION
1.0	facility	have	closure	O	O
1.0	ban ki-moon	be on	Thursday	0	DATE
1.0	US detention camp	have	opening	O	O
1.0	ban ki-moon	be	UN	0	ORGANIZATION
1.0	opening	have	speaking	O	O
