1.0	rights group	say at_time	Thursday	0	DATE
1.0	Kabir	have	safety	O	PERSON
1.0	minibus driver Imad al - Kabir to three months in prison	intervene in	fight	0	0
1.0	abuse	be film with	phone camera	0	0
1.0	minibus driver Imad al - Kabir to three months in prison	intervene in	January 2006	0	DATE
1.0	Imad al - Kabir	risk	New Human Rights Watch say	PERSON	ORGANIZATION
1.0	outcry	lead to	arrest of officer	0	0
1.0	Imad al-Kabir	have	safety	O	PERSON
1.0	Imad al - Kabir	be return to	same police station	PERSON	0
1.0	Imad al - Kabir	risk	return to same police station	PERSON	0
1.0	Amnesty International	have call on	government	ORGANIZATION	0
1.0	outcry	lead to	arrest	0	0
1.0	outcry	eventually lead to	arrest	0	0
1.0	Amnesty International	guarantee	safety	ORGANIZATION	0
1.0	Amnesty International	have also call on	egyptian government	ORGANIZATION	0
1.0	Imad al - Kabir	risk	return	PERSON	0
1.0	outcry	eventually lead to	arrest of officer involve	0	0
1.0	three month	be in	prison	DURATION	0
1.0	minibus driver Imad al - Kabir to three months in prison	intervene in	fight between officer	0	0
1.0	outcry	eventually lead to	arrest of officer	0	0
1.0	Imad al Kabir	be to	three month	PERSON	DURATION
1.0	minibus driver Imad al - Kabir to three months in prison	have	cousin	O	O
1.0	Amnesty International	have call on	egyptian government	ORGANIZATION	0
1.0	Imad al-Kabir 's safety	be in	prison	PERSON	0
1.0	Amnesty International	guarantee	safety of Kabir	ORGANIZATION	PERSON
1.0	Imad al-Kabir	for	safety in prison	PERSON	0
1.0	impunity	have	culture	O	O
1.0	Imad al - Kabir	now risk	return to same police station	PERSON	0
1.0	Imad al - Kabir	risk	New Human Rights Watch say in statement	PERSON	ORGANIZATION
1.0	Imad al - Kabir	be	return	PERSON	0
1.0	torture	have	allegations	O	O
1.0	officers	have	arrest	O	O
1.0	Amnesty International	have also call on	government	ORGANIZATION	0
1.0	video	appear in	November 2006	0	DATE
1.0	outcry	lead to	arrest of officer involve	0	0
1.0	mistreatment	have	allegations	O	O
1.0	Imad al - Kabir	now risk	return to police station	PERSON	0
1.0	Imad al - Kabir	risk	return to police station	PERSON	0
1.0	Our	have	organisation	O	O
1.0	Imad al - Kabir	now risk	New Human Rights Watch say	PERSON	ORGANIZATION
1.0	abuse	be film with	mobile phone camera	0	0
1.0	Imad al - Kabir	now risk	return	PERSON	0
1.0	Imad al - Kabir	now risk	New Human Rights Watch say in statement	PERSON	ORGANIZATION
1.0	Sarah Leah Whitson	director at	Human Rights Watch	PERSON	ORGANIZATION
1.0	a	have	torturers	O	O
1.0	their	have	crime	O	O
1.0	Kabir	have	video	O	PERSON
1.0	Amnesty International	guarantee safety while	while custody	ORGANIZATION	0
1.0	a	have	safety	O	O
1.0	Imad al - Kabir	be return to	police station	PERSON	0
1.0	abuse	be	film	0	0
