1.0	area	be in	Africa	0	LOCATION
1.0	intervention	pose	dangerous consequence to lawless country	0	0
1.0	weak government week	oust islamists from	stronghold	DATE	0
1.0	weak government	oust islamists from	they stronghold	0	DURATION
1.0	ethiopian intervention	pose	dangerous consequence	0	0
1.0	Issaias	post in	country 's information ministry website	PERSON	0
1.0	somali government last week	oust islamists from	they stronghold	DATE	DURATION
1.0	ethiopian intervention	pose	consequence to country	0	0
1.0	ethiopian intervention	pose	dangerous consequence to country	0	0
0.22607928045789227	Ethiopia	war	Eritrea	LOCATION	LOCATION
1.0	country	be	hit by flooding in decade	0	0
1.0	ethiopian military intervention	be in	Somalia	0	LOCATION
1.0	Ethiopia	fight war at	still odds over they border conflict	LOCATION	0
1.0	the day	have	airstrikes	O	O
1.0	government	oust islamists from	they stronghold	0	DURATION
1.0	military intervention	pose	dangerous consequence to lawless country	0	0
0.6122694418099897	community	take	serious measure	0	0
1.0	Ethiopia	fight war at	odds over they unresolved 1998-2000 border conflict	LOCATION	DURATION
1.0	Ethiopia	have justify	its intervention in Somalia	LOCATION	LOCATION
1.0	Issaias Afeworki	be on	Thursday	PERSON	DATE
1.0	ethiopian intervention	pose	consequence to lawless country	0	0
1.0	country	in	information ministry website	0	0
1.0	weak government week	oust islamists from	they stronghold	DATE	DURATION
1.0	Ethiopia	fight war in	Somalia	LOCATION	LOCATION
1.0	Ethiopia	have	intervention	O	O
1.0	Ethiopia	be with	US backing	LOCATION	LOCATION
0.6122694418099897	community	take	measure	0	0
1.0	Ethiopia	have justify	its military intervention	LOCATION	0
1.0	somali government week	oust islamists from	stronghold	DATE	0
1.0	Ethiopia	fight	Eritrea	LOCATION	LOCATION
1.0	ethiopian military intervention	pose	consequence	0	0
1.0	Al-Qaeda links	have	accused	O	O
1.0	Ethiopia	fight war at	odds over they border conflict	LOCATION	0
1.0	intervention	pose	consequence to lawless country	0	0
1.0	weak somali government week	oust islamists from	they stronghold	DATE	DURATION
1.0	Issaias Afeworki	be	eritrean	PERSON	0
1.0	military intervention	pose	consequence to country	0	0
0.5240327353091624	Asmara	previous denial of	such intention	LOCATION	0
1.0	military intervention	pose	consequence to lawless country	0	0
1.0	whom	have	some	O	O
1.0	Asmara	renew	denial of such intention	LOCATION	0
1.0	weak somali government last week	oust islamists from	they stronghold	DATE	DURATION
1.0	country	be	hit by worst flooding in decade	0	0
0.6122694418099897	international community	take	measure	0	0
1.0	government week	oust islamists from	stronghold	DATE	0
1.0	its airstrike	be in	Somalia	0	LOCATION
1.0	somali government last week	oust islamists from	stronghold	DATE	0
1.0	ethiopian intervention	pose	dangerous consequence to lawless country	0	0
1.0	country	have	information ministry website	O	O
1.0	ethiopian intervention	pose	consequence	0	0
1.0	country	be hit by	worst flooding	0	0
