1.0	all	prefer to	former England captain	0	LOCATION
1.0	third	qualify for	last 16 Champions League	ORDINAL	DATE
1.0	the cold by the Real coach Fabio Capello	occupy spot in	centre	PERSON	0
1.0	David Beckham	have	presentation	O	O
1.0	David Beckham	be use under	previous coach	PERSON	0
1.0	David Beckham	be	also low down pecking order with club captain Raul Gonzalez	PERSON	PERSON
1.0	left-sided player	choose ahead at	Betis	0	ORGANIZATION
1.0	the cold by the Real coach Fabio Capello	go to	Tom Cruise 's dinner near Rome	0	PERSON
1.0	departure announcement	have	timing	O	O
1.0	a left-sided player	have	ahead	O	O
1.0	tear	be	likely	0	0
1.0	David Beckham	have	adventure	O	O
1.0	hopes	have	memories	O	O
0.8023078813648064	they	serious bid for	french Franck Ribery	0	PERSON
1.0	Germany	represent	swansong	LOCATION	0
1.0	it	be	however likely	0	0
1.0	player	choose ahead at	Betis	0	ORGANIZATION
1.0	club	have	permission	O	O
1.0	Fernando Gago	be in	argentine	PERSON	0
1.0	left-sided player	choose ahead at	real Betis	0	ORGANIZATION
1.0	it	be	likely	0	0
1.0	they	launch	bid	0	0
0.535908533618052	Germany	swansong of	he international career	LOCATION	0
1.0	it	be	clear	0	0
1.0	left-sided player	choose at	real Betis	0	ORGANIZATION
1.0	David Beckham	be also low with	club captain Raul Gonzalez	PERSON	PERSON
1.0	a left-sided player	have	recovery	O	O
1.0	David Beckham	be low with	club captain Raul Gonzalez	PERSON	PERSON
1.0	Beckham	have	departure	O	PERSON
1.0	David Beckham	be also low down	pecking order	PERSON	0
1.0	David Beckham	be sometimes use like	Wanderley Luxemburgo	PERSON	PERSON
1.0	third	qualify for	last 16 of Champions League	ORDINAL	DATE
1.0	David Beckham	be	where sometimes use under coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	David Beckham	continue for	rest	0	0
1.0	David Beckham	have at	start of he spanish adventure	0	0
1.0	italian	use	the cold by the Real coach Fabio Capello	0	0
0.8023078813648064	they	serious bid for	international Franck Ribery	0	PERSON
1.0	they	launch	bid for french international Franck Ribery	0	PERSON
1.0	David Beckham	be	huge	PERSON	0
1.0	David Beckham	be	where use under previous coach like Wanderley Luxemburgo	PERSON	PERSON
0.8023078813648064	they	bid for	french international Franck Ribery	0	PERSON
1.0	season	have	end	O	O
1.0	David Beckham	be	where sometimes use like Wanderley Luxemburgo	PERSON	PERSON
1.0	David Beckham	be	sometimes use under previous coach like Wanderley Luxemburgo	PERSON	PERSON
0.8023078813648064	they	serious bid for	Franck Ribery	0	PERSON
1.0	player	choose for	Thursday Cup match	0	MISC
1.0	David Beckham	be	low down pecking order on wing with club captain Raul Gonzalez	PERSON	PERSON
1.0	the club he coached to the 1997 La Liga title in his previous stint in Madrid	have	supporters	O	O
1.0	the cold by the Real coach Fabio Capello	go to	Tom Cruise 's dinner	0	PERSON
1.0	summer	have	World Cup	MISC	DATE
0.8144603542398691	many pundit	year at	real Madrid	0	ORGANIZATION
1.0	the cold by the Real coach Fabio Capello	coach to	1997 La Liga title	0	DATE
1.0	the cold by the Real coach Fabio Capello	occupy	spot	PERSON	0
1.0	field	have	centre	O	O
1.0	club	of	top earner	0	DURATION
1.0	club	have	earners	O	O
1.0	David Beckham	have	support	O	O
1.0	the cold by the Real coach Fabio Capello	stamp	he mark	0	0
1.0	the cold by the Real coach Fabio Capello	have	stint	O	O
1.0	player	choose ahead for	Thursday Cup match	0	MISC
1.0	Tom Cruise	have	dinner	O	PERSON
1.0	Beckham 's commitment	be in	recent month	PERSON	DURATION
1.0	sport	conduct	internet poll	0	0
1.0	Beckham	have	afternoon	PERSON	0
0.8144603542398691	pundit	year at	real Madrid	0	ORGANIZATION
1.0	Beckham 's departure	open	door for real	PERSON	DURATION
1.0	they	also launch	bid for french international Franck Ribery	0	PERSON
1.0	the cold by the Real coach Fabio Capello	coach to	1997 La Liga title in he previous stint	0	DATE
1.0	David Beckham	be	where sometimes use under previous coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	adventure	have	start	O	O
0.9740230898557647	midfielder	year-old	Los Angeles galaxy-bound 31	0	NUMBER
1.0	Thursday	have	Cup match	O	DATE
0.535908533618052	Germany	swansong of	he career	LOCATION	0
1.0	David Beckham	be	also low down pecking order on right wing with club captain Raul Gonzalez	PERSON	PERSON
1.0	Champions League	have	16	DATE	MISC
1.0	the cold by the Real coach Fabio Capello	occupy spot in	centre of field	PERSON	0
1.0	the cold by the Real coach Fabio Capello	go to	Tom Cruise 's pre-wedding dinner	0	PERSON
1.0	David Beckham	be	where use under coach	PERSON	0
1.0	player	choose ahead at	real Betis	0	ORGANIZATION
1.0	David Beckham	be	use	PERSON	0
1.0	Beckham	be in	statement	PERSON	0
1.0	David Beckham	leave without	one	0	NUMBER
1.0	Real president Ramon Calderon	hear	Pedja	0	PERSON
1.0	they	also launch	serious bid for Franck Ribery	0	PERSON
1.0	last summer	at	World Cup	DATE	MISC
1.0	they	launch	bid for french Franck Ribery	0	PERSON
1.0	Real	have	director	O	O
1.0	Thursday	for	spanish Cup match	DATE	MISC
1.0	Beckham 's departure	be in	June	PERSON	DATE
1.0	the cold by the Real coach Fabio Capello	go to	Tom Cruise 's pre-wedding dinner near Rome	0	PERSON
1.0	respondants	have	cent	O	O
1.0	David Beckham	leave despite	real	0	0
1.0	David Beckham	be	disappointment	PERSON	0
1.0	they	launch	serious bid for Franck Ribery	0	PERSON
1.0	David Beckham	still pledge	he support	PERSON	0
1.0	David Beckham	be	where sometimes use	PERSON	0
1.0	italian	use sparingly	the cold by the Real coach Fabio Capello	0	0
1.0	sport	conduct internet poll in	December	0	DATE
1.0	David Beckham	have	life	O	O
1.0	player	choose ahead for	Thursday spanish Cup match	0	MISC
1.0	many pundits	have	wage bill	O	O
1.0	the cold by the Real coach Fabio Capello	have already bring in	argentine playmaker Fernando Gago	PERSON	PERSON
1.0	they	also launch	serious bid	0	0
1.0	Beckham	have	commitment	O	PERSON
1.0	Beckham 's departure	trim	they wage bill	PERSON	DURATION
1.0	the cold by the Real coach Fabio Capello	be believe	have furious with he showbiz pal	PERSON	0
1.0	David Beckham	be	sometimes use	PERSON	0
1.0	italian	only use	the cold by the Real coach Fabio Capello	0	0
1.0	life	have	longest	O	O
1.0	David Beckham	be low down	pecking order on right wing	PERSON	0
1.0	they	launch	serious bid for french international Franck Ribery	0	PERSON
1.0	the cold by the Real coach Fabio Capello	coach to	1997 La Liga title in he stint	0	DATE
1.0	they	also launch	serious bid for french Franck Ribery	0	PERSON
1.0	Beckham	have	afternoons	TIME	PERSON
1.0	David Beckham	be	sometimes use under coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	it	be	increasingly likely	0	0
1.0	the cold by the Real coach Fabio Capello	reach	figure	0	0
1.0	season	have	rest	O	O
1.0	they	launch	bid for Franck Ribery	0	PERSON
1.0	David Beckham	be	where sometimes use under previous coach	PERSON	0
1.0	Beckham	about	commitment in recent month	PERSON	DURATION
1.0	real president Ramon Calderon	say in	late December	PERSON	DATE
1.0	David Beckham	have at	start of he adventure	0	0
1.0	David Beckham	be	where use	PERSON	0
1.0	the cold by the Real coach Fabio Capello	might	might lucky	0	0
0.9740230898557647	midfielder	year-old	Los Angeles	0	LOCATION
1.0	italian	only use sparingly	the cold by the Real coach Fabio Capello	0	0
1.0	player	choose at	real Betis	0	ORGANIZATION
1.0	career	have	swansong	O	O
1.0	David Beckham	be use under	coach	PERSON	0
1.0	David Beckham	win	trophy	0	0
1.0	they	launch	serious bid for french Franck Ribery	0	PERSON
1.0	David Beckham	be	also low	PERSON	0
1.0	earners	have	one	NUMBER	O
1.0	whom	have	many	O	O
1.0	president Ramon Calderon	say in	late December	PERSON	DATE
1.0	Beckham 's departure	open	door	PERSON	0
1.0	they	launch	serious bid	0	0
0.8023078813648064	they	serious bid for	french international Franck Ribery	0	PERSON
1.0	David Beckham	be	where use under previous coach	PERSON	0
1.0	they	also launch	bid for french Franck Ribery	0	PERSON
1.0	David Beckham	be	use under coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	they	launch	bid for international Franck Ribery	0	PERSON
1.0	he arrival	be in	2003	0	DATE
1.0	player	choose for	Thursday spanish Cup match	0	MISC
1.0	David Beckham	have	career	O	O
1.0	David Beckham	be	where use like Wanderley Luxemburgo	PERSON	PERSON
1.0	left-sided player	choose ahead for	Thursday spanish Cup match	0	MISC
1.0	David Beckham	leave	empty-handed	0	0
1.0	the cold by the Real coach Fabio Capello	have doubt about	Beckham 's commitment	PERSON	PERSON
1.0	it	be	however clear	0	0
1.0	David Beckham	go with	club 's permission	PERSON	0
1.0	they	also launch	serious bid for international Franck Ribery	0	PERSON
1.0	David Beckham	be also low down	pecking order on wing	PERSON	0
1.0	the cold by the Real coach Fabio Capello	have doubt about	Beckham 's commitment in month	PERSON	PERSON
1.0	a left-sided player	have	player	O	O
1.0	the cold by the Real coach Fabio Capello	have bring in	argentine playmaker Fernando Gago	PERSON	PERSON
1.0	David Beckham	be	low down pecking order on right wing with club captain Raul Gonzalez	PERSON	PERSON
0.25331100359622694	Real president Ramon Calderon	hear	Pedja say	0	PERSON
1.0	David Beckham	be	low down pecking order with club captain Raul Gonzalez	PERSON	PERSON
1.0	few tear	be shed at	Beckham 's departure in June	0	PERSON
1.0	David Beckham	pledge	he support	PERSON	0
1.0	they	also launch	bid for Franck Ribery	0	PERSON
1.0	David Beckham	insist on	Thursday	PERSON	DATE
1.0	Germany	represent	swansong of he international career	LOCATION	0
1.0	spanish sport	conduct internet poll in	late December	0	DATE
1.0	the cold by the Real coach Fabio Capello	have doubt about	Beckham 's commitment in recent month	PERSON	DURATION
1.0	1997 La Liga title	be in	he previous stint	DATE	0
1.0	the cold by the Real coach Fabio Capello	reach	double figure	0	0
0.8023078813648064	they	bid for	french Franck Ribery	0	PERSON
1.0	left-sided player	choose at	Betis	0	ORGANIZATION
1.0	David Beckham	be	where use under coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	David Beckham	have	departure announcement	O	O
1.0	David Beckham	be	also low down pecking order on wing with club captain Raul Gonzalez	PERSON	PERSON
1.0	David Beckham	be sometimes use under	coach	PERSON	0
1.0	David Beckham	have	arrival	O	O
1.0	spanish sport	conduct internet poll in	December	0	DATE
1.0	the cold by the Real coach Fabio Capello	have bring in	playmaker Fernando Gago	PERSON	PERSON
1.0	Real	have	fans	O	O
1.0	David Beckham	be	use under previous coach like Wanderley Luxemburgo	PERSON	PERSON
1.0	David Beckham	give	100 percent	0	PERCENT
1.0	left-sided player	choose ahead for	Thursday Cup match	0	MISC
1.0	tear	be shed at	Beckham 's departure in June	0	PERSON
1.0	tear	be	shed	0	0
1.0	club	with	permission	0	0
1.0	Real	by	notoriously fickle fan	0	0
1.0	few tear	be	shed	0	0
1.0	few tear	be	likely	0	0
1.0	it	be	however increasingly likely	0	0
1.0	David Beckham	be	low	PERSON	0
1.0	Marca	be	daily	ORGANIZATION	SET
1.0	David Beckham	have	words	O	O
1.0	David Beckham	go to	Italy	PERSON	LOCATION
1.0	David Beckham	have at	start	0	0
1.0	left-sided player	choose for	Thursday spanish Cup match	0	MISC
1.0	the cold by the Real coach Fabio Capello	have	mark	O	O
1.0	they	also launch	serious bid for french international Franck Ribery	0	PERSON
1.0	players	have	one	NUMBER	O
1.0	the cold by the Real coach Fabio Capello	reach figure by	end of season	0	0
1.0	David Beckham	be	huge disappointment	PERSON	0
1.0	they	also launch	bid for international Franck Ribery	0	PERSON
1.0	Germany	represent	swansong of he career	LOCATION	0
0.9740230898557647	midfielder	year-old	Los Angeles galaxy-bound	0	LOCATION
1.0	Beckham	have	departure in June	PERSON	DURATION
1.0	David Beckham	be sometimes use under	previous coach	PERSON	0
1.0	sport	conduct internet poll in	late December	0	DATE
1.0	player	choose at	Betis	0	ORGANIZATION
1.0	the cold by the Real coach Fabio Capello	have	doubt	PERSON	0
1.0	David Beckham	be	where sometimes use under coach	PERSON	0
1.0	David Beckham	have	coach mates	O	O
1.0	a left-sided player	have	showbiz pals	O	O
1.0	they	launch	serious bid for international Franck Ribery	0	PERSON
1.0	they	also launch	bid	0	0
1.0	Tom Cruise	to	pre-wedding dinner near Rome	PERSON	LOCATION
1.0	the cold by the Real coach Fabio Capello	be believe	have furious	PERSON	0
1.0	spanish sport	conduct	internet poll	0	0
1.0	David Beckham	be	overpay	0	0
1.0	David Beckham	be also low down	pecking order on right wing	PERSON	0
1.0	left-sided player	choose for	Thursday Cup match	0	MISC
0.8023078813648064	they	bid for	Franck Ribery	0	PERSON
