1.0	next week	of	australian Open	DATE	MISC
1.0	Friday	have	match	DATE	0
1.0	it	will 's	will Moya of two match	0	DURATION
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International final	PERSON	ORDINAL
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International	PERSON	0
1.0	Veteran Spaniard Carlos Moya	lead	Blake 5-3	PERSON	NUMBER
1.0	Blake	be over	the next couple of day	PERSON	DURATION
1.0	Fernando Verdasco	over	Marcos Baghdatis	PERSON	PERSON
1.0	tournament	be in	Sydney	0	LOCATION
1.0	semi-final	have	out pulled	O	O
1.0	it	will 's	will Moya of two match against Blake over couple of day	0	DURATION
1.0	Austrian Jurgen Melzer	have	semi-final	O	O
0.7892451448276323	sprain	ankle against	australian Lleyton Hewitt	0	PERSON
1.0	Melzer	be	seventh player	PERSON	ORDINAL
1.0	30-year-old spaniard	be	Friday	DURATION	DATE
1.0	Moya	have	resurgence	PERSON	0
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International final	PERSON	0
1.0	Melzer	be	seventh player withdraw	PERSON	ORDINAL
1.0	Open	have	round	O	MISC
1.0	champion James Blake	be in	career match	PERSON	0
0.7584870206692607	Sydney tournament	have reach	final	LOCATION	0
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International final with three-set victory	PERSON	0
1.0	Moya 's resurgence	begin with	he fight three-set win	PERSON	0
1.0	champion	ride into	final	0	0
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International final with victory	PERSON	ORDINAL
1.0	Moya	be 's	first	PERSON	ORDINAL
1.0	here Friday	have	hours	DATE	DATE
1.0	Moya	have	resurgence	O	PERSON
1.0	Moya 's resurgence	begin with	he three-set win	PERSON	0
1.0	it	will 's	will Moya first of two match against Blake over next couple	0	ORDINAL
1.0	it	will 's	will Moya	0	PERSON
1.0	it	will 's	will Moya of two match against Blake over next couple	0	DURATION
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International final with strong victory	PERSON	0
1.0	Melzer	be	player	PERSON	0
1.0	Austrian Jurgen Melzer	have	condition	O	O
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International	PERSON	ORDINAL
1.0	Moya 's resurgence	begin in	quarter-final	PERSON	0
1.0	Veteran Spaniard Carlos Moya	lead	Blake 5-3 in career match	PERSON	NUMBER
0.7642703758371585	Veteran Spaniard Carlos Moya	rank	44	PERSON	NUMBER
1.0	spaniard	be	Friday	0	DATE
1.0	year	have	Open finalist Marcos Baghdatis	PERSON	DATE
1.0	Melzer	be	seventh player withdraw to calf injury	PERSON	ORDINAL
1.0	it	will 's	will Moya first of two match against Blake over couple	0	ORDINAL
1.0	it	will 's	will Moya first of two match against Blake over couple of day	0	ORDINAL
1.0	champion	free ride into	final	0	0
1.0	it	will 's	will Moya first	0	ORDINAL
0.4479566679586975	Saturday	final with	seed	DATE	0
1.0	Moya 's resurgence	begin with	he win	PERSON	0
1.0	Friday	have	match	O	DATE
1.0	Frenchman Richard Gasquet	have	forehand	O	O
1.0	week	have	Open	MISC	DATE
1.0	Veteran Spaniard Carlos Moya	have	wins	O	O
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International final with three-set victory	PERSON	ORDINAL
1.0	it	be	bittersweet	0	0
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International with victory	PERSON	0
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International with three-set victory	PERSON	0
0.4479566679586975	Saturday	final with	third seed	DATE	ORDINAL
1.0	30-year-old spaniard	be	Friday draw	DURATION	DATE
1.0	Veteran Spaniard Carlos Moya	have yet	win	PERSON	0
1.0	Moya 's resurgence	begin in	quarter-final here Thursday	PERSON	DATE
1.0	compatriot Fernando Verdasco	have	Open finalist Marcos Baghdatis	PERSON	PERSON
1.0	it	will 's	will Moya of two match against Blake	0	DURATION
1.0	Jurgen Melzer	be	austrian	PERSON	0
1.0	they meeting	open in	four set	0	NUMBER
1.0	Frenchman Richard Gasquet	have	quarter-final	O	O
1.0	Melzer	be	player withdraw	PERSON	0
1.0	he third Sydney International final	be with	strong three-set victory	ORDINAL	0
1.0	compatriot Fernando Verdasco and last year 's Australian Open finalist Marcos Baghdatis	have	meeting	O	O
1.0	Moya 's resurgence	begin in	quarter-final Thursday	PERSON	DATE
0.4479566679586975	Saturday	final with	american seed	DATE	0
1.0	6-2	win over	Frenchman Richard Gasquet	NUMBER	PERSON
1.0	Carlos Moya	be	Spaniard	PERSON	MISC
1.0	6-2	win over	Gasquet	NUMBER	PERSON
1.0	it	will 's	will Moya first of two match against Blake	0	ORDINAL
1.0	Marcos Baghdatis	be over	australian Open	PERSON	MISC
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International with three-set victory	PERSON	ORDINAL
1.0	champion James Blake	be bummed for	Austrian Jurgen Melzer	0	PERSON
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International with strong victory	PERSON	0
1.0	year	have	US	MISC	DATE
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International final with strong victory	PERSON	ORDINAL
0.7892451448276323	sprain	ankle against	Lleyton Hewitt	0	PERSON
1.0	days	have	couple	DURATION	DURATION
1.0	champion James Blake	be	bummed	0	0
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International with strong victory	PERSON	ORDINAL
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International final with strong three-set victory	PERSON	ORDINAL
1.0	they last meeting	open in	four set	DATE	NUMBER
1.0	Lleyton Hewitt	be	past	PERSON	DATE
1.0	Moya 's resurgence	begin over	compatriot Fernando Verdasco 's australian Open finalist Marcos Baghdatis	PERSON	MISC
0.4479566679586975	Saturday	final with	american third seed	DATE	ORDINAL
1.0	Gasquet	serve	six time	PERSON	NUMBER
1.0	Veteran Spaniard Carlos Moya	have	win	PERSON	0
1.0	spaniard	be	Friday draw	0	DATE
1.0	it	will 's	will Moya of two match against Blake over couple	0	DURATION
1.0	they last meeting	be in	third round at last year 's US	DATE	MISC
1.0	Richard Gasquet	be over	Frenchman	PERSON	MISC
1.0	Moya 's resurgence	begin over	compatriot Fernando Verdasco 's Open finalist Marcos Baghdatis	PERSON	MISC
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International final with victory	PERSON	0
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International with strong three-set victory	PERSON	ORDINAL
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International final with strong three-set victory	PERSON	0
1.0	Melzer	be	player withdraw to calf injury	PERSON	0
1.0	Veteran Spaniard Carlos Moya	retire with	a	0	0
1.0	Moya 's resurgence	begin with	he fight win	PERSON	0
1.0	Veteran Spaniard Carlos Moya	reach	he Sydney International with strong three-set victory	PERSON	0
1.0	it	will 's	will Moya first of two match	0	ORDINAL
1.0	Gasquet	control	Friday 's match	PERSON	DATE
1.0	last year	at	US open	DATE	MISC
1.0	matches	have	Moya	PERSON	O
1.0	Richard Gasquet	be  at_time	Friday	PERSON	DATE
1.0	Veteran Spaniard Carlos Moya	have	Sydney International	O	O
1.0	Veteran Spaniard Carlos Moya	reach	he third Sydney International with victory	PERSON	ORDINAL
1.0	Lleyton Hewitt	be against	australian	PERSON	0
