1.0	Thursday	be in	Washington	DATE	LOCATION
1.0	US forces	have	action	O	O
1.0	George W. Bush	be president of	US	PERSON	LOCATION
1.0	raiding	have	US troops	O	O
1.0	US defence official	say on	Thursday in Washington	LOCATION	LOCATION
1.0	Tehran	accuse	US troops of raiding	LOCATION	LOCATION
1.0	kurdish government	demand	release of prisoner take	0	0
1.0	US military	say at_time	Friday	LOCATION	DATE
1.0	Tehran	accuse	government of Kurdistan	LOCATION	LOCATION
1.0	Tehran	accuse	regional government	LOCATION	0
1.0	kurdish government	condemn	raid	0	0
1.0	detainees	have	nationality	O	O
0.6480500128791089	US troops	raid in	capital of iraqi Kurdistan	LOCATION	LOCATION
1.0	detainee	be	release	0	0
1.0	search operation	be in	Arbil	0	LOCATION
0.6480500128791089	US troops	raid in	Arbil	LOCATION	LOCATION
1.0	Tehran	accuse	regional government of Kurdistan	LOCATION	LOCATION
1.0	kurdish government	demand	immediate release of prisoner take	0	0
1.0	US policy	have	supporter	O	O
1.0	government	condemn	raid	0	0
1.0	raid	be in	Arbil	0	LOCATION
1.0	White House	comment on	operation	ORGANIZATION	0
1.0	White House	comment specifically on	operation	ORGANIZATION	0
1.0	regional government	demand	release of prisoner take	0	0
1.0	statement	say	one day	0	DURATION
1.0	northern Iraqi Kurdistan	have	government	O	LOCATION
1.0	people	have	One	NUMBER	O
1.0	Tehran	accuse	government	LOCATION	0
1.0	US defence official	say on	Thursday	LOCATION	DATE
1.0	White House	decline	comment on operation	ORGANIZATION	0
1.0	Tehran	demand	government of Kurdistan	LOCATION	LOCATION
1.0	action	have	condemnation	O	O
1.0	a Pentagon spokesman	order	21,500 more troops	0	NUMBER
1.0	White House	decline	comment specifically	ORGANIZATION	0
1.0	prisoners	have	release	O	O
1.0	kurdish regional government	demand	immediate release of prisoner take	0	0
1.0	Arbil	capital of	Kurdistan	LOCATION	LOCATION
1.0	Tehran	demand	regional government of Kurdistan	LOCATION	LOCATION
1.0	government	demand	immediate release of prisoner take	0	0
1.0	kurdish regional government	be in	Iraq	0	LOCATION
1.0	government	demand	release of prisoner take	0	0
1.0	US force	raid	consulate	LOCATION	0
1.0	staunch supporter	be in	region	0	0
1.0	regional government	condemn	raid	0	0
1.0	a Pentagon spokesman	order	21,500 troops	0	NUMBER
1.0	kurdish regional government	demand	release of prisoner take	0	0
1.0	regional government	also condemn	raid	0	0
1.0	US force	raid	iranian consulate	LOCATION	0
1.0	kurdish regional government	condemn	raid	0	0
0.6480500128791089	US troops	raid in	capital of northern iraqi Kurdistan	LOCATION	LOCATION
1.0	White House	decline	comment specifically on operation	ORGANIZATION	0
1.0	regional government	demand	immediate release of prisoner take	0	0
1.0	Tehran	demand	regional government	LOCATION	0
0.6480500128791089	US troops	raid in	capital of Kurdistan	LOCATION	LOCATION
1.0	White House	decline	comment	ORGANIZATION	0
1.0	its	have	condemnation	O	O
1.0	government	also condemn	raid	0	0
1.0	White House	defend	it	ORGANIZATION	0
1.0	George W. Bush	be	US	PERSON	LOCATION
0.6480500128791089	US troops	raid in	capital of northern Kurdistan	LOCATION	LOCATION
1.0	kurdish regional government	also condemn	raid	0	0
0.6480500128791089	US troops	raid in	capital	LOCATION	0
1.0	White House	unapologetically defend	it	ORGANIZATION	0
1.0	kurdish government	also condemn	raid	0	0
1.0	Tehran	demand	government	LOCATION	0
1.0	Tehran	accuse	US troops	LOCATION	LOCATION
1.0	Kurdistan	have	capital	O	LOCATION
