1.0	exchange	stabilize	Iraq	0	LOCATION
1.0	strategy	reflect	key element	0	0
1.0	dangerous foreign policy blunder	be in	country	0	0
1.0	State Condoleezza Rice	oversee	more decentralised push for economic reconstruction in Iraq	0	LOCATION
1.0	President George W. Bush this week mirrored many proposals from the heavyweight Iraq Study Group led by former secretary of state James Baker	be	cool	PERSON	0
1.0	need	make	US support conditional on Prime Minister Nuri al-Maliki 's government meeting benchmark	0	LOCATION
1.0	State Condoleezza Rice	oversee	new push for reconstruction in Iraq	0	LOCATION
1.0	mandate Iraq Study Group	win	praise	ORGANIZATION	0
1.0	radicalization	have	source	O	O
1.0	Senator Joseph Biden	have	colleague	O	O
1.0	State Condoleezza Rice	oversee	new push	0	0
1.0	tension	have	source	O	O
0.7554550488284585	decision	deepen us involvement in	war diplomacy	0	0
1.0	she	be	also due	0	0
1.0	panel	of	central recommendation	0	0
1.0	sectarian rival	be in	Iraq	0	LOCATION
1.0	State Condoleezza Rice	oversee	decentralised push	0	0
1.0	State Condoleezza Rice	oversee	new push for economic reconstruction	0	0
1.0	State Condoleezza Rice	oversee	new decentralised push for economic reconstruction	0	0
1.0	Bush	plan	most dangerous policy blunder	PERSON	0
1.0	the congressionally mandated Iraq Study Group	submit in	December	0	DATE
1.0	State Condoleezza Rice	oversee	new decentralised push for reconstruction in Iraq	0	LOCATION
1.0	mandate Iraq Study Group	win praise in	stark contrast	ORGANIZATION	0
0.7554550488284585	decision	deepen us involvement in	unpopular war	0	0
1.0	economic reconstruction	be in	Iraq	0	LOCATION
1.0	State Condoleezza Rice	oversee	decentralised push for economic reconstruction in Iraq	0	LOCATION
0.7554550488284585	decision	deepen us involvement in	war foregoing diplomacy	0	0
1.0	State Condoleezza Rice	oversee	push	0	0
1.0	Bush	with	father	PERSON	0
1.0	recommendations	have	another	O	O
1.0	State Condoleezza Rice	oversee	more decentralised push for reconstruction	0	0
1.0	Bush	plan	dangerous foreign policy blunder	PERSON	0
1.0	Bush	plan	dangerous policy blunder	PERSON	0
1.0	party	have	leaders	O	O
0.47128158721355906	need	boost	training of force	0	0
1.0	president	have	hand	0	0
1.0	Bush 's plan	isolate	regime	PERSON	0
1.0	group	have	speak	O	O
1.0	State Condoleezza Rice	name	czar	0	0
1.0	decision	draw criticism from	opposition democrat	0	0
1.0	Bush 's plan	unveil at_time	Wednesday	PERSON	DATE
1.0	the former diplomat	speak on behalf of	group	0	0
1.0	the congressionally mandated Iraq Study Group	win	wide praise	ORGANIZATION	0
1.0	need	make	US support conditional benchmark	0	LOCATION
1.0	State Condoleezza Rice	oversee	new more decentralised push for economic reconstruction in Iraq	0	LOCATION
1.0	Washington	have	control	O	O
1.0	a tragic mistake	be	tragic	0	0
0.7858202736729921	mandate Iraq Study Group	co-chair by	former secretary of state James Baker	ORGANIZATION	PERSON
1.0	strategy	however reflect	element	0	0
1.0	troops	have	surge	O	O
1.0	the congressionally mandated Iraq Study Group	win	praise	ORGANIZATION	0
1.0	report	could begin	withdraw	0	0
1.0	forces	have	training	O	O
1.0	Bush 's diplomat	make at	same time	PERSON	0
1.0	State Condoleezza Rice	oversee	new more decentralised push for reconstruction in Iraq	0	LOCATION
1.0	she	leave at_time	Friday	0	DATE
1.0	Iraq	to	aid	LOCATION	0
1.0	Council	have	Peter Beinart	PERSON	O
1.0	Middle East	have	tour	O	LOCATION
1.0	State Condoleezza Rice	meet	another of group 's main recommendation	PERSON	0
1.0	Bush 's refusal	be	enough	PERSON	0
0.7554550488284585	decision	deepen	US involvement	0	LOCATION
1.0	Bush	have	refusal	O	PERSON
1.0	Syria 's	would demand	hand	LOCATION	0
1.0	State Condoleezza Rice	oversee	more decentralised push	0	0
1.0	mandate Iraq Study Group	win praise in	contrast	ORGANIZATION	0
1.0	many people	be in	Congress	0	ORGANIZATION
1.0	report	withdraw by	year	0	DATE
1.0	Iraq strategy	defy	expectation	ORGANIZATION	0
1.0	Nuri Maliki	have	government	PERSON	0
1.0	Washington	oppose	its illicit nuclear program	LOCATION	0
1.0	Bush	plan	dangerous policy blunder since Vietnam	PERSON	LOCATION
1.0	Nuri Maliki	have	government	O	PERSON
1.0	strategy	however reflect	element of Baker outline	0	0
1.0	Washington	have	program	O	O
1.0	Bush 's diplomat	make	clear	PERSON	0
1.0	question	have	out remained	O	O
0.47128158721355906	need	boost	training of iraqi force	0	0
1.0	State Condoleezza Rice	oversee	push for reconstruction	0	0
1.0	State Condoleezza Rice	oversee	new decentralised push	0	0
1.0	panel	have	recommendations	O	O
