1.0	India	be on	Friday	LOCATION	DATE
1.0	Mahendra Dhoni	be	Dinesh Karthick	PERSON	PERSON
1.0	Sachin Tendulkar	be	Sourav Ganguly	PERSON	PERSON
1.0	India	name	30 probable	LOCATION	NUMBER
1.0	India	name	30 probable for World Cup	LOCATION	MISC
1.0	Joginder Sharma	be	Rudra Pratap Singh	PERSON	PERSON
1.0	Irfan Pathan	be	Munaf Patel	PERSON	PERSON
1.0	Sourav Ganguly	be	Robin Uthappa	PERSON	PERSON
1.0	Rahul Dravid	be	Virender Sehwag	PERSON	PERSON
1.0	Vikram Rajvir Singh	be	Parthiv Patel	PERSON	PERSON
1.0	Sachin Tendulkar	be	Yuvraj Singh	PERSON	PERSON
1.0	Ramesh Powar	be	Harbhajan Singh	PERSON	PERSON
1.0	Robin Uthappa	be	Gautam Gambhir	PERSON	PERSON
1.0	Ishant Sharma	be	Cheteswar Pujara	PERSON	PERSON
1.0	Mohammad Kaif	be	Gautam Gambhir	PERSON	PERSON
1.0	Venkatsai Laxman	be	Rohit Sharma	LOCATION	PERSON
1.0	Shanthakumaran Sreesanth	be	Ajit Agarkar	PERSON	PERSON
1.0	Joginder Sharma	be	Ajit Agarakar	PERSON	PERSON
1.0	Dinesh Karthick	be	Suresh Raina	PERSON	PERSON
1.0	Suresh Raina	be	Zaheer Khan	PERSON	PERSON
1.0	Mahendra Dhoni	be	Rudra Pratap Singh	PERSON	PERSON
1.0	Anil Kumble	be	Dinesh Mongia	PERSON	PERSON
